naicsCode,naicsLabel,nPfasFacilities,nPfasCells
221320,Sewage Treatment Facilities ,53,52
562212,Solid Waste Landfill ,32,20
424710,Petroleum Bulk Stations and Terminals ,19,14
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",19,18
322121,,15,13
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,14,14
322120,Paper Mills ,12,10
325211,Plastics Material and Resin Manufacturing ,11,10
323111,Commercial Printing (except Screen and Books) ,10,8
322110,Pulp Mills ,9,7
424690,Other Chemical and Allied Products Merchant Wholesalers ,9,7
488119,Other Airport Operations ,9,9
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,9,8
928110,National Security ,8,7
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",8,7
326199,All Other Plastics Product Manufacturing ,8,8
325510,Paint and Coating Manufacturing,8,7
322130,Paperboard Mills ,7,6
42471,Petroleum Bulk Stations and Terminals ,7,5
334419,Other Electronic Component Manufacturing ,7,7
339999,All Other Miscellaneous Manufacturing ,6,5
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,5,5
324191,Petroleum Lubricating Oil and Grease Manufacturing ,5,5
325180,Other Basic Inorganic Chemical Manufacturing ,5,5
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ",4,4
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,4,3
325199,All Other Basic Organic Chemical Manufacturing ,4,4
32211,Pulp Mills,4,4
335931,Current-Carrying Wiring Device Manufacturing ,4,4
316110,Leather and Hide Tanning and Finishing,4,4
339112,Surgical and Medical Instrument Manufacturing ,4,4
421930,,4,4
221119,,4,4
313210,Broadwoven Fabric Mills,4,4
221112,Fossil Fuel Electric Power Generation ,4,3
562112,Hazardous Waste Collection ,4,4
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,3,2
221310,Water Supply and Irrigation Systems ,3,3
323110,,3,3
325120,Industrial Gas Manufacturing,3,2
562219,Other Nonhazardous Waste Treatment and Disposal ,3,3
322220,Paper Bag and Coated and Treated Paper Manufacturing,3,3
562211,Hazardous Waste Treatment and Disposal ,3,3
334413,Semiconductor and Related Device Manufacturing ,3,3
92811,National Security ,3,3
488190,Other Support Activities for Air Transportation,3,3
313230,Nonwoven Fabric Mills,3,3
31611,Leather and Hide Tanning and Finishing,3,3
924110,Administration of Air and Water Resource and Solid Waste Management Programs ,2,2
325412,Pharmaceutical Preparation Manufacturing ,2,2
325611,Soap and Other Detergent Manufacturing ,2,2
325991,Custom Compounding of Purchased Resins ,2,2
81292,Photofinishing ,2,2
22,Utilities,2,2
811111,General Automotive Repair ,2,2
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,2,2
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",2,2
611110,Elementary and Secondary Schools ,2,2
562910,Remediation Services ,2,2
327910,Abrasive Product Manufacturing,2,2
332322,Sheet Metal Work Manufacturing ,2,2
332721,Precision Turned Product Manufacturing ,2,2
334000,,2,2
49319,Other Warehousing and Storage,2,2
334417,Electronic Connector Manufacturing ,2,1
42393,Recyclable Material Merchant Wholesalers ,2,2
322230,Stationery Product Manufacturing,2,2
31332,Fabric Coating Mills,2,2
22132,Sewage Treatment Facilities ,2,2
314999,All Other Miscellaneous Textile Product Mills ,2,2
322221,,2,2
313320,Fabric Coating Mills,2,1
221117,Biomass Electric Power Generation ,2,2
325131,,2,2
322122,,2,2
323113,Commercial Screen Printing ,2,2
313000,,2,2
323112,,2,2
313310,Textile and Fabric Finishing Mills ,2,2
325188,,2,2
422710,,1,1
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,1,1
42469,Other Chemical and Allied Products Merchant Wholesalers ,1,1
454310,,1,1
313312,,1,1
313311,,1,1
441120,Used Car Dealers ,1,1
441210,Recreational Vehicle Dealers ,1,1
44711,,1,1
315999,,1,1
42271,,1,1
42269,,1,1
42199,,1,1
314110,Carpet and Rug Mills,1,1
314912,,1,1
337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",1,1
336999,All Other Transportation Equipment Manufacturing ,1,1
336991,"Motorcycle, Bicycle, and Parts Manufacturing ",1,1
336611,Ship Building and Repairing ,1,1
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,1,1
336412,Aircraft Engine and Engine Parts Manufacturing ,1,1
336399,,1,1
336360,Motor Vehicle Seating and Interior Trim Manufacturing,1,1
336322,,1,1
212399,,1,1
23731,"Highway, Street, and Bridge Construction",1,1
32519,Other Basic Organic Chemical Manufacturing,1,1
221110,,1,1
92612,Regulation and Administration of Transportation Programs ,1,1
925120,Administration of Urban Planning and Community and Rural Development ,1,1
221111,Hydroelectric Power Generation ,1,1
922120,Police Protection ,1,1
812930,Parking Lots and Garages ,1,1
811300,,1,1
22131,Water Supply and Irrigation Systems ,1,1
712190,Nature Parks and Other Similar Institutions,1,1
62149,Other Outpatient Care Centers,1,1
611691,Exam Preparation and Tutoring ,1,1
562998,All Other Miscellaneous Waste Management Services ,1,1
56292,Materials Recovery Facilities ,1,1
454312,,1,1
56291,Remediation Services ,1,1
237990,Other Heavy and Civil Engineering Construction ,1,1
23822,"Plumbing, Heating, and Air-Conditioning Contractors",1,1
311221,Wet Corn Milling and Starch Manufacturing ,1,1
311999,All Other Miscellaneous Food Manufacturing ,1,1
562111,Solid Waste Collection ,1,1
551114,"Corporate, Subsidiary, and Regional Managing Offices ",1,1
541712,,1,1
541420,Industrial Design Services,1,1
532310,General Rental Centers,1,1
531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,1,1
493190,Other Warehousing and Storage,1,1
313111,,1,1
482111,Line-Haul Railroads ,1,1
324121,Asphalt Paving Mixture and Block Manufacturing ,1,1
331111,,1,1
327991,Cut Stone and Stone Product Manufacturing ,1,1
327310,Cement Manufacturing,1,1
327215,Glass Product Manufacturing Made of Purchased Glass ,1,1
327125,,1,1
327124,,1,1
327120,Clay Building Material and Refractories Manufacturing ,1,1
326211,Tire Manufacturing (except Retreading) ,1,1
322233,,1,1
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,1
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,1
326121,Unlaminated Plastics Profile Shape Manufacturing ,1,1
323120,Support Activities for Printing,1,1
326111,Plastics Bag and Pouch Manufacturing ,1,1
323122,,1,1
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1,1
324199,All Other Petroleum and Coal Products Manufacturing ,1,1
325910,Printing Ink Manufacturing,1,1
32591,Printing Ink Manufacturing,1,1
325620,Toilet Preparation Manufacturing,1,1
325612,Polish and Other Sanitation Good Manufacturing ,1,1
325,Chemical Manufacturing,1,1
325520,Adhesive Manufacturing,1,1
32552,Adhesive Manufacturing,1,1
32551,Paint and Coating Manufacturing,1,1
325181,,1,1
325411,Medicinal and Botanical Manufacturing ,1,1
325320,Pesticide and Other Agricultural Chemical Manufacturing,1,1
325312,Phosphatic Fertilizer Manufacturing ,1,1
325311,Nitrogenous Fertilizer Manufacturing ,1,1
333249,,1,1
335211,,1,1
334613,,1,1
321999,All Other Miscellaneous Wood Product Manufacturing ,1,1
32212,Paper Mills,1,1
32213,Paperboard Mills,1,1
334412,Bare Printed Circuit Board Manufacturing  ,1,1
334310,Audio and Video Equipment Manufacturing,1,1
33429,Other Communications Equipment Manufacturing,1,1
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,1,1
33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,1,1
334112,Computer Storage Device Manufacturing ,1,1
322211,Corrugated and Solid Fiber Box Manufacturing ,1,1
333999,,1,1
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",1,1
316990,Other Leather and Allied Product Manufacturing ,1,1
322212,Folding Paperboard Box Manufacturing ,1,1
332997,,1,1
332996,Fabricated Pipe and Pipe Fitting Manufacturing ,1,1
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",1,1
332913,Plumbing Fixture Fitting and Trim Manufacturing ,1,1
32222,Paper Bag and Coated and Treated Paper Manufacturing,1,1
332811,Metal Heat Treating ,1,1
322222,,1,1
332710,Machine Shops,1,1
322224,,1,1
332312,Fabricated Structural Metal Manufacturing ,1,1
332311,Prefabricated Metal Building and Component Manufacturing ,1,1
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",1,1
332115,,1,1
