cid,frsId,facName,naicsCode,naicsLabel
5522796483402792960,110000581497,SMITH & WESSON DIVISION,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing "
5522796483402792960,110000581497,SMITH & WESSON DIVISION,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing 
5522906984321384448,110000581451,GREAT NORTHERN PAPER #2,32211,Pulp Mills
5522906984321384448,110000581451,GREAT NORTHERN PAPER #2,32212,Paper Mills
5522906984321384448,110000581451,GREAT NORTHERN PAPER #2,322120,Paper Mills 
5522906984321384448,110000581451,GREAT NORTHERN PAPER #2,322121,
5522906984321384448,110071369170,ENSYN FUELS INC.,325199,All Other Basic Organic Chemical Manufacturing 
5522973332976173056,110040175734,PASSAMAQUODDY WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5523905821915742208,110000601714,NAVAL COMPUTER & TELECOM STATION,221310,Water Supply and Irrigation Systems 
5523905821915742208,110000601714,NAVAL COMPUTER & TELECOM STATION,92811,National Security 
5523905821915742208,110000601714,NAVAL COMPUTER & TELECOM STATION,928110,National Security 
5523905821915742208,110039675946,NAVAL SUPPORT ACTIVITY (NSA) CUTLER,928110,National Security 
5525218604439568384,110064779093,BATH WATER POLLUTION CONTROL FACILITY,,
5525219085475905536,110009913086,BATH WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5525219085475905536,110067529142,BATH SNOW DUMP,562212,Solid Waste Landfill 
5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,92811,National Security 
5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,928110,National Security 
5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110,National Security 
5525221250139422720,110000314222,COOPER WIRING DEVICES,335931,Current-Carrying Wiring Device Manufacturing 
5525221250139422720,110000314222,COOPER WIRING DEVICES,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing 
5525225338948288512,110020694266,RICHMOND WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5525229977512968192,110039666073,BATH LANDFILL,562212,Solid Waste Landfill 
5525233138608898048,110064258921,WISCASSET WWTF,221320,Sewage Treatment Facilities 
5525298971867611136,110000581512,FMC BIOPOLYMER FOOD INGREDIENTS,311999,All Other Miscellaneous Food Manufacturing 
5525298971867611136,110000581512,FMC BIOPOLYMER FOOD INGREDIENTS,325411,Medicinal and Botanical Manufacturing 
5525298971867611136,110000581512,FMC BIOPOLYMER FOOD INGREDIENTS,325412,Pharmaceutical Preparation Manufacturing 
5525298971867611136,110002052206,ROCKLAND WASTEWATER TREATMENT FACILITY,22132,Sewage Treatment Facilities 
5525298971867611136,110002052206,ROCKLAND WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5525299143666302976,110039664324,ROCKLAND LEATHERS,316110,Leather and Hide Tanning and Finishing
5525299143666302976,110067444894,CAMDEN PRINTING INC,,
5525308798752784384,110042021941,MICRO METRICS INC,334413,Semiconductor and Related Device Manufacturing 
5525308798752784384,110064779743,"ELM STREET PRINTING AND GRAPHICS, INC.",,
5525309211069644800,110009913111,CAMDEN WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5525309211069644800,110015329928,CAMDEN TANNING CO,31611,Leather and Hide Tanning and Finishing
5525309211069644800,110015329928,CAMDEN TANNING CO,316110,Leather and Hide Tanning and Finishing
5525405349617598464,110009913870,"SOIL PREPARATION, INC.",562219,Other Nonhazardous Waste Treatment and Disposal 
5525405349617598464,110009913870,"SOIL PREPARATION, INC.",562998,All Other Miscellaneous Waste Management Services 
5525430432226607104,110018930497,WINTERPORT WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5525435964144484352,110037143221,U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE,928110,National Security 
5525436032863961088,110025247800,AIR NATIONAL GUARD 101ST AIR REFUEL WING,488190,Other Support Activities for Air Transportation
5525436032863961088,110025247800,AIR NATIONAL GUARD 101ST AIR REFUEL WING,928110,National Security 
5525436032863961088,110064048347,101ST AIR REFUELING WING,,
5525436788778205184,110000865485,COLDBROOK ENERGY OIL TERMINAL,324199,All Other Petroleum and Coal Products Manufacturing 
5525436788778205184,110000865485,COLDBROOK ENERGY OIL TERMINAL,42471,Petroleum Bulk Stations and Terminals 
5525436788778205184,110000865485,COLDBROOK ENERGY OIL TERMINAL,424710,Petroleum Bulk Stations and Terminals 
5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",324191,Petroleum Lubricating Oil and Grease Manufacturing 
5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",42471,Petroleum Bulk Stations and Terminals 
5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",424710,Petroleum Bulk Stations and Terminals 
5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",454312,
5525436788778205184,110025247793,"BUCKEYE TERMINALS, LLC",49319,Other Warehousing and Storage
5525436823137943552,110000314561,EASTERN FINE PAPER,237990,Other Heavy and Civil Engineering Construction 
5525436823137943552,110000314561,EASTERN FINE PAPER,322120,Paper Mills 
5525436823137943552,110000314561,EASTERN FINE PAPER,322121,
5525455686634307584,110001092969,WEBBER TANKS,42271,
5525455686634307584,110001092969,WEBBER TANKS,424710,Petroleum Bulk Stations and Terminals 
