cid,nRingFac
5522342419460259840,1
5522342453819998208,1
5522342488179736576,1
5522724740269080576,1
5522725496183324672,9
5522749101323583488,1
5522750406993641472,1
5522751437785792512,2
5522751506505269248,2
5522751643944222720,2
5522751678303961088,2
5522751712663699456,1
5522751850102652928,55
5522751987541606400,4
5522752090620821504,7
5522752124980559872,4
5522752159340298240,2
5522752296779251712,52
5522752468577943552,31
5522752502937681920,52
5522752606016897024,40
5522752709096112128,2
5522752743455850496,2
5522753087053234176,5
5522755354795966464,1
5522795830567763968,6
5522796345963839488,14
5522796380323577856,5
5522796414683316224,6
5522796449043054592,8
5522796483402792960,3
5522870288120807424,1
5522903617067024384,1
5522904922737082368,1
5522906984321384448,6
5522923683154231296,1
5522924232910045184,2
5522924920104812544,1
5522924954464550912,1
5522934128514695168,1
5522973229896957952,2
5523088300660752384,1
5523089949928194048,5
5523089984287932416,3
5523092939225432064,3
5523094519773396992,22
5523101013763948544,10
5523101048123686912,10
5523101082483425280,24
5523872355530571776,9
5523872458609786880,21
5523872492969525248,22
5523873764279844864,18
5523881598300192768,3
5523881632659931136,2
5523882010617053184,3
5523882044976791552,5
5523890944149028864,32
5523891356465889280,27
5523892078020395008,5
5523895273476063232,1
5523896338627952640,24
5523905787556003840,2
5523905821915742208,2
5523905924994957312,1
5523992717694074880,3
5524834771802259456,6
5524834840521736192,3
5524834874881474560,2
5524834943600951296,3
5524845595119845376,9
5525178059948294144,10
5525211869930848256,5
5525211938650324992,2
5525211973010063360,3
5525214343832010752,1
5525214481270964224,1
5525218432640876544,10
5525218570079830016,74
5525218604439568384,47
5525219085475905536,15
5525219360353812480,36
5525219875749888000,1
5525219978829103104,1
5525220288066748416,28
5525220425505701888,7
5525220459865440256,14
5525220494225178624,19
5525220528584916992,12
5525220562944655360,9
5525220597304393728,25
5525220631664132096,26
5525220666023870464,26
5525220803462823936,63
5525220872182300672,20
5525221250139422720,57
5525221456297852928,25
5525221525017329664,4
5525221628096544768,1
5525224479954829312,1
5525224651753521152,1
5525224926631428096,8
5525224995350904832,5
5525225304588550144,5
