cid,nRingPfasFac
5522795830567763968,1
5522796414683316224,1
5522796449043054592,1
5522903617067024384,1
5522973229896957952,1
5523905787556003840,2
5525218570079830016,1
5525220288066748416,2
5525220425505701888,2
5525220459865440256,1
5525220494225178624,1
5525220528584916992,2
5525220562944655360,1
5525220597304393728,1
5525220631664132096,1
5525220666023870464,2
5525220803462823936,2
5525221250139422720,1
5525221456297852928,1
5525224995350904832,1
5525225304588550144,1
5525230114951921664,2
5525240457233170432,1
5525298971867611136,1
5525299143666302976,1
5525299349824733184,1
5525301205250605056,1
5525308764393046016,4
5525308798752784384,2
5525309211069644800,2
5525311238294208512,1
5525330754625601536,1
5525331201302200320,1
5525344773398855680,2
5525399577181552640,1
5525405590135767040,1
5525405624495505408,1
5525430432226607104,1
5525435414388670464,1
5525435964144484352,3
5525435998504222720,6
5525436032863961088,4
5525436170302914560,5
5525436788778205184,3
5525436823137943552,3
5525437750850879488,1
5525455686634307584,1
5525455755353784320,2
5525465822757126144,3
5525465994555817984,3
5525466028915556352,4
5525468880773840896,4
5525474996807270400,1
5525573403097956352,1
5525829589307228160,2
5525829761105920000,1
5525830310861733888,3
5525833025281064960,3
5525834056073216000,1
5525834468390076416,3
5525836426895163392,1
5525837663845744640,1
5525839759789785088,1
5525905283810852864,1
5525963626646601728,1
5525963695366078464,1
5525963798445293568,1
5525983177337733120,1
5526231117209796608,1
5526231151569534976,1
5526263484083339264,1
5526263518443077632,2
5526263552802816000,1
5526336807765016576,2
5526336979563708416,1
5526337048283185152,1
5526337254441615360,1
5526345878735945728,3
5526347562363125760,3
5526348215198154752,1
5526349761386381312,1
5526367972047716352,1
5526368246925623296,1
5526401953828962304,2
5526407863703961600,2
5526409719129833472,1
5526412364829687808,2
5526412399189426176,2
5526412433549164544,2
5526416728516460544,1
5526429304180703232,2
5526429372900179968,2
5526435798171254784,1
5526448236396544000,2
5526448923591311360,1
5526449713865293824,1
5526480294032441344,1
5526480706349301760,1
5526480843788255232,1
5526484107963400192,1
5526487131620376576,1
5526487165980114944,1
5526487200339853312,1
5526488540369649664,1
5526488609089126400,1
5526497989297700864,1
5526498710852206592,1
5526508331578949632,1
5526539186624004096,1
5526559596308594688,2
5526560901978652672,1
5526560936338391040,2
5526560970698129408,1
5526587324617457664,1
5526587358977196032,1
5526587427696672768,1
5526587599495364608,1
5526594608881991680,1
5526594677601468416,1
5526595089918328832,1
5526595502235189248,3
5526595570954665984,3
5526596086350741504,1
5526598251014258688,3
5526598491532427264,2
5526601583908880384,1
5526601721347833856,1
5526601858786787328,1
5526601893146525696,1
5526603611133444096,1
5526603714212659200,1
5526604848084025344,1
5526604882443763712,2
5526613712896524288,1
