cid,neighborCid,frsId,facName,naics
5522795830567763968,5522796483402792960,110000581497,SMITH & WESSON DIVISION,332994
5522795830567763968,5522796483402792960,110000581497,SMITH & WESSON DIVISION,332999
5522796414683316224,5522796483402792960,110000581497,SMITH & WESSON DIVISION,332994
5522796414683316224,5522796483402792960,110000581497,SMITH & WESSON DIVISION,332999
5522796449043054592,5522796483402792960,110000581497,SMITH & WESSON DIVISION,332994
5522796449043054592,5522796483402792960,110000581497,SMITH & WESSON DIVISION,332999
5522903617067024384,5522903995024146432,110058407941,DOLBY LANDFILL,562212
5522973229896957952,5522973332976173056,110040175734,PASSAMAQUODDY WASTEWATER TREATMENT FACILITY,221320
5523905787556003840,5523905821915742208,110000601714,NAVAL COMPUTER & TELECOM STATION,221310
5523905787556003840,5523905821915742208,110000601714,NAVAL COMPUTER & TELECOM STATION,92811
5523905787556003840,5523905821915742208,110000601714,NAVAL COMPUTER & TELECOM STATION,928110
5523905787556003840,5523905821915742208,110039675946,NAVAL SUPPORT ACTIVITY (NSA) CUTLER,928110
5525220288066748416,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,92811
5525220288066748416,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,928110
5525220288066748416,5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110
5525220425505701888,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,92811
5525220425505701888,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,928110
5525220425505701888,5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110
5525220459865440256,5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110
5525220494225178624,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,92811
5525220494225178624,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,928110
5525220528584916992,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,92811
5525220528584916992,5525220459865440256,110000797077,BRUNSWICK NAVAL AIR STATION BASE,928110
5525220528584916992,5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110
5525220562944655360,5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110
5525220597304393728,5525220494225178624,110013835181,US NAVY NAVAL AIR STATION BRUNSWICK 2,928110
