cid,neighborCid
9797001907493928960,9797001838774452224
9797001907493928960,9797001873134190592
9797001907493928960,9797001941853667328
9797001907493928960,9797004724992475136
9797001907493928960,9797004828071690240
9797001907493928960,9797004862431428608
9797001907493928960,9797007783009189888
9797001907493928960,9797007817368928256
9797012524653084672,9797011803098578944
9797012524653084672,9797011837458317312
9797012524653084672,9797012421573869568
9797012524653084672,9797012455933607936
9797012524653084672,9797012490293346304
9797012524653084672,9797012559012823040
9797012524653084672,9797012662092038144
9797012524653084672,9797013280567328768
9797013830323142656,9797013795963404288
9797013830323142656,9797013864682881024
9797013830323142656,9797013899042619392
9797013830323142656,9797015617029537792
9797013830323142656,9797015651389276160
9797013830323142656,9797016372943781888
9797013830323142656,9797016407303520256
9797013830323142656,9797016510382735360
9797017300656717824,5959576549823873024
9797017300656717824,5959576584183611392
9797017300656717824,5959578061652361216
9797017300656717824,9797009982032445440
9797017300656717824,9797010016392183808
9797017300656717824,9797017231937241088
9797017300656717824,9797017266296979456
9797017300656717824,9797017335016456192
9797018056570961920,5959200516847173632
9797018056570961920,5959200551206912000
9797018056570961920,5959575862629105664
9797018056570961920,9797017919132008448
9797018056570961920,9797018022211223552
9797018056570961920,9797018090930700288
9797018056570961920,9797018125290438656
9797018056570961920,9797018159650177024
9797020564831862784,9797020461752647680
9797020564831862784,9797020496112386048
9797020564831862784,9797020530472124416
9797020564831862784,9797020599191601152
9797020564831862784,9797020633551339520
9797020564831862784,9797022076660350976
9797020564831862784,9797022111020089344
9797020564831862784,9797022214099304448
9797022420257734656,9797019499679973376
9797022420257734656,9797019534039711744
9797022420257734656,9797022317178519552
9797022420257734656,9797022351538257920
9797022420257734656,9797022385897996288
9797022420257734656,9797022454617473024
9797022420257734656,9797022488977211392
9797022420257734656,9797025375195234304
9797040321681424384,9797040115522994176
9797040321681424384,9797040252961947648
9797040321681424384,9797040287321686016
9797040321681424384,9797040356041162752
9797040321681424384,9797040390400901120
9797040321681424384,9797040424760639488
9797040321681424384,9797040459120377856
9797040321681424384,9797040493480116224
9797041970948866048,9797041764790435840
9797041970948866048,9797041902229389312
9797041970948866048,9797041936589127680
9797041970948866048,9797042005308604416
9797041970948866048,9797042039668342784
9797041970948866048,9797042074028081152
9797041970948866048,9797042108387819520
9797041970948866048,9797042142747557888
9797045510001917952,9797044788447412224
9797045510001917952,9797044822807150592
9797045510001917952,9797045406922702848
9797045510001917952,9797045441282441216
9797045510001917952,9797045475642179584
9797045510001917952,9797045544361656320
9797045510001917952,9797045647440871424
9797045510001917952,9797046265916162048
9797045613081133056,9797045544361656320
9797045613081133056,9797045578721394688
9797045613081133056,9797045647440871424
9797045613081133056,9797045681800609792
9797045613081133056,9797045784879824896
9797045613081133056,9797045819239563264
9797045613081133056,9797045991038255104
9797045613081133056,9797046025397993472
9797046025397993472,9797045578721394688
9797046025397993472,9797045613081133056
9797046025397993472,9797045956678516736
9797046025397993472,9797045991038255104
9797046025397993472,9797046059757731840
9797046025397993472,9797046094117470208
9797046025397993472,9797046197196685312
9797046025397993472,9797046231556423680
9797046197196685312,9797045578721394688
9797046197196685312,9797046025397993472
9797046197196685312,9797046059757731840
9797046197196685312,9797046094117470208
9797046197196685312,9797046128477208576
9797046197196685312,9797046162836946944
9797046197196685312,9797046231556423680
9797046197196685312,9797046334635638784
9797047159269359616,9797036164153081856
9797047159269359616,9797036198512820224
9797047159269359616,9797036301592035328
9797047159269359616,9797047056190144512
9797047159269359616,9797047090549882880
9797047159269359616,9797047124909621248
9797047159269359616,9797047193629097984
9797047159269359616,9797047227988836352
9797052794266451968,9797052175791161344
9797052794266451968,9797052622467760128
9797052794266451968,9797052656827498496
9797052794266451968,9797052691187236864
9797052794266451968,9797052725546975232
9797052794266451968,9797052759906713600
9797052794266451968,9797052828626190336
9797052794266451968,9797052931705405440
9797053962497556480,5959163167811567616
9797053962497556480,5959164645280317440
9797053962497556480,5959164679640055808
9797053962497556480,9797053928137818112
9797053962497556480,9797053996857294848
9797053962497556480,9797054031217033216
9797053962497556480,9797061246762090496
9797053962497556480,9797061281121828864
9797053996857294848,9797053928137818112
9797053996857294848,9797053962497556480
9797053996857294848,9797054031217033216
9797053996857294848,9797054065576771584
9797053996857294848,9797054099936509952
9797053996857294848,9797061143682875392
9797053996857294848,9797061246762090496
9797053996857294848,9797061281121828864
9797056642557149184,9797056367679242240
9797056642557149184,9797056402038980608
9797056642557149184,9797056505118195712
9797056642557149184,9797056539477934080
9797056642557149184,9797056573837672448
9797056642557149184,9797056608197410816
9797056642557149184,9797056676916887552
9797056642557149184,9797056779996102656
9797057742068776960,9797057638989561856
9797057742068776960,9797057673349300224
9797057742068776960,9797057707709038592
9797057742068776960,9797057776428515328
9797057742068776960,9797057879507730432
9797057742068776960,9797060490847846400
9797057742068776960,9797060525207584768
9797057742068776960,9797060559567323136
9797059872372555776,9797059666214125568
9797059872372555776,9797059700573863936
9797059872372555776,9797059803653079040
9797059872372555776,9797059838012817408
9797059872372555776,9797059906732294144
9797059872372555776,9797059941092032512
9797059872372555776,9797060284689416192
9797059872372555776,9797060319049154560
9797060937524445184,9797060181610201088
9797060937524445184,9797060800085491712
9797060937524445184,9797060903164706816
9797060937524445184,9797060971884183552
9797060937524445184,9797061006243921920
9797060937524445184,9797061040603660288
9797060937524445184,9797061624719212544
9797060937524445184,9797061659078950912
9797060971884183552,9797060937524445184
9797060971884183552,9797061006243921920
9797060971884183552,9797061040603660288
9797060971884183552,9797061384201043968
9797060971884183552,9797061418560782336
9797060971884183552,9797061590359474176
9797060971884183552,9797061624719212544
9797060971884183552,9797061659078950912
9797061212402352128,9797061006243921920
9797061212402352128,9797061143682875392
9797061212402352128,9797061178042613760
9797061212402352128,9797061246762090496
9797061212402352128,9797061281121828864
9797061212402352128,9797061315481567232
9797061212402352128,9797061349841305600
