pt,cid,lat,lon,layer
samplePoint.148241,5522341972783661056,46.734055,-67.791993,EGAD
samplePoint.148320,5522342419460259840,46.725756,-67.808451,EGAD
samplePoint.152788,5522342419460259840,46.719779,-67.819539,EGAD
samplePoint.148252,5522342453819998208,46.710974,-67.823362,EGAD
samplePoint.148315,5522342453819998208,46.711015,-67.815323,EGAD
samplePoint.148316,5522342453819998208,46.710414,-67.815288,EGAD
samplePoint.148332,5522342453819998208,46.718930,-67.822639,EGAD
samplePoint.148333,5522342453819998208,46.710157,-67.825335,EGAD
samplePoint.148334,5522342453819998208,46.711067,-67.820339,EGAD
samplePoint.148238,5522342488179736576,46.709448,-67.809074,EGAD
samplePoint.148317,5522342488179736576,46.708795,-67.810679,EGAD
samplePoint.148318,5522342488179736576,46.709042,-67.807360,EGAD
samplePoint.148330,5522342488179736576,46.712431,-67.804659,EGAD
samplePoint.148331,5522342488179736576,46.711642,-67.805054,EGAD
samplePoint.151341,5522348638572904448,46.658644,-67.863634,EGAD
samplePoint.151342,5522349016530026496,46.653374,-67.864261,EGAD
samplePoint.65560,5522351559150665728,46.545183,-67.907217,EGAD
samplePoint.148278,5522724740269080576,46.475901,-67.833564,EGAD
samplePoint.150272,5522725496183324672,46.509556,-67.853179,EGAD
samplePoint.65555,5522725564902801408,46.496169,-67.845474,EGAD
samplePoint.148993,5522730925021986816,46.433121,-67.920036,EGAD
samplePoint.153476,5522749101323583488,46.223403,-67.802360,EGAD
samplePoint.148566,5522750406993641472,46.174884,-67.803029,EGAD
samplePoint.65535,5522750613152071680,46.181670,-67.804066,EGAD
samplePoint.146328,5522751437785792512,46.171440,-67.902823,EGAD
samplePoint.146288,5522751506505269248,46.160610,-67.894901,EGAD
samplePoint.146290,5522751506505269248,46.161485,-67.893769,EGAD
samplePoint.146326,5522751643944222720,46.147680,-67.894160,EGAD
samplePoint.146286,5522751678303961088,46.143771,-67.882663,EGAD
samplePoint.146292,5522751678303961088,46.144430,-67.882801,EGAD
samplePoint.146329,5522751678303961088,46.146674,-67.892787,EGAD
samplePoint.146291,5522751712663699456,46.150846,-67.883826,EGAD
samplePoint.153464,5522751850102652928,46.134088,-67.847285,EGAD
samplePoint.146285,5522751987541606400,46.165868,-67.840109,EGAD
samplePoint.146330,5522751987541606400,46.161058,-67.839663,EGAD
samplePoint.146332,5522751987541606400,46.162120,-67.839429,EGAD
samplePoint.137444,5522752090620821504,46.148014,-67.826664,EGAD
samplePoint.149090,5522752090620821504,46.147180,-67.827772,EGAD
samplePoint.150128,5522752090620821504,46.147725,-67.825845,EGAD
samplePoint.152232,5522752090620821504,46.148690,-67.827589,EGAD
samplePoint.146283,5522752124980559872,46.158367,-67.808616,EGAD
samplePoint.146331,5522752159340298240,46.154284,-67.807745,EGAD
samplePoint.146481,5522752296779251712,46.128679,-67.838115,EGAD
samplePoint.153475,5522752468577943552,46.128695,-67.847167,EGAD
samplePoint.153504,5522752468577943552,46.124759,-67.844963,EGAD
samplePoint.124444,5522752502937681920,46.122223,-67.855549,EGAD
samplePoint.124445,5522752502937681920,46.122862,-67.858054,EGAD
samplePoint.125360,5522752502937681920,46.122922,-67.859427,EGAD
samplePoint.145231,5522752502937681920,46.126391,-67.855086,EGAD
samplePoint.52210,5522752502937681920,46.124167,-67.857421,EGAD
samplePoint.52215,5522752502937681920,46.128766,-67.854453,EGAD
samplePoint.52216,5522752502937681920,46.123918,-67.858809,EGAD
samplePoint.52218,5522752502937681920,46.126391,-67.855086,EGAD
samplePoint.146377,5522752606016897024,46.120734,-67.854646,EGAD
samplePoint.150866,5522752709096112128,46.105307,-67.881531,EGAD
samplePoint.137928,5522752743455850496,46.101003,-67.873645,EGAD
samplePoint.137903,5522753087053234176,46.063407,-67.876577,EGAD
samplePoint.148568,5522755354795966464,46.095556,-67.993302,EGAD
samplePoint.146289,5522757622538698752,46.171807,-67.911914,EGAD
samplePoint.146327,5522757622538698752,46.171722,-67.912483,EGAD
samplePoint.153007,5522781158959480832,46.014917,-67.976345,EGAD
samplePoint.148990,5522789920692764672,45.993575,-67.799406,EGAD
samplePoint.133057,5522795830567763968,46.111214,-67.794627,EGAD
samplePoint.133085,5522796345963839488,46.125819,-67.808168,EGAD
samplePoint.133088,5522796345963839488,46.129873,-67.802793,EGAD
samplePoint.133090,5522796345963839488,46.128619,-67.803778,EGAD
samplePoint.133091,5522796345963839488,46.128100,-67.804700,EGAD
samplePoint.133092,5522796345963839488,46.126555,-67.806890,EGAD
samplePoint.133093,5522796345963839488,46.126977,-67.805408,EGAD
samplePoint.133095,5522796345963839488,46.127033,-67.804281,EGAD
samplePoint.133087,5522796380323577856,46.130350,-67.802465,EGAD
samplePoint.134835,5522796380323577856,46.132156,-67.800759,EGAD
samplePoint.147930,5522796380323577856,46.130795,-67.802721,EGAD
samplePoint.133084,5522796414683316224,46.131325,-67.799112,EGAD
samplePoint.131990,5522796449043054592,46.126965,-67.798662,EGAD
samplePoint.133056,5522796449043054592,46.127823,-67.797814,EGAD
samplePoint.133089,5522796449043054592,46.128150,-67.799244,EGAD
samplePoint.134836,5522796449043054592,46.119675,-67.796120,EGAD
samplePoint.146706,5522796449043054592,46.127869,-67.799219,EGAD
samplePoint.146707,5522796449043054592,46.127869,-67.799219,EGAD
samplePoint.146708,5522796449043054592,46.127761,-67.798909,EGAD
samplePoint.146709,5522796449043054592,46.127761,-67.798909,EGAD
samplePoint.146710,5522796449043054592,46.128281,-67.799387,EGAD
samplePoint.146711,5522796449043054592,46.128281,-67.799387,EGAD
samplePoint.146712,5522796449043054592,46.127921,-67.798665,EGAD
samplePoint.146713,5522796449043054592,46.127921,-67.798665,EGAD
samplePoint.146714,5522796449043054592,46.127548,-67.798828,EGAD
samplePoint.146715,5522796449043054592,46.127873,-67.797937,EGAD
samplePoint.146716,5522796449043054592,46.127730,-67.797600,EGAD
samplePoint.133086,5522796483402792960,46.124762,-67.786570,EGAD
samplePoint.148992,5522870288120807424,45.875414,-68.479516,EGAD
samplePoint.65542,5522879084213829632,45.738700,-68.587112,EGAD
samplePoint.65549,5522895645607723008,45.575876,-68.428917,EGAD
samplePoint.39883,5522903617067024384,45.654692,-68.590220,EGAD
samplePoint.103588,5522903651426762752,45.655736,-68.603288,EGAD
samplePoint.146228,5522903651426762752,45.654351,-68.601380,EGAD
