param	nObs	nDet	nCells	paramLabel	dtxsid	dssLabel	cas	detFreq	iceLabel	nAssayEndpoints	functionalUse	inICE	inToxCast
parameter.SUM_PFOA_PFOS	19000	13459	942	TOTAL PFOA AND PFOS				0.7083684210526315				False	False
parameter.PFOA_A	20387	11581	903	PERFLUOROOCTANOIC ACID	DTXSID8031865	Perfluorooctanoic acid	335-67-1	0.5680580762250453	Perfluorooctanoic acid	1396.0	Emulsion stabilizer	True	True
parameter.PFOS_A	19940	11519	792	PERFLUOROOCTANE SULFONIC ACID	DTXSID3031864	Perfluorooctanesulfonic acid	1763-23-1	0.5776830491474423	Perfluorooctanesulfonic acid	1510.0	Emulsion stabilizer; Flame retardant	True	True
parameter.SUM_OF_6_PFAS	17016	11472	884	SUM OF 6 PFAS (PFHPA + PFHXS + PFOA + PFNA + PFOS + PFDA)				0.6741889985895627				False	False
parameter.PFBA_A	18395	9885	768	PERFLUOROBUTANOIC ACID	DTXSID4059916	Perfluorobutanoic acid	375-22-4	0.5373742864908942		506.0		False	True
parameter.PFPEA_A	18570	9807	761	PERFLUOROPENTANOIC ACID	DTXSID6062599	Perfluoropentanoic acid	2706-90-3	0.5281098546042003	Perfluoropentanoic acid	461.0	Emulsion stabilizer	True	True
parameter.PFHPA_A	19523	9712	767	PERFLUOROHEPTANOIC ACID	DTXSID1037303	Perfluoroheptanoic acid	375-85-9	0.4974645290170568	Perfluoroheptanoic acid	1038.0	Emulsion stabilizer	True	True
parameter.PFHXA_A	19013	9636	754	PERFLUOROHEXANOIC ACID	DTXSID3031862	Perfluorohexanoic acid	307-24-4	0.5068111292273707	Perfluorohexanoic acid	1098.0	Emulsion stabilizer	True	True
parameter.PFNA_A	19688	7758	547	PERFLUORONONANOIC ACID	DTXSID8031863	Perfluorononanoic acid	375-95-1	0.39404713531084923	Perfluorononanoic acid	1124.0	Emulsion stabilizer	True	True
parameter.PFBS_A	19799	7308	753	PERFLUOROBUTANE SULFONIC ACID	DTXSID5030030	Perfluorobutanesulfonic acid	375-73-5	0.3691095509874236	Perfluorobutanesulfonic acid	504.0	Emulsion stabilizer; Flame retardant	True	True
parameter.PFHXS_A	19234	6575	622	PERFLUOROHEXANE SULFONIC ACID	DTXSID7040150	Perfluorohexanesulfonic acid	355-46-4	0.3418425704481647	Perfluorohexanesulfonic acid	461.0	Emulsion stabilizer; Flame retardant	True	True
parameter.PFDA_A	19254	4871	345	PERFLUORODECANOIC ACID	DTXSID3031860	Perfluorodecanoic acid	335-76-2	0.25298639243793497	Perfluorodecanoic acid	1075.0	Emulsion stabilizer	True	True
parameter.6-2_FTS_A	16592	2714	397	6:2 FLUOROTELOMER SULFONIC ACID	DTXSID6067331	6:2 Fluorotelomer sulfonic acid	27619-97-2	0.163572806171649	6:2 Fluorotelomer sulfonic acid	461.0	Surfactant	True	True
parameter.PFPES_A	17372	2549	366	PERFLUOROPENTANE SULFONIC ACID	DTXSID8062600	Perfluoropentanesulfonic acid	2706-91-4	0.14673037071148975	Perfluoropentanesulfonic acid		Emulsion stabilizer; Flame retardant	True	False
parameter.PFUNDA_A	18894	2358	163	PERFLUOROUNDECANOIC ACID	DTXSID8047553	Perfluoroundecanoic acid	2058-94-8	0.12480152429342649	Perfluoroundecanoic acid	1123.0	Emulsion stabilizer	True	True
parameter.N-EtFOSAA_A	18834	2061	221	N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID	DTXSID5062760	2-(N-Ethylperfluorooctanesulfonamido)acetic acid	2991-50-6	0.10942975469894871				False	False
