stateName	countyName	nCells	nTierA	medScore	maxNgL	nPfasFac	nRingPfasFac
Arizona	Maricopa County	29	11	46.97578703025852	225.0	35	216
Maine	Cumberland County	34	10	48.392120213718655	104265.0	14	62
Minnesota	Hennepin County	29	9	41.60643685248067	213.0	12	99
Arizona	Pima County	20	9	49.533855835897164	641.0	13	68
Maine	York County	27	8	46.526710948607736	3376.4	10	61
Maine	Penobscot County	23	8	52.897788735234606	53040.8	11	40
Maine	Androscoggin County	19	8	47.44241687276508	11204.5	8	20
Maine	Aroostook County	31	7	50.20521104871667	4200.0	9	35
Minnesota	Anoka County	12	6	34.68031111544795	281.0	8	19
Minnesota	Washington County	29	5	29.36807601943967	254.0	7	34
Indiana	Marion County	10	5	44.761505788560484		6	40
Indiana	Lake County	9	5	56.06309803103599		9	37
Maine	Oxford County	9	5	44.1873069401705	282.0	5	9
Minnesota	Dakota County	20	4	35.26280870619139	922.0	6	41
Maine	Kennebec County	16	4	47.74669456519291	9190.0	5	15
Maine	Franklin County	12	4	39.4931895574278	24800.0	6	15
Maine	Somerset County	12	4	50.524785601499346	70800.0	5	15
Indiana	Porter County	9	4	43.14001122618267		5	19
Maine	Sagadahoc County	6	4	52.4589820606614	5495.2	5	3
Massachusetts	Essex County	5	4	52.579863882591184		5	47
Maine	Knox County	6	3	62.565332973382404	1180.0	6	11
Maine	Washington County	5	3	54.94002525659659	686.0	4	3
Arizona	Mohave County	4	2	39.28626927171437	908.0	3	12
Maine	Hancock County	4	2	50.4716169736687	284.0	2	4
Maine	Waldo County	4	2	49.423193882736655	132.0	2	9
Indiana	Kosciusko County	3	2	42.76146433761195		2	11
Indiana	Wayne County	3	2	35.95789290904052		2	3
Massachusetts	Hampden County	3	2	34.84453881247676		2	22
Massachusetts	Middlesex County	3	2	63.333333333333336		7	17
Minnesota	Itasca County	2	2	40.71469791784715	6.57	4	8
South Carolina	Anderson County	2	2	46.04090950045228		2	4
Indiana	Elkhart County	10	1	43.303160997610384		1	49
Minnesota	Crow Wing County	9	1	28.38824165424949	25.2	1	11
Minnesota	St. Louis County	8	1	33.44945357514604	1960.0	1	9
Minnesota	Stearns County	8	1	32.86308653040466	16.3	1	12
Indiana	LaPorte County	5	1	39.4729860165773		1	15
Minnesota	Sherburne County	5	1	28.772879197645405	15.7	1	10
Indiana	Blackford County	4	1	47.91078026454575		2	11
Maine	Lincoln County	4	1	38.52486577988508	280.0	1	3
Indiana	DeKalb County	3	1	46.243607194754794		1	6
Indiana	Howard County	3	1	44.37659009452804		1	9
Indiana	Johnson County	3	1	44.29244724359484		1	3
Indiana	Monroe County	3	1	32.855719898805624		1	2
Indiana	Vigo County	3	1	30.744129814330027		2	5
Arizona	Yuma County	2	1	49.17149221854626	291.0	1	2
Illinois	Cook County	2	1	39.546566528220794	1.81	1	3
Indiana	Allen County	2	1	66.03992321571306		2	15
Indiana	Hendricks County	2	1	44.2656847252275		1	5
Indiana	Huntington County	2	1	41.91051203977662		1	10
Indiana	Miami County	2	1	39.21486501198167		1	2
Minnesota	McLeod County	2	1	45.02425517632196		1	7
Minnesota	Mille Lacs County	2	1	34.34151827992557	65.8	1	3
Minnesota	Scott County	2	1	18.837242103145943		1	1
Arizona	Yavapai County	1	1	44.457744495231175	18.0	1	3
Illinois	Lawrence County	1	1	35.642874594022196		1	0
Illinois	Winnebago County	1	1	44.97620792735554		1	1
Indiana	Boone County	1	1	44.246021286612496		1	6
Indiana	Dearborn County	1	1	54.708773757626155		2	6
Indiana	Pike County	1	1	34.01734896098081		1	0
Indiana	St. Joseph County	1	1	43.22773417888178		1	1
Massachusetts	Barnstable County	1	1	46.21515115878301		1	1
Minnesota	Mower County	1	1	37.07798407377305	9.71	1	0
Minnesota	Otter Tail County	1	1	32.94108974562958	6.65	1	0
Minnesota	Wadena County	1	1	34.63567416216085	2.32	2	0
New Hampshire	Rockingham County	1	1	63.946868995721395		2	6
