naicsCode	naicsLabel	industryGroup	priorClass	nFacilities	nCells
221320	Sewage Treatment Facilities	Sewage treatment (effluent & biosolids)	High	48	47
562212	Solid Waste Landfill	Waste treatment & disposal (landfill, hazardous waste)	High	29	17
332813	Electroplating, Plating, Polishing, Anodizing, and Coloring	Metal coating & electroplating	High	19	18
424710	Petroleum Bulk Stations and Terminals	Petroleum bulk stations & terminals	Moderate	19	14
332999	All Other Miscellaneous Fabricated Metal Product Manufacturing	Other fabricated metal product manufacturing	Moderate	14	14
325211	Plastics Material and Resin Manufacturing	Plastics material & resin manufacturing	High	11	10
424690	Other Chemical and Allied Products Merchant Wholesalers	Chemical & allied products wholesalers	Moderate	9	7
488119	Other Airport Operations	Airport operations (AFFF fire training)	High	9	9
323111	Commercial Printing (except Screen and Books)	Printing & related support activities	Moderate	9	7
322120	Paper Mills	Pulp, paper & paperboard mills	High	9	8
928110	National Security	National security / military installation (AFFF)	High	8	7
325510	Paint and Coating Manufacturing	Paint, coating & adhesive manufacturing	High	8	7
325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing	Other chemical product manufacturing	High	8	7
326199	All Other Plastics Product Manufacturing	Plastics & rubber products manufacturing	Moderate	8	8
332812	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers	Metal coating & electroplating	High	8	7
322130	Paperboard Mills	Pulp, paper & paperboard mills	High	7	6
42471	Petroleum Bulk Stations and Terminals	Petroleum bulk stations & terminals	Moderate	7	5
334419	Other Electronic Component Manufacturing	Semiconductor & electronic component manufacturing	Moderate	7	7
339999	All Other Miscellaneous Manufacturing	Other miscellaneous manufacturing	Moderate	6	5
326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing	Plastics & rubber products manufacturing	Moderate	5	5
325180	Other Basic Inorganic Chemical Manufacturing	Basic chemical manufacturing	High	5	5
324191	Petroleum Lubricating Oil and Grease Manufacturing	Petroleum & coal products manufacturing	Moderate	5	5
322110	Pulp Mills	Pulp, paper & paperboard mills	High	5	4
339112	Surgical and Medical Instrument Manufacturing	Other EPA PFAS-flagged industry	Low	4	4
325199	All Other Basic Organic Chemical Manufacturing	Basic chemical manufacturing	High	4	4
325992	Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing	Other chemical product manufacturing	High	4	4
334418	Printed Circuit Assembly (Electronic Assembly) Manufacturing	Semiconductor & electronic component manufacturing	Moderate	4	3
