stateName	nCells	nTierA	nTierB	nDetCells	nObs	nDet	medMaxNgL	maxNgL	nPfasFac	detRate
Maine	1286	73	140	1055	441217	107325	21.1	226000.0	98	0.2432476536488848
Minnesota	737	36	137	524	78636	11306	10.3	84000.0	56	0.14377638740525966
Indiana	342	34	84	313	29445	6613			48	0.22458821531669212
Arizona	183	24	32	101	14477	2179	18.95	11400.0	55	0.15051460938039649
Massachusetts	153	9	7	19	358	97			126	0.2709497206703911
Illinois	102	3	4	28	1939	477	1.81	1.81	42	0.24600309437854564
Alabama	56	0	3	9	190	52			0	0.2736842105263158
New Hampshire	24	1	2	13	461	95			5	0.20607375271149675
Arkansas	21	0	1	13	267	57			0	0.21348314606741572
Kansas	20	0	1	8	163	32			0	0.19631901840490798
South Carolina	17	3	0	12	262	80			3	0.3053435114503817
Vermont	5	0	3	4	65	7			0	0.1076923076923077
Georgia	2	0	0	2	46	14			0	0.30434782608695654
Wisconsin	1	1	0	1	12	9			2	0.75
