rank	cid	score	tier	stateName	countyName	nDet	maxNgL	nDetAnalytes	nPfasFac	nRingPfasFac	colocatedFacilities
1	5526654154308583424	89.66666666666666	A	Maine	Cumberland County	48	1160.0	18	5	1	ENPRO SERVICES OF MAINE, INC; SOUTH PORTLAND TERMINAL LLC; SPRAGUE ENERGY TERMINAL; SK ENVIRONMENTAL SERVICES (POT)
2	5526347528003387392	82.69604870767576	A	Maine	Franklin County	422	24800.0	26	3	0	VERSO  PAPER - ANDROSCOGGIN MILL; PIXELLE ANDROSCOGGIN; SPECIALTY MINERALS INC
3	9935962619418509312	82.0	A	Massachusetts	Middlesex County	3		3	6	4	SEGUE MANUFACTURING SERVICES LLC; DELAWARE VALLEY CORP; MC ASSEMBLY; TEWKSBURY PLANT
4	5526429338540441600	77.78758537510963	A	Maine	Somerset County	192	1650.0	21	2	0	TASMAN LEATHER GROUP LLC - HARTLAND; HARTLAND WASTEWATER TREATMENT FACILITY
5	5525308798752784384	77.56015174679104	A	Maine	Knox County	87	1180.0	19	2	2	MICRO METRICS INC; ELM STREET PRINTING AND GRAPHICS, INC.
6	5525436032863961088	75.51299727524633	A	Maine	Penobscot County	179	35733.0	9	2	4	AIR NATIONAL GUARD 101ST AIR REFUEL WING; 101ST AIR REFUELING WING
7	5525219085475905536	74.09173069415947	A	Maine	Sagadahoc County	493	5495.2	23	2	0	BATH WASTEWATER TREATMENT FACILITY; BATH SNOW DUMP
8	9739900008055963648	72.26194034354899	A	Arizona	Maricopa County	31	225.0	9	9	12	J. B. RODGERS MECHANICAL CONTRACTORS INC.; WHITE ELECTRONIC DESIGNS CORP; ROYAL STONE INDUSTRIES; DEXTER WATER MANAGEMENT SYSTEMS MOGUL
9	5525435998504222720	71.8622866247928	B	Maine	Penobscot County	219	38891.0	22	0	6	[ring] U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE; AIR NATIONAL GUARD 101ST AIR REFUEL WING; MAINE ARMY NATIONAL GUARD; BANGOR INTERNATIONAL AIRPORT
10	5529512369144725504	71.68790578808802	A	Maine	Aroostook County	109	340.3	26	2	0	LIMESTONE WATER & SEWER DISTRICT; LORING WWTF
11	5525220494225178624	70.66901071536839	A	Maine	Cumberland County	601	104265.0	25	1	1	US NAVY NAVAL AIR STATION BRUNSWICK 2
12	9806006873365676032	70.60916791189521	B	Indiana	Allen County	48		25	0	8	[ring] BAE SYSTEMS CONTROLS INCORPORATED; MTI INSULATED PRODUCTS, INC.; TRITECH MANUFACTURING INCORPORATED; POLY HI SOLIDUR
13	5525405349617598464	70.53984825320894	A	Maine	Penobscot County	81	1771.4	23	1	0	SOIL PREPARATION, INC.
14	5525436788778205184	70.51747104498634	A	Maine	Penobscot County	178	201.0	19	2	3	COLDBROOK ENERGY OIL TERMINAL; BUCKEYE TERMINALS, LLC
15	5525229977512968192	70.11978840315987	A	Maine	Sagadahoc County	87	870.0	20	1	0	BATH LANDFILL
16	5525436170302914560	69.58054535138238	B	Maine	Penobscot County	48	53040.8	26	0	5	[ring] U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE; MAINE ARMY NATIONAL GUARD; BANGOR INTERNATIONAL AIRPORT; C & L AVIATION SERVICES, LLC
17	9716077473732493312	69.53989584748912	B	Arizona	Pima County	256	81.0	39	0	5	[ring] U S MICROWAVE; QUALITY PLATING COMPANY INC; CANYON STATE OIL CO INC; CATALINA MSW LANDFILL
18	5529481514099671040	69.24362854310228	A	Maine	Aroostook County	52	392.0	15	2	0	PRESQUE ISLE LANDFILL; AROOSTOOK WASTE SOLUTIONS - PRESQUE ISLE LANDFILL
19	5526347562363125760	68.92523448986307	B	Maine	Franklin County	175	2530.0	25	0	3	[ring] VERSO  PAPER - ANDROSCOGGIN MILL; PIXELLE ANDROSCOGGIN; SPECIALTY MINERALS INC
20	5526401953828962304	68.92432541284815	B	Maine	Somerset County	236	2450.0	31	0	2	[ring] MADISON PAPER MILL; MADISON PAPER INDUSTRIES
