assay,symbol,taxonomy,gene,log2fc,adj_p,osd
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG15203,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/32038,-1.2033,0.000905686,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG5399,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/41900,-1.66812,7.33335e-06,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG7203,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/34055,-7.47309,1.46104e-10,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,neb,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/35293,1.35282,0.017837,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG12071,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/43660,-3.08679,0.0309306,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Cyp4d1,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/31188,-3.18529,0.00892654,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG32259,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/317942,-2.60096,0.00892654,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Cyp9h1,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/36412,-1.27057,0.00976639,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG4000,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/42451,-2.90085,0.0412222,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Act79B,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/40444,-4.36016,0.00131663,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG31832,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/318970,-2.60154,0.000764658,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG32191,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/317903,-1.1786,0.00166823,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG8249,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/36742,-1.3655,0.00383581,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Cpr47Ea,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/36188,-8.09468,0.00760177,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,sosie,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/42961,-1.76163,0.00600876,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CngB,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/37479,-1.15741,1.03992e-05,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,goe,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/32660,-1.21098,0.000314938,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,MFS9,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/42426,-7.05589,0.00760177,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Acp1,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/34052,-7.39973,4.10085e-05,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG30280,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/37522,-1.15921,0.0478829,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Act88F,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/41885,-5.44497,1.21374e-06,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG34327,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/5740714,-4.31244,0.000702262,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,e,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/42521,-3.87779,5.56163e-05,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG7214,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/34053,-5.44867,1.73268e-06,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,ths,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/36258,1.07889,0.00760177,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,NimC2,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/34818,-1.20678,0.00760177,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG8646,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/36394,1.83574,0.0403927,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,mldr,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/31568,1.00699,0.0459046,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Cpr49Ae,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/36351,-2.72357,0.0343687,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Cyp304a1,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/41586,-2.59582,0.0326825,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Scp1,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/3355102,-7.26134,4.94307e-06,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,AsnS,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/2768965,-1.25207,0.018524,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,IM14,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/3885603,-6.57513,0.00943782,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG30281,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/246525,-1.30549,0.0139594,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Cpr92F,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/42450,-11.7436,2.49155e-08,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG43402,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/12797876,-1.04578,8.34529e-05,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Rh6,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/41889,2.06966,0.011202,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG33465,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/3885587,-3.40984,0.00994005,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG7560,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/39276,-1.65033,1.09724e-08,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,CG8745,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/39530,-1.60037,0.00032414,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,LysP,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/38129,-9.29259,0.0124606,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,TkR99D,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/43551,-4.15045,0.0489774,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,Fbp2,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/34259,-5.93345,0.0317867,OSD-347
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-347-c29f16b5cd5b5764e1cffecf6d91cf36,yellow-d,http://purl.obolibrary.org/obo/NCBITaxon_7227,http://www.ncbi.nlm.nih.gov/gene/37703,-6.9098,0.00881311,OSD-347
