assay,symbol,taxonomy,gene,log2fc,adj_p,osd
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-352-afd8850e6da09ca718e931905c6569d1,Tcf7l1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/21415,-1.42314,0.0409755,OSD-352
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Egf,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13645,1.40556,0.0260639,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Sult1c2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69083,2.98257,0.00378569,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Sdf2l1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/64136,-1.69136,0.000244738,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Adgrg2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/237175,1.55002,0.0129905,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Il2ra,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/16184,-1.31036,0.0253045,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Tnc,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/21923,-1.11376,0.000119694,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Ddc,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13195,1.45563,6.8531e-13,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Gata3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14462,-2.76927,0.0353765,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Lcn2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/16819,-2.9068,0.00254868,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Creld2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/76737,-1.17232,0.000848304,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,P4ha1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18451,-1.27857,2.70194e-11,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Acsm3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20216,2.84438,0.0208321,OSD-525
