osd,symbol,entrez,log2fc,adj_p,tissue,system,species,dir,strict
OSD-352,Tcf7l1,21415,-1.42314,0.0409755,brain,CNS,mouse,DOWN,True
OSD-525,Egf,13645,1.40556,0.0260639,cerebellum,CNS,mouse,UP,True
OSD-525,Sult1c2,69083,2.98257,0.00378569,cerebellum,CNS,mouse,UP,True
OSD-525,Sdf2l1,64136,-1.69136,0.000244738,cerebellum,CNS,mouse,DOWN,True
OSD-525,Adgrg2,237175,1.55002,0.0129905,cerebellum,CNS,mouse,UP,True
OSD-525,Il2ra,16184,-1.31036,0.0253045,cerebellum,CNS,mouse,DOWN,True
OSD-525,Tnc,21923,-1.11376,0.000119694,cerebellum,CNS,mouse,DOWN,True
OSD-525,Ddc,13195,1.45563,6.8531e-13,cerebellum,CNS,mouse,UP,True
OSD-525,Gata3,14462,-2.76927,0.0353765,cerebellum,CNS,mouse,DOWN,True
OSD-525,Lcn2,16819,-2.9068,0.00254868,cerebellum,CNS,mouse,DOWN,True
OSD-525,Creld2,76737,-1.17232,0.000848304,cerebellum,CNS,mouse,DOWN,True
OSD-525,P4ha1,18451,-1.27857,2.70194e-11,cerebellum,CNS,mouse,DOWN,True
OSD-525,Acsm3,20216,2.84438,0.0208321,cerebellum,CNS,mouse,UP,True
OSD-525,Alas2,11656,1.04734,0.01864,cerebellum,CNS,mouse,UP,True
OSD-525,Pdia6,71853,-1.00646,9.04131e-05,cerebellum,CNS,mouse,DOWN,True
OSD-525,Enpp3,209558,1.22305,0.0142103,cerebellum,CNS,mouse,UP,True
OSD-525,Slc66a3,217430,1.06259,0.0086504,cerebellum,CNS,mouse,UP,True
OSD-525,Hsph1,15505,-1.23078,6.45098e-06,cerebellum,CNS,mouse,DOWN,True
OSD-525,Serpinc1,11905,-1.33062,0.0103833,cerebellum,CNS,mouse,DOWN,True
OSD-525,Aldob,230163,2.26332,0.0351622,cerebellum,CNS,mouse,UP,True
OSD-525,Lyve1,114332,-1.02183,0.00279966,cerebellum,CNS,mouse,DOWN,True
OSD-525,Cpsf4l,52670,-1.48714,0.000754442,cerebellum,CNS,mouse,DOWN,True
OSD-525,Rbm3,100043257,2.00523,5.43851e-13,cerebellum,CNS,mouse,UP,True
OSD-525,Rdh16,19683,1.60006,0.0463726,cerebellum,CNS,mouse,UP,True
OSD-525,Hspa5,14828,-1.24659,0.00110185,cerebellum,CNS,mouse,DOWN,True
OSD-525,Fos,14281,-1.03118,0.00378569,cerebellum,CNS,mouse,DOWN,True
OSD-525,Map3k15,270672,1.4168,0.00719398,cerebellum,CNS,mouse,UP,True
OSD-525,Calr,12317,-1.04939,9.04535e-07,cerebellum,CNS,mouse,DOWN,True
OSD-525,H4c8,69386,-1.22609,0.00590474,cerebellum,CNS,mouse,DOWN,True
OSD-525,Aox3,71724,1.07591,2.29728e-07,cerebellum,CNS,mouse,UP,True
OSD-525,Sult1a1,20887,1.0075,4.67677e-07,cerebellum,CNS,mouse,UP,True
OSD-525,Oprm1,18390,-1.45074,0.026314,cerebellum,CNS,mouse,DOWN,True
OSD-525,Esrp1,207920,1.44821,0.0411287,cerebellum,CNS,mouse,UP,True
OSD-525,Ptgs2,19225,-1.33324,0.0366529,cerebellum,CNS,mouse,DOWN,True
OSD-525,Il13ra2,16165,1.00903,0.00979515,cerebellum,CNS,mouse,UP,True
OSD-525,Rbm3,19652,2.00523,5.43851e-13,cerebellum,CNS,mouse,UP,True
OSD-525,Rdh9,103142,1.85814,0.00010379,cerebellum,CNS,mouse,UP,True
OSD-525,H4c17,100041230,-1.86174,0.00302542,cerebellum,CNS,mouse,DOWN,True
OSD-525,Spata24,71242,1.02447,0.000185891,cerebellum,CNS,mouse,UP,True
OSD-525,A330076C08Rik,100503592,-1.19535,1.5375e-08,cerebellum,CNS,mouse,DOWN,True
OSD-525,5330429C05Rik,78071,2.84857,1.78031e-05,cerebellum,CNS,mouse,UP,True
OSD-525,Wee2,381759,-1.59148,0.00127342,cerebellum,CNS,mouse,DOWN,True
