symbol,taxonomy,gene,log2fc,adj_p,osd
Rbm3|Rbm3-ps,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100043257,-0.286319,0.0321168,OSD-255
Gm12758,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100126229,0.525764,0.000736478,OSD-255
Rusc2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100213,-0.258645,0.0358581,OSD-255
Gm19410,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100502846,0.663563,0.037889,OSD-255
Klhl3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100503085,-0.309517,0.00640167,OSD-255
Tpbgl,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100503386,-0.329769,0.0168167,OSD-255
Cbarp,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100503659,-0.3058,0.00349577,OSD-255
Tra2a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/101214,0.225746,0.0418169,OSD-255
Dohh,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/102115,-0.371377,0.00318428,OSD-255
Gm16638,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/102631889,0.825831,0.00224855,OSD-255
B230220B15Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/102634835,0.294722,0.00687983,OSD-255
Slc6a8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/102857,-0.196886,0.026103,OSD-255
Ccdc117,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/104479,0.239476,0.0185737,OSD-255
Slc16a6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/104681,-0.189921,0.0201498,OSD-255
Mbnl2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/105559,-0.218022,0.0378611,OSD-255
Csdc2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/105859,-0.195792,0.00539352,OSD-255
Cmc4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/105886298,0.63945,0.0251158,OSD-255
Trip10,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/106628,0.282367,0.0217632,OSD-255
Btaf1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/107182,0.267023,1.44569e-10,OSD-255
Pdzd8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/107368,-0.171778,0.0133245,OSD-255
Unc5a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/107448,0.288238,0.00687983,OSD-255
