osd,symbol,entrez,log2fc,adj_p
OSD-100,Isg15,100038882,0.925441,0.0270044
OSD-100,Rpl35rt,100038991,-0.191665,0.0345953
OSD-100,Kcnj13,100040591,0.382722,0.0160296
OSD-100,R3hdml,100043899,-1.14327,0.00200648
OSD-100,3425401B19Rik,100504518,-0.80615,0.0338435
OSD-100,Upk3b,100647,-0.682534,0.0277344
OSD-100,Ndufb1,102631912,-0.203981,0.0213665
OSD-100,Colq,102639719,-1.15416,0.0394277
OSD-100,Upb1,103149,-1.03639,0.00286851
OSD-100,Tex15,104271,0.421296,0.00632182
OSD-100,Atf5,107503,-0.317897,0.0484367
OSD-100,Fxyd4,108017,-0.965044,0.0177209
OSD-100,Etfb,110826,-0.303294,0.0339561
OSD-100,Kcnq3,110862,0.348497,0.0492588
OSD-100,Scn2a,110876,0.272649,0.000112142
OSD-100,Aldh2,11669,-0.223505,0.00276731
OSD-100,Synpo2,118449,-0.50324,0.0244521
OSD-100,Arntl,11865,0.264445,0.0102838
OSD-100,Atp5a1,11946,-0.249286,0.00290711
OSD-100,Atp5c1,11949,-0.247269,0.0236232
OSD-100,Atp5j,11957,-0.18926,0.0139287
OSD-100,Bckdhb,12040,-0.344957,0.0106649
OSD-100,C1qbp,12261,-0.201339,0.00412057
OSD-100,Cacnb2,12296,0.251858,0.00321513
OSD-100,Cav1,12389,-0.340325,0.00563525
OSD-100,Ccnd2,12444,-0.300122,0.0402277
OSD-100,Cdo1,12583,-0.330689,0.00276731
OSD-100,Cox7c,12867,-0.23482,0.0133835
OSD-100,Dag1,13138,-0.147182,0.0157426
OSD-100,Dbp,13170,-0.455127,0.00620225
OSD-100,Lefty1,13590,-0.767779,0.0208017
OSD-100,Egr4,13656,-0.915593,0.0112217
OSD-100,Chchd2,14004,-0.181417,0.0393189
OSD-100,Fbp2,14120,-1.29637,0.0393189
OSD-100,Fech,14151,-0.254291,0.0438676
OSD-100,Fgf14,14169,0.241602,0.0213665
OSD-100,Fjx1,14221,-0.30702,0.0133835
OSD-100,Gabrr2,14409,0.196965,0.0393189
OSD-100,Gfpt2,14584,-0.628919,0.00278437
OSD-100,Gnat2,14686,0.234576,0.00620225
OSD-100,Gpr65,14744,0.810091,0.0467559
OSD-100,Gpr162,14788,0.231329,0.0235394
OSD-100,Gstm2,14863,-0.37708,0.00479225
OSD-100,Hadh,15107,-0.425695,0.0230538
OSD-100,Hsd17b10,15108,-0.243348,0.00279113
OSD-100,Has2,15117,-0.878143,0.00138171
OSD-100,Hmgcs2,15360,-0.305952,0.00471529
OSD-100,Nr4a1,15370,-0.599796,0.000338681
OSD-100,Ifit1,15957,0.789058,0.0270434
OSD-100,Il1a,16175,0.823782,8.56806e-6
OSD-100,Kcna2,16490,0.210721,0.0263149
OSD-100,Kcns2,16539,0.358595,0.0207931
OSD-100,Kif1c,16562,-0.234663,0.00276731
OSD-100,Klf2,16598,-0.402984,0.00276731
OSD-100,Rpsa,16785,-0.223833,0.0403331
OSD-100,Lrp8,16975,0.196481,0.00106025
OSD-100,Mcl1,17210,-0.163528,0.0201949
OSD-100,Melk,17279,0.334134,0.0443084
OSD-100,Meox2,17286,-0.569237,0.0245722
OSD-100,Myh2,17882,-0.63668,0.00878661
OSD-100,Myl4,17896,-0.667868,0.0133141
OSD-100,Nfe2l2,18024,-0.224186,0.00392963
OSD-100,Nfil3,18030,0.342703,0.00632182
