trait,trait_label,k
http://purl.obolibrary.org/obo/CHEBI_13705,Acetoacetate,2
http://purl.obolibrary.org/obo/CHEBI_16196,Oleic acid,5
http://purl.obolibrary.org/obo/CHEBI_17351,Linoleic acid,4
http://purl.obolibrary.org/obo/CHEBI_24898,Isoleucine,3
http://purl.obolibrary.org/obo/CHEBI_28716,Palmitoleic acid,2
http://purl.obolibrary.org/obo/CHEBI_36023,Vaccenic acid,6
http://purl.obolibrary.org/obo/CHEBI_36700,Phosphocholines,5
http://purl.obolibrary.org/obo/GO_0007623,circadian rhythm,3
http://purl.obolibrary.org/obo/GO_0030728,ovulation,1
http://purl.obolibrary.org/obo/GO_0031427,response to methotrexate,1
http://purl.obolibrary.org/obo/GO_0036270,response to diuretic,1
http://purl.obolibrary.org/obo/GO_0036276,response to antidepressant,1
http://purl.obolibrary.org/obo/GO_0044691,tooth eruption,1
http://purl.obolibrary.org/obo/GO_0050909,sensory perception of taste,1
http://purl.obolibrary.org/obo/GO_0050916,sensory perception of sweet taste,1
http://purl.obolibrary.org/obo/GO_0061476,response to anticoagulant,1
http://purl.obolibrary.org/obo/GO_0070527,platelet aggregation,1
http://purl.obolibrary.org/obo/GO_0097327,response to antineoplastic agent,1
http://purl.obolibrary.org/obo/GO_0097332,response to antipsychotic drug,2
http://purl.obolibrary.org/obo/GO_0097334,response to perphenazine,1
http://purl.obolibrary.org/obo/HP_0000131,Uterine leiomyoma,1
http://purl.obolibrary.org/obo/HP_0000155,Oral ulcer,1
http://purl.obolibrary.org/obo/HP_0000529,Progressive visual loss,4
http://purl.obolibrary.org/obo/HP_0000539,Abnormality of refraction,6
http://purl.obolibrary.org/obo/HP_0000540,Hypermetropia,1
http://purl.obolibrary.org/obo/HP_0000716,Depression,3
http://purl.obolibrary.org/obo/HP_0000821,Hypothyroidism,8
http://purl.obolibrary.org/obo/HP_0000822,Hypertension,14
http://purl.obolibrary.org/obo/HP_0000855,insulin resistance,1
http://purl.obolibrary.org/obo/HP_0000964,Eczematoid dermatitis,4
http://purl.obolibrary.org/obo/HP_0001047,Atopic dermatitis,11
http://purl.obolibrary.org/obo/HP_0001394,Cirrhosis,2
http://purl.obolibrary.org/obo/HP_0001395,Hepatic fibrosis,1
http://purl.obolibrary.org/obo/HP_0001513,Obesity,3
http://purl.obolibrary.org/obo/HP_0001873,Thrombocytopenia,2
http://purl.obolibrary.org/obo/HP_0001907,Thromboembolism,1
http://purl.obolibrary.org/obo/HP_0002014,Diarrhea,1
http://purl.obolibrary.org/obo/HP_0002315,Headache,1
http://purl.obolibrary.org/obo/HP_0002619,Varicose veins,16
http://purl.obolibrary.org/obo/HP_0002861,Melanoma,2
http://purl.obolibrary.org/obo/HP_0002870,obstructive sleep apnea,1
http://purl.obolibrary.org/obo/HP_0002916,Abnormality of chromosome segregation,2
http://purl.obolibrary.org/obo/HP_0003003,Colon cancer,2
http://purl.obolibrary.org/obo/HP_0003416,Spinal canal stenosis,2
http://purl.obolibrary.org/obo/HP_0003418,Back pain,1
http://purl.obolibrary.org/obo/HP_0005086,Knee osteoarthritis,9
http://purl.obolibrary.org/obo/HP_0008770,Obsessive-compulsive trait,1
http://purl.obolibrary.org/obo/HP_0008843,Hip osteoarthritis,15
http://purl.obolibrary.org/obo/HP_0009762,Facial wrinkling,1
http://purl.obolibrary.org/obo/HP_0011459,esophageal carcinoma,1
http://purl.obolibrary.org/obo/HP_0012532,Chronic pain,1
http://purl.obolibrary.org/obo/HP_0012578,Membranous nephropathy,10
http://purl.obolibrary.org/obo/HP_0025267,Snoring,6
http://purl.obolibrary.org/obo/HP_0030839,Knee pain,1
http://purl.obolibrary.org/obo/HP_0032325,Lacunar stroke,1
http://purl.obolibrary.org/obo/HP_0032551,Hemorrhoids (recessive model),11
http://purl.obolibrary.org/obo/HP_0100280,Crohn's disease,17
http://purl.obolibrary.org/obo/HP_0100614,myositis,1
http://purl.obolibrary.org/obo/MONDO_0000001,disease,1
http://purl.obolibrary.org/obo/MONDO_0001039,tonsillitis,2
http://purl.obolibrary.org/obo/MONDO_0001336,familial hyperlipidemia,4
http://purl.obolibrary.org/obo/MONDO_0001703,color vision disorder,17
http://purl.obolibrary.org/obo/MONDO_0001868,Primary angle-closure glaucoma,1
http://purl.obolibrary.org/obo/MONDO_0002009,major depressive disorder,15
http://purl.obolibrary.org/obo/MONDO_0002108,Thyroid cancer,4
http://purl.obolibrary.org/obo/MONDO_0002367,Kidney cancer,1
http://purl.obolibrary.org/obo/MONDO_0002436,nasal disorder,1
http://purl.obolibrary.org/obo/MONDO_0002442,Long QT syndrome,10
http://purl.obolibrary.org/obo/MONDO_0002494,substance-related disorder,1
http://purl.obolibrary.org/obo/MONDO_0002974,Cervical cancer,2
http://purl.obolibrary.org/obo/MONDO_0003009,Hyperaldosteronism,5
http://purl.obolibrary.org/obo/MONDO_0003232,alcoholic pancreatitis,1
http://purl.obolibrary.org/obo/MONDO_0003233,essential tremor,5
http://purl.obolibrary.org/obo/MONDO_0004235,diverticulitis,2
http://purl.obolibrary.org/obo/MONDO_0004648,Vascular dementia,2
http://purl.obolibrary.org/obo/MONDO_0004678,Dermatophytosis,11
http://purl.obolibrary.org/obo/MONDO_0004847,Senile cataract,4
http://purl.obolibrary.org/obo/MONDO_0004867,upper respiratory tract disorder,1
http://purl.obolibrary.org/obo/MONDO_0004872,hemorrhoid,1
http://purl.obolibrary.org/obo/MONDO_0004892,refractive error,4
http://purl.obolibrary.org/obo/MONDO_0004980,atopic eczema,4
http://purl.obolibrary.org/obo/MONDO_0004985,bipolar disorder,4
http://purl.obolibrary.org/obo/MONDO_0004992,cancer,2
http://purl.obolibrary.org/obo/MONDO_0005002,chronic obstructive pulmonary disease,8
http://purl.obolibrary.org/obo/MONDO_0005005,clear cell renal carcinoma,2
http://purl.obolibrary.org/obo/MONDO_0005015,diabetes mellitus,2
http://purl.obolibrary.org/obo/MONDO_0005027,epilepsy,1
http://purl.obolibrary.org/obo/MONDO_0005037,gastric intestinal type adenocarcinoma,1
http://purl.obolibrary.org/obo/MONDO_0005052,irritable bowel syndrome,7
http://purl.obolibrary.org/obo/MONDO_0005083,psoriasis,3
http://purl.obolibrary.org/obo/MONDO_0005111,Epstein-Barr virus infection,1
http://purl.obolibrary.org/obo/MONDO_0005124,leprosy,1
http://purl.obolibrary.org/obo/MONDO_0005131,cervical carcinoma,1
http://purl.obolibrary.org/obo/MONDO_0005136,malaria,2
http://purl.obolibrary.org/obo/MONDO_0005138,lung carcinoma,2
http://purl.obolibrary.org/obo/MONDO_0005145,sporadic amyotrophic lateral sclerosis,4
http://purl.obolibrary.org/obo/MONDO_0005146,post-traumatic stress disorder,1
http://purl.obolibrary.org/obo/MONDO_0005147,type 1 diabetes mellitus,1
http://purl.obolibrary.org/obo/MONDO_0005148,type 2 diabetes mellitus,8
http://purl.obolibrary.org/obo/MONDO_0005150,Age-related macular degeneration (AMD),10
http://purl.obolibrary.org/obo/MONDO_0005159,prostate carcinoma,4
http://purl.obolibrary.org/obo/MONDO_0005180,Parkinson disease,8
http://purl.obolibrary.org/obo/MONDO_0005206,renal carcinoma,3
http://purl.obolibrary.org/obo/MONDO_0005252,Heart failure,7
http://purl.obolibrary.org/obo/MONDO_0005265,inflammatory bowel disease,6
http://purl.obolibrary.org/obo/MONDO_0005266,Diabetic retinopathy,10
http://purl.obolibrary.org/obo/MONDO_0005271,allergic disease,3
http://purl.obolibrary.org/obo/MONDO_0005277,migraine disorder,1
http://purl.obolibrary.org/obo/MONDO_0005291,brain aneurysm,2
http://purl.obolibrary.org/obo/MONDO_0005294,Peripheral vascular disease (heterodominant model),8
http://purl.obolibrary.org/obo/MONDO_0005296,Sleep apnea syndrome,2
http://purl.obolibrary.org/obo/MONDO_0005301,Multiple sclerosis,3
http://purl.obolibrary.org/obo/MONDO_0005306,ankylosing spondylitis,4
http://purl.obolibrary.org/obo/MONDO_0005338,open-angle glaucoma,3
http://purl.obolibrary.org/obo/MONDO_0005342,IGA glomerulonephritis,3
http://purl.obolibrary.org/obo/MONDO_0005361,eosinophilic esophagitis,1
http://purl.obolibrary.org/obo/MONDO_0005379,neurotic disorder,2
http://purl.obolibrary.org/obo/MONDO_0005391,restless legs syndrome,3
http://purl.obolibrary.org/obo/MONDO_0005398,upper aerodigestive tract neoplasm,3
http://purl.obolibrary.org/obo/MONDO_0005399,venous thromboembolism,1
http://purl.obolibrary.org/obo/MONDO_0005406,Gestational diabetes,3
http://purl.obolibrary.org/obo/MONDO_0005416,osteoarthritis; knee,1
http://purl.obolibrary.org/obo/MONDO_0005417,wet macular degeneration,1
http://purl.obolibrary.org/obo/MONDO_0005452,bulimia nervosa,1
http://purl.obolibrary.org/obo/MONDO_0005484,colorectal adenoma,1
http://purl.obolibrary.org/obo/MONDO_0005488,Adolescent idiopathic scoliosis,4
http://purl.obolibrary.org/obo/MONDO_0005490,large artery stroke,3
http://purl.obolibrary.org/obo/MONDO_0005491,Chagas cardiomyopathy,1
http://purl.obolibrary.org/obo/MONDO_0005575,colorectal cancer,4
http://purl.obolibrary.org/obo/MONDO_0005592,smooth surface dental caries,1
http://purl.obolibrary.org/obo/MONDO_0005618,anxiety disorder,2
http://purl.obolibrary.org/obo/MONDO_0005623,autoimmune thyroid disease,2
http://purl.obolibrary.org/obo/MONDO_0005689,cannabis dependence,2
http://purl.obolibrary.org/obo/MONDO_0006061,cervical artery dissection,1
http://purl.obolibrary.org/obo/MONDO_0006519,Rectal cancer,1
http://purl.obolibrary.org/obo/MONDO_0006632,osteoarthritis; hand,1
http://purl.obolibrary.org/obo/MONDO_0006761,fibromuscular dysplasia,2
http://purl.obolibrary.org/obo/MONDO_0006968,shoulder impingement syndrome,1
http://purl.obolibrary.org/obo/MONDO_0007179,autoimmune disease,4
http://purl.obolibrary.org/obo/MONDO_0007186,Gastroesophageal reflux disease (GERD),7
http://purl.obolibrary.org/obo/MONDO_0007254,Breast cancer,2
http://purl.obolibrary.org/obo/MONDO_0007275,Carpal tunnel syndrome,10
http://purl.obolibrary.org/obo/MONDO_0007488,Lewy body dementia,1
http://purl.obolibrary.org/obo/MONDO_0007803,multiple system atrophy,2
http://purl.obolibrary.org/obo/MONDO_0007863,Kleine-Levin syndrome,2
http://purl.obolibrary.org/obo/MONDO_0008277,stomach polyp,1
http://purl.obolibrary.org/obo/MONDO_0008487,Polycystic ovary syndrome (PCOS),4
http://purl.obolibrary.org/obo/MONDO_0008903,lung cancer,2
http://purl.obolibrary.org/obo/MONDO_0011126,Acute insulin response,2
http://purl.obolibrary.org/obo/MONDO_0011847,migraine without aura; susceptibility to; 4,1
http://purl.obolibrary.org/obo/MONDO_0011849,psoriatic arthritis,1
http://purl.obolibrary.org/obo/MONDO_0011962,Endometrial cancer,5
http://purl.obolibrary.org/obo/MONDO_0015447,differentiated thyroid carcinoma,1
http://purl.obolibrary.org/obo/MONDO_0016158,narcolepsy-cataplexy syndrome,1
http://purl.obolibrary.org/obo/MONDO_0018076,tuberculosis,1
http://purl.obolibrary.org/obo/MONDO_0019100,Neuromyelitis optica,2
http://purl.obolibrary.org/obo/MONDO_0020592,disorder of pharynx,1
http://purl.obolibrary.org/obo/MONDO_0021392,polyp of large intestine,1
http://purl.obolibrary.org/obo/MONDO_0021400,polyp of colon,1
http://purl.obolibrary.org/obo/MONDO_0043459,radiation-induced disorder,1
http://purl.obolibrary.org/obo/MONDO_0100096,COVID-19,7
http://purl.obolibrary.org/obo/NBO_0000160,Sleep duration,15
http://purl.obolibrary.org/obo/NCIT_C16273,Alcohol consumption,3
http://purl.obolibrary.org/obo/NCIT_C74532,nervousness,1
http://purl.obolibrary.org/obo/OBA_0003747,glomerular filtration rate,8
http://purl.obolibrary.org/obo/OBA_1000031,Neck circumference,7
http://purl.obolibrary.org/obo/OBA_1000032,Hip circumference,5
http://purl.obolibrary.org/obo/OBA_1001085,Waist circumference,4
http://purl.obolibrary.org/obo/OBA_1001086,QRS duration,5
http://purl.obolibrary.org/obo/OBA_1001087,heart rate,1
http://purl.obolibrary.org/obo/OBA_2001001,age of onset of asthma,1
http://purl.obolibrary.org/obo/OBA_2001015,age of onset of childhood onset asthma,1
http://purl.obolibrary.org/obo/OBA_2040073,trait in response to paclitaxel,2
http://purl.obolibrary.org/obo/OBA_2040141,trait in response to venlafaxine,1
http://purl.obolibrary.org/obo/OBA_2040170,sleep quality,2
http://purl.obolibrary.org/obo/OBA_2045264,Optic disc area,2
http://purl.obolibrary.org/obo/OBA_2045265,Optic cup area,7
http://purl.obolibrary.org/obo/OBA_2045559,bone density,3
http://purl.obolibrary.org/obo/OBA_2050001,Ascending aorta diameter,19
http://purl.obolibrary.org/obo/OBA_2050002,Descending aorta diameter,9
http://purl.obolibrary.org/obo/OBA_2050015,Kidney volume,4
http://purl.obolibrary.org/obo/OBA_2050033,liver volume,3
http://purl.obolibrary.org/obo/OBA_2050034,amygdala volume,2
http://purl.obolibrary.org/obo/OBA_2050049,presubiculum volume,1
http://purl.obolibrary.org/obo/OBA_2050103,hip bone size,1
http://purl.obolibrary.org/obo/OBA_2050200,prostate specific antigen amount,1
http://purl.obolibrary.org/obo/OBA_2050328,trait in response to apixaban,1
http://purl.obolibrary.org/obo/OBA_2050338,level of oxylipin in blood plasma,1
http://purl.obolibrary.org/obo/OBA_2050351,breast density,4
http://purl.obolibrary.org/obo/OBA_VT0001253,body height,7
http://purl.obolibrary.org/obo/PATO_0000047,biological sex,3
http://purl.obolibrary.org/obo/PR_000003777,Adiponectin,1
http://purl.obolibrary.org/obo/PR_000005965,Cystatin C,6
http://purl.obolibrary.org/obo/PR_000009758,Leptin,1
http://www.ebi.ac.uk/efo/EFO_0000180,HIV-1 infection,2
http://www.ebi.ac.uk/efo/EFO_0000195,metabolic syndrome,12
http://www.ebi.ac.uk/efo/EFO_0002503,cardiac hypertrophy,1
http://www.ebi.ac.uk/efo/EFO_0003924,hair color,5
http://www.ebi.ac.uk/efo/EFO_0003926,neuropsychological test,2
http://www.ebi.ac.uk/efo/EFO_0003949,eye color,1
http://www.ebi.ac.uk/efo/EFO_0004195,LDL cholesterol,11
http://www.ebi.ac.uk/efo/EFO_0004207,pathological myopia,2
http://www.ebi.ac.uk/efo/EFO_0004267,biliary liver cirrhosis,1
