symbol,trait,trait_label
ABHD16A,http://purl.obolibrary.org/obo/MONDO_0002974,Cervical cancer
ABHD16A,http://purl.obolibrary.org/obo/MONDO_0005306,ankylosing spondylitis
ABHD16A,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
ABHD16A,http://www.ebi.ac.uk/efo/EFO_0007984,platelet component distribution width
ABHD16A,http://www.orpha.net/ORDO/Orphanet_100981,Autosomal recessive complex spastic paraplegia
ABHD16A,http://www.orpha.net/ORDO/Orphanet_102013,Complex hereditary spastic paraplegia
ABHD16A,http://www.orpha.net/ORDO/Orphanet_182070,Rare neurodegenerative disease
ABHD16A,http://www.orpha.net/ORDO/Orphanet_183500,Genetic neurodegenerative disease
ABHD16A,http://www.orpha.net/ORDO/Orphanet_220452,Isolated hereditary giant platelet disorder
ABHD16A,http://www.orpha.net/ORDO/Orphanet_248326,Rare hemorrhagic disorder due to a platelet anomaly
ABHD16A,http://www.orpha.net/ORDO/Orphanet_275729,Rare hemorrhagic disorder due to a constitutional thrombocytopenia
ABHD16A,http://www.orpha.net/ORDO/Orphanet_309824,Disorder of metabolite absorption and transport
ABHD16A,http://www.orpha.net/ORDO/Orphanet_309827,Disorder of vitamin and non-protein cofactor absorption and transport
ABHD16A,http://www.orpha.net/ORDO/Orphanet_309848,Disorder of magnesium transport
ABHD16A,http://www.orpha.net/ORDO/Orphanet_352301,Disorder of phospholipids; sphingolipids and fatty acids biosynthesis
ABHD16A,http://www.orpha.net/ORDO/Orphanet_477797,Isolated constitutional thrombocytopenia
ABHD16A,http://www.orpha.net/ORDO/Orphanet_685,Hereditary spastic paraplegia
ABHD16A,http://www.orpha.net/ORDO/Orphanet_71202,Rare hemorrhagic disorder due to a constitutional platelet anomaly
ABHD16A,http://www.orpha.net/ORDO/Orphanet_71859,Rare genetic neurological disorder
ABHD16A,http://www.orpha.net/ORDO/Orphanet_98006,Rare neurologic disease
ABHD16A,http://www.orpha.net/ORDO/Orphanet_98053,Rare genetic disease
