family,category,label,aspect,K,k,n,N,expected,fold,p,fdr
GO,GO_0015986,proton motive force-driven ATP synthesis,BP,9,5,75,8290,0.08,61.41,6.487179925466761e-09,5.96820553142942e-07
GO,GO_0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF,5,4,75,8290,0.05,88.43,3.069214780884073e-08,1.4118387992066737e-06
GO,GO_0006754,ATP biosynthetic process,BP,11,4,75,8290,0.1,40.19,1.9438340642045015e-06,5.9610911302271384e-05
GO,GO_0042776,proton motive force-driven mitochondrial ATP synthesis,BP,35,5,75,8290,0.32,15.79,1.3913253608079817e-05,0.0003200048329858358
GO,GO_0006811,monoatomic ion transport,BP,365,13,75,8290,3.3,3.94,1.9975971907518124e-05,0.00036755788309833346
GO,GO_0060078,regulation of postsynaptic membrane potential,BP,35,4,75,8290,0.32,12.63,0.00026164112302361317,0.004011830553028736
GO,GO_0042470,melanosome,CC,76,5,75,8290,0.69,7.27,0.0005936014871385563,0.00695878950959631
GO,GO_0006457,protein folding,BP,116,6,75,8290,1.05,5.72,0.0006051121312692444,0.00695878950959631
GO,GO_1902600,proton transmembrane transport,BP,86,5,75,8290,0.78,6.43,0.0010432786792878629,0.010003446758106518
GO,GO_0043025,neuronal cell body,CC,231,8,75,8290,2.09,3.83,0.001087331169359404,0.010003446758106518
GO,GO_0045202,synapse,CC,266,8,75,8290,2.41,3.32,0.0026540733243514037,0.020432536936348403
GO,GO_0071320,cellular response to cAMP,BP,31,3,75,8290,0.28,10.7,0.002665113513436748,0.020432536936348403
GO,GO_0044183,protein folding chaperone,MF,35,3,75,8290,0.32,9.47,0.0037814412676359854,0.02676096897096236
GO,GO_0005783,endoplasmic reticulum,CC,640,13,75,8290,5.79,2.25,0.00447620591550409,0.02767079386176247
GO,GO_0016323,basolateral plasma membrane,CC,172,6,75,8290,1.56,3.86,0.004511542477461272,0.02767079386176247
GO,GO_0005739,mitochondrion,CC,744,14,75,8290,6.73,2.08,0.0062210394955229155,0.03385956733198084
GO,GO_0006836,neurotransmitter transport,BP,42,3,75,8290,0.38,7.9,0.006339614975523875,0.03385956733198084
GO,GO_0016746,acyltransferase activity,MF,83,4,75,8290,0.75,5.33,0.006624697956257121,0.03385956733198084
GO,GO_0016020,membrane,CC,2825,36,75,8290,25.56,1.41,0.008506866040605089,0.041191140828193064
GO,GO_0005216,monoatomic ion channel activity,MF,145,5,75,8290,1.31,3.81,0.00989165076674734,0.0438674258343038
GO,GO_0051289,protein homotetramerization,BP,50,3,75,8290,0.45,6.63,0.010280406621692804,0.0438674258343038
GO,GO_0071260,cellular response to mechanical stimulus,BP,51,3,75,8290,0.46,6.5,0.010852960554204927,0.0438674258343038
GO,GO_0001666,response to hypoxia,BP,97,4,75,8290,0.88,4.56,0.01136397331755914,0.0438674258343038
GO,GO_0009925,basal plasma membrane,CC,52,3,75,8290,0.47,6.38,0.011443676304600992,0.0438674258343038
GO,GO_0005267,potassium channel activity,MF,55,3,75,8290,0.5,6.03,0.013325733255839283,0.04877374439730489
GO,GO_0022857,transmembrane transporter activity,MF,104,4,75,8290,0.94,4.25,0.014386298398185431,0.04877374439730489
GO,GO_0007268,chemical synaptic transmission,BP,106,4,75,8290,0.96,4.17,0.015334802628713845,0.04877374439730489
GO,GO_0030165,PDZ domain binding,MF,58,3,75,8290,0.52,5.72,0.015374332473063499,0.04877374439730489
GO,GO_0051213,dioxygenase activity,MF,58,3,75,8290,0.52,5.72,0.015374332473063499,0.04877374439730489
GO,GO_0005743,mitochondrial inner membrane,CC,226,6,75,8290,2.04,2.93,0.016194081808125125,0.04966185087825038
GO,GO_0005759,mitochondrial matrix,CC,234,6,75,8290,2.12,2.83,0.01890350909009591,0.05610073665447818
GO,GO_0034220,monoatomic ion transmembrane transport,BP,239,6,75,8290,2.16,2.77,0.020746782340105564,0.0596469992278035
GO,GO_0030424,axon,CC,243,6,75,8290,2.2,2.73,0.022307087487883633,0.0621894560268271
GO,GO_0090090,negative regulation of canonical Wnt signaling pathway,BP,70,3,75,8290,0.63,4.74,0.025260824869301965,0.06639988251359374
GO,GO_0051087,protein-folding chaperone binding,MF,70,3,75,8290,0.63,4.74,0.025260824869301965,0.06639988251359374
GO,GO_0051082,unfolded protein binding,MF,77,3,75,8290,0.7,4.31,0.032284853183461006,0.08250573591328923
GO,GO_0071805,potassium ion transmembrane transport,BP,81,3,75,8290,0.73,4.09,0.03671120618650178,0.09128191808535578
GO,GO_0055085,transmembrane transport,BP,278,6,75,8290,2.52,2.39,0.03943608939784872,0.0948911339118735
GO,GO_0006813,potassium ion transport,BP,84,3,75,8290,0.76,3.95,0.0402255893756855,0.0948911339118735
GO,GO_0003779,actin binding,MF,213,5,75,8290,1.93,2.59,0.04328291447503708,0.0980120893115461
GO,GO_0005789,endoplasmic reticulum membrane,CC,602,10,75,8290,5.45,1.84,0.0436793006714499,0.0980120893115461
GO,GO_0005198,structural molecule activity,MF,93,3,75,8290,0.84,3.57,0.051750000989450234,0.11335714502451004
GO,GO_0043204,perikaryon,CC,96,3,75,8290,0.87,3.45,0.05591107179250636,0.1169049682934224
GO,GO_0045766,positive regulation of angiogenesis,BP,96,3,75,8290,0.87,3.45,0.05591107179250636,0.1169049682934224
GO,GO_0030496,midbody,CC,99,3,75,8290,0.9,3.35,0.06022763403627085,0.12313205180748707
GO,GO_0016324,apical plasma membrane,CC,238,5,75,8290,2.15,2.32,0.06385989382480398,0.12771978764960795
GO,GO_0038023,signaling receptor activity,MF,171,4,75,8290,1.55,2.59,0.0688187808777599,0.13285474943174705
GO,GO_0005741,mitochondrial outer membrane,CC,105,3,75,8290,0.95,3.16,0.06931552144265064,0.13285474943174705
GO,GO_0045211,postsynaptic membrane,CC,107,3,75,8290,0.97,3.1,0.07247616683856961,0.13607770100302866
GO,GO_0014069,postsynaptic density,CC,109,3,75,8290,0.99,3.04,0.07570086277564868,0.13928958750719356
GO,GO_0005788,endoplasmic reticulum lumen,CC,257,5,75,8290,2.33,2.15,0.08264364617128014,0.14908265583838773
GO,GO_0005615,extracellular space,CC,809,11,75,8290,7.32,1.5,0.11049684815598182,0.19549442366058323
GO,GO_0031965,nuclear membrane,CC,131,3,75,8290,1.19,2.53,0.11509453716864977,0.19978674376444866
GO,GO_0005829,cytosol,CC,2641,29,75,8290,23.89,1.21,0.12648967190483382,0.21418248840539453
GO,GO_0016787,hydrolase activity,MF,1023,13,75,8290,9.26,1.4,0.1280438789380076,0.21418248840539453
GO,GO_0019904,protein domain specific binding,MF,139,3,75,8290,1.26,2.39,0.13102018868299378,0.21463719535991613
GO,GO_0051301,cell division,BP,217,4,75,8290,1.96,2.04,0.1329817406034263,0.21463719535991613
GO,GO_0005509,calcium ion binding,MF,387,6,75,8290,3.5,1.71,0.136816156155409,0.21701873045340742
GO,GO_0043005,neuron projection,CC,147,3,75,8290,1.33,2.26,0.14767891023063262,0.23027897866471528
GO,GO_0042802,identical protein binding,MF,972,12,75,8290,8.79,1.36,0.16340115809297354,0.2483951338027832
GO,GO_0016887,ATP hydrolysis activity,MF,236,4,75,8290,2.14,1.87,0.16482913289397105,0.2483951338027832
GO,GO_0005886,plasma membrane,CC,2511,27,75,8290,22.72,1.19,0.16937917652753678,0.2483951338027832
GO,GO_0045296,cadherin binding,MF,239,4,75,8290,2.16,1.85,0.17009666771277546,0.2483951338027832
GO,GO_0016491,oxidoreductase activity,MF,327,5,75,8290,2.96,1.69,0.1734438801015089,0.24932557764591906
GO,GO_0030425,dendrite,CC,267,4,75,8290,2.42,1.66,0.22189307260464214,0.3117030776239836
GO,GO_0006629,lipid metabolic process,BP,453,6,75,8290,4.1,1.46,0.22555522685947996,0.3117030776239836
GO,GO_0000166,nucleotide binding,MF,1142,13,75,8290,10.33,1.26,0.22700115435659673,0.3117030776239836
GO,GO_0031625,ubiquitin protein ligase binding,MF,186,3,75,8290,1.68,1.78,0.23685164834317307,0.32044634775841063
GO,GO_0003824,catalytic activity,MF,193,3,75,8290,1.75,1.72,0.25383221272931955,0.3354287214147414
GO,GO_0043066,negative regulation of apoptotic process,BP,284,4,75,8290,2.57,1.56,0.25521750542425975,0.3354287214147414
GO,GO_0006915,apoptotic process,BP,394,5,75,8290,3.56,1.4,0.28427932375097315,0.36836194063506383
GO,GO_0009986,cell surface,CC,498,6,75,8290,4.51,1.33,0.2948333343522951,0.3710676946364732
GO,GO_0005524,ATP binding,MF,1006,11,75,8290,9.1,1.21,0.2981381125860741,0.3710676946364732
GO,GO_0048471,perinuclear region of cytoplasm,CC,402,5,75,8290,3.64,1.37,0.29846749351194585,0.3710676946364732
GO,GO_0008270,zinc ion binding,MF,756,8,75,8290,6.84,1.17,0.37593163436096994,0.4573736554445165
GO,GO_0005515,protein binding,MF,6448,60,75,8290,58.34,1.03,0.3815019622205001,0.4573736554445165
GO,GO_0006954,inflammatory response,BP,245,3,75,8290,2.22,1.35,0.38280186379595404,0.4573736554445165
GO,GO_0007165,signal transduction,BP,943,9,75,8290,8.53,1.05,0.48585618985764756,0.5730611470115843
GO,GO_0070062,extracellular exosome,CC,1516,14,75,8290,13.72,1.02,0.51321687541442,0.5976702852927422
GO,GO_0006974,DNA damage response,BP,314,3,75,8290,2.84,1.06,0.5449128955593301,0.6266498298932296
GO,GO_0005730,nucleolus,CC,456,4,75,8290,4.13,0.97,0.5976266177561473,0.6787857880687106
GO,GO_0005576,extracellular region,CC,1332,11,75,8290,12.05,0.91,0.6779495640918635,0.7541452513486149
GO,GO_0030154,cell differentiation,BP,383,3,75,8290,3.47,0.87,0.6803701724123373,0.7541452513486149
