osd,hEntrez,humanSymbol,log2fc,adj_p,top_fanout,model_symbols,tissue,system,species,dir,strict
OSD-100,217,ALDH2,-0.223505,0.00276731,1,Aldh2,left eye,OCULAR,mouse,DOWN,False
OSD-100,219,ALDH1B1,-0.658454,0.0133141,1,Aldh1b1,left eye,OCULAR,mouse,DOWN,False
OSD-100,406,ARNTL,0.264445,0.0102838,1,Arntl,left eye,OCULAR,mouse,UP,False
OSD-100,498,ATP5F1A,-0.249286,0.00290711,1,Atp5a1,left eye,OCULAR,mouse,DOWN,False
OSD-100,509,ATP5F1C,-0.247269,0.0236232,1,Atp5c1,left eye,OCULAR,mouse,DOWN,False
OSD-100,513,ATP5F1D,-0.171768,0.00632182,1,Atp5d,left eye,OCULAR,mouse,DOWN,False
OSD-100,514,ATP5F1E,-0.240636,0.0116062,1,Atp5e,left eye,OCULAR,mouse,DOWN,False
OSD-100,522,ATP5PF,-0.18926,0.0139287,1,Atp5j,left eye,OCULAR,mouse,DOWN,False
OSD-100,539,ATP5PO,-0.308637,0.00263445,1,Atp5po,left eye,OCULAR,mouse,DOWN,False
OSD-100,594,BCKDHB,-0.344957,0.0106649,1,Bckdhb,left eye,OCULAR,mouse,DOWN,False
OSD-100,708,C1QBP,-0.201339,0.00412057,1,C1qbp,left eye,OCULAR,mouse,DOWN,False
OSD-100,783,CACNB2,0.251858,0.00321513,1,Cacnb2,left eye,OCULAR,mouse,UP,False
OSD-100,857,CAV1,-0.340325,0.00563525,1,Cav1,left eye,OCULAR,mouse,DOWN,False
OSD-100,894,CCND2,-0.300122,0.0402277,1,Ccnd2,left eye,OCULAR,mouse,DOWN,False
OSD-100,1036,CDO1,-0.330689,0.00276731,1,Cdo1,left eye,OCULAR,mouse,DOWN,False
OSD-100,1316,KLF6,-0.211489,0.00198796,1,Klf6,left eye,OCULAR,mouse,DOWN,False
OSD-100,1350,COX7C,-0.23482,0.0133835,1,Cox7c,left eye,OCULAR,mouse,DOWN,False
OSD-100,1605,DAG1,-0.147182,0.0157426,1,Dag1,left eye,OCULAR,mouse,DOWN,False
OSD-100,1628,DBP,-0.455127,0.00620225,1,Dbp,left eye,OCULAR,mouse,DOWN,False
OSD-100,1737,DLAT,-0.355894,0.00780106,1,Dlat,left eye,OCULAR,mouse,DOWN,False
OSD-100,1891,ECH1,-0.438634,0.0229861,1,Ech1,left eye,OCULAR,mouse,DOWN,False
OSD-100,1933,EEF1B2,-0.204578,0.0318105,1,Eef1b2,left eye,OCULAR,mouse,DOWN,False
OSD-100,1936,EEF1D,-0.26748,0.0278744,1,Eef1d,left eye,OCULAR,mouse,DOWN,False
OSD-100,1961,EGR4,-0.915593,0.0112217,1,Egr4,left eye,OCULAR,mouse,DOWN,False
OSD-100,2109,ETFB,-0.303294,0.0339561,1,Etfb,left eye,OCULAR,mouse,DOWN,False
OSD-100,2235,FECH,-0.254291,0.0438676,1,Fech,left eye,OCULAR,mouse,DOWN,False
OSD-100,2259,FGF14,0.241602,0.0213665,1,Fgf14,left eye,OCULAR,mouse,UP,False
OSD-100,2570,GABRR2,0.196965,0.0393189,1,Gabrr2,left eye,OCULAR,mouse,UP,False
OSD-100,2780,GNAT2,0.234576,0.00620225,1,Gnat2,left eye,OCULAR,mouse,UP,False
OSD-100,2849,GPR26,0.344637,0.0112217,1,Gpr26,left eye,OCULAR,mouse,UP,False
OSD-100,2944,GSTM1,-0.37708,0.00479225,2,Gstm2,left eye,OCULAR,mouse,DOWN,False
OSD-100,2949,GSTM5,-0.37708,0.00479225,2,Gstm2,left eye,OCULAR,mouse,DOWN,False
OSD-100,3028,HSD17B10,-0.243348,0.00279113,1,Hsd17b10,left eye,OCULAR,mouse,DOWN,False
OSD-100,3033,HADH,-0.425695,0.0230538,1,Hadh,left eye,OCULAR,mouse,DOWN,False
OSD-100,3037,HAS2,-0.878143,0.00138171,1,Has2,left eye,OCULAR,mouse,DOWN,False
OSD-100,3158,HMGCS2,-0.305952,0.00471529,1,Hmgcs2,left eye,OCULAR,mouse,DOWN,False
OSD-100,3164,NR4A1,-0.599796,0.000338681,1,Nr4a1,left eye,OCULAR,mouse,DOWN,False
OSD-100,3418,IDH2,-0.389207,0.0372066,1,Idh2,left eye,OCULAR,mouse,DOWN,False
OSD-100,3434,IFIT1,0.789058,0.0270434,2,Ifit1,left eye,OCULAR,mouse,UP,False
OSD-100,3552,IL1A,0.823782,8.56806e-06,1,Il1a,left eye,OCULAR,mouse,UP,False
OSD-100,3737,KCNA2,0.210721,0.0263149,1,Kcna2,left eye,OCULAR,mouse,UP,False
OSD-100,3769,KCNJ13,0.382722,0.0160296,1,Kcnj13,left eye,OCULAR,mouse,UP,False
OSD-100,3786,KCNQ3,0.348497,0.0492588,1,Kcnq3,left eye,OCULAR,mouse,UP,False
OSD-100,3788,KCNS2,0.358595,0.0207931,1,Kcns2,left eye,OCULAR,mouse,UP,False
OSD-100,3921,RPSA,-0.223833,0.0403331,2,Rpsa,left eye,OCULAR,mouse,DOWN,False
OSD-100,3993,LLGL2,0.175229,0.0233172,1,Llgl2,left eye,OCULAR,mouse,UP,False
OSD-100,4059,BCAM,-0.320432,0.0247158,1,Bcam,left eye,OCULAR,mouse,DOWN,False
OSD-100,4170,MCL1|ADAMTSL4-AS1,-0.163528,0.0201949,1,Mcl1,left eye,OCULAR,mouse,DOWN,False
OSD-100,4223,MEOX2,-0.569237,0.0245722,1,Meox2,left eye,OCULAR,mouse,DOWN,False
OSD-100,4330,MN1,-0.396811,0.00956072,1,Mn1,left eye,OCULAR,mouse,DOWN,False
OSD-100,4357,MPST,-0.209908,0.0307234,1,Mpst,left eye,OCULAR,mouse,DOWN,False
OSD-100,4620,MYH2,-0.63668,0.00878661,1,Myh2,left eye,OCULAR,mouse,DOWN,False
OSD-100,4635,MYL4,-0.667868,0.0133141,1,Myl4,left eye,OCULAR,mouse,DOWN,False
OSD-100,4704,NDUFA9,-0.293361,0.0230197,1,Ndufa9,left eye,OCULAR,mouse,DOWN,False
OSD-100,4707,NDUFB1,-0.203981,0.0213665,1,Ndufb1,left eye,OCULAR,mouse,DOWN,False
OSD-100,4715,NDUFB9,-0.276371,0.0158662,1,Ndufb9,left eye,OCULAR,mouse,DOWN,False
OSD-100,4780,NFE2L2,-0.224186,0.00392963,1,Nfe2l2,left eye,OCULAR,mouse,DOWN,False
OSD-100,4783,NFIL3,0.342703,0.00632182,1,Nfil3,left eye,OCULAR,mouse,UP,False
OSD-100,4831,NME2,-0.333778,9.89826e-12,2,Nme2,left eye,OCULAR,mouse,DOWN,False
OSD-100,4862,NPAS2,0.579196,0.0112217,1,Npas2,left eye,OCULAR,mouse,UP,False
OSD-100,4938,OAS1,1.52099,0.000611469,1,Oas1a,left eye,OCULAR,mouse,UP,True
OSD-100,4939,OAS2,1.73852,0.00162182,1,Oas2,left eye,OCULAR,mouse,UP,True
OSD-100,4940,OAS3,1.5628,0.00577501,1,Oas3,left eye,OCULAR,mouse,UP,True
OSD-100,5007,OSBP,-0.152842,0.00768482,1,Osbp,left eye,OCULAR,mouse,DOWN,False
OSD-100,5096,PCCB,-0.257312,0.042466,1,Pccb,left eye,OCULAR,mouse,DOWN,False
OSD-100,5239,PGM5,-0.427751,0.00200648,1,Pgm5,left eye,OCULAR,mouse,DOWN,False
OSD-100,5241,PGR,0.414276,0.0467933,1,Pgr,left eye,OCULAR,mouse,UP,False
OSD-100,5269,SERPINB6,-0.279992,0.0293771,1,Serpinb6a,left eye,OCULAR,mouse,DOWN,False
OSD-100,5339,PLEC,-0.214382,0.0139287,1,Plec,left eye,OCULAR,mouse,DOWN,False
OSD-100,5350,PLN,-1.16046,0.00264376,1,Pln,left eye,OCULAR,mouse,DOWN,True
OSD-100,5606,MAP2K3,-0.336439,0.0288061,1,Map2k3,left eye,OCULAR,mouse,DOWN,False
OSD-100,5798,PTPRN,0.341681,4.42321e-05,1,Ptprn,left eye,OCULAR,mouse,UP,False
OSD-100,6051,RNPEP,0.205412,0.0268932,1,Rnpep,left eye,OCULAR,mouse,UP,False
OSD-100,6141,RPL18,-0.227967,0.0167936,1,Rpl18,left eye,OCULAR,mouse,DOWN,False
OSD-100,6144,RPL21,-0.196093,0.0438676,1,Rpl21,left eye,OCULAR,mouse,DOWN,False
OSD-100,6146,RPL22,-0.187988,0.0139287,1,Rpl22,left eye,OCULAR,mouse,DOWN,False
OSD-100,6173,RPL36A,-0.232148,0.00632182,1,Rpl36a,left eye,OCULAR,mouse,DOWN,False
OSD-100,6176,RPLP1,-0.215583,0.0457873,1,Rplp1,left eye,OCULAR,mouse,DOWN,False
OSD-100,6203,RPS9,-0.226492,0.0213665,1,Rps9,left eye,OCULAR,mouse,DOWN,False
OSD-100,6278,S100A7,0.930801,0.0299659,2,S100a7a,left eye,OCULAR,mouse,UP,False
OSD-100,6323,SCN1A,0.301578,0.0156364,1,Scn1a,left eye,OCULAR,mouse,UP,False
OSD-100,6326,SCN2A,0.272649,0.000112142,1,Scn2a,left eye,OCULAR,mouse,UP,False
OSD-100,6441,SFTPD,-1.08656,0.0177041,1,Sftpd,left eye,OCULAR,mouse,DOWN,True
OSD-100,6588,SLN,-1.01521,0.0273582,1,Sln,left eye,OCULAR,mouse,DOWN,True
OSD-100,6750,SST,1.52203,2.32546e-06,1,Sst,left eye,OCULAR,mouse,UP,True
OSD-100,6888,TALDO1,-0.195514,0.0156364,1,Taldo1,left eye,OCULAR,mouse,DOWN,False
OSD-100,6926,TBX3,0.247422,0.0470099,1,Tbx3,left eye,OCULAR,mouse,UP,False
OSD-100,7008,TEF,-0.288322,0.00652534,1,Tef,left eye,OCULAR,mouse,DOWN,False
OSD-100,7044,LEFTY2,-0.767779,0.0208017,2,Lefty1,left eye,OCULAR,mouse,DOWN,False
OSD-100,7284,TUFM,-0.212224,0.00449036,1,Tufm,left eye,OCULAR,mouse,DOWN,False
OSD-100,7388,UQCRH,-0.18872,0.00499263,2,Uqcrh,left eye,OCULAR,mouse,DOWN,False
OSD-100,7416,VDAC1,-0.177654,0.0293771,1,Vdac1,left eye,OCULAR,mouse,DOWN,False
OSD-100,7480,WNT10B,-0.924969,0.0123274,1,Wnt10b,left eye,OCULAR,mouse,DOWN,False
OSD-100,7804,LRP8,0.196481,0.00106025,1,Lrp8,left eye,OCULAR,mouse,UP,False
