disease,hp,hp_label,disease_label
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000365,Hearing impairment,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000488,Retinopathy,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000508,Ptosis,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000648,Optic atrophy,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000716,Depression,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000726,Dementia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000819,Diabetes mellitus,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0000980,Pallor,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0001250,Seizure,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0001251,Ataxia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0001824,Weight loss,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0001903,Anemia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0001943,Hypoglycemia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0001945,Fever,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0002019,Constipation,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0002315,Headache,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0002321,Vertigo,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0002608,Celiac disease,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0002829,Arthralgia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0003074,Hyperglycemia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0004324,Increased body weight,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0005978,Type II diabetes mellitus,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0009830,Peripheral neuropathy,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0012378,Fatigue,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0012735,Cough,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0025406,Asthenia,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0100512,Low levels of vitamin D,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0008134,http://purl.obolibrary.org/obo/HP_0100651,Type I diabetes mellitus,autosomal dominant optic atrophy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000005,Mode of inheritance,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000006,Autosomal dominant inheritance,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000007,Autosomal recessive inheritance,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000010,Recurrent urinary tract infections,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000012,Urinary urgency,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000016,Urinary retention,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000019,Urinary hesitancy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000020,Urinary incontinence,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000083,Renal insufficiency,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000093,Proteinuria,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000126,Hydronephrosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000218,High palate,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000252,Microcephaly,Leber hereditary optic neuropathy
