symbol,compound,compound_label,direction,phase,layer
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/10022508,MDM2-inhibitor,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/10113978,PAZOPANIB,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/10113978,SID103905642_10113978,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/10160238,Tasisulam,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/10251,flavanone_10251,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/10430360,CC-401,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/1049140,ST-4042556,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/11351968,A-740003,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/11570626,MK-0893_11570626,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/11719003,Ulixertinib_11719003,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/119034,asiatic acid_119034.0,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/119034,asiatic-acid,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/11955855,(S)-1-(5-bromo-4-methyl-2-(morpholin-2-ylmethoxy)phenyl)-3-(5-methylpyrazin-2-yl)urea_11955855,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/119828,Parecoxib_119828,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/121926,ZK93423_121926,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/124007,SID11113868_124007,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/12799467,piperacillin,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/129348,PCO-400,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/13013971,depomedrol,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/133008,5-(4-chlorophenyl)-4-methyl-3-(1-phenethylpiperidin-4-yl)isoxazole_133008,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/135398506,SB-590885,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/1548953,Clomiphene_1548953,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/1549000,(<i>R</i>)-cetirizine_1549000,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/156419,"AMG-073::AMG073 HCL::CINACALCET::CINACALCET HYDROCHLORIDE::US9487494, Cinacalcet_156419",positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/158794,ZD-2079,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/16094766,"N-cyclohexyl-1-(2,4-dichlorophenyl)-6-methyl-1,4-dihydroindeno[1,2-c]pyrazole-3-carboxamide_16094766",positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/16231,amiloride_16231,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/1727,dalfampridine_1727.0,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/1727,SID11113806_1727,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/175540,atenolol_175540.0,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/175540,Esatenolol,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/19001,Dithiothreitol,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2064,AG-957,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2075,aklomide,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/208898,N-{2-Butyl-3-[4-(3-dibutylamino-propoxy)-benzoyl]-benzofuran-5-yl}-methanesulfonamide_208898,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/219271,EBPC,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/24151277,nikkomycin,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/24770514,CPI-613,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2536,4-(2-(2-(dimethylamino)-2-oxoethoxy)-2-oxoethyl)phenyl 4-guanidinobenzoate_2536,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2688,CGP-37157,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2703,chelerythrine_2703,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2768,dichlorodiamine-platinum,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2788,SID11112285_2788,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/28061,Ornidazole,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2820118,KM-03439,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2888950,MW-A1-6,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2910,"3-Bicyclo[2.2.1]hept-5-en-2-yl-7-chloro-1,1-dioxo-1,2,3,4-tetrahydro-1lambda*6*-benzo[1,2,4]thiadiazine-6-sulfonic acid amide_2910",negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2941,D-609,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/2990,Dephostatin,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3039,Dichlorvos_3039,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/334007,SEW-00445,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3351,SID11112737_3351,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3410883,SID11113907_3410883,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/34772,BE-2254,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3519,SID11113866_3519,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3567002,"5-Methyl-3-(3-{4-[2-(2,2,2-trifluoro-ethoxy)-phenyl]-piperazin-1-yl}-propyl)-1H-pyrimidine-2,4-dione_3567002",positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3646984,F-1061-0166,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3749,"2-Butyl-3-[2'-(1H-tetrazol-5-yl)-biphenyl-4-ylmethyl]-1,3-diaza-spiro[4.4]non-1-en-4-one_3749",negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3749,irbesartan_3749.0,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3758,"3-isobutyl-1-methyl-1H-purine-2,6(3H,7H)-dione_3758",positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3760,"1-(2,6-Dichloro-phenyl)-2-(2,4-dichloro-phenyl)-3-imidazol-1-yl-propan-2-ol_3760",negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/3827,Ketotifen_3827,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/40839,Vindesine,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/40854,Oxfendazole,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/4250,morantel,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/4302964,KU-14R,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/43231,Clorsulon,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/439533,Taxifolin,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/439533,taxifolin_439533.0,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/441029,Fosfomycin,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/442530,Ochratoxin-a,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/444008,tibolone_444008,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44456237,SID-26681509,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44473132,KU-C103676,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44483939,SA-1944378,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44484501,SA-244466,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44488016,SA-94315,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44488751,SA-422830,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44494796,SA-97378,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44498557,SA-418993,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44601476,KU-C103904N,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44602378,KU-C104129,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44602404,KU-C104133,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44629987,Brivudine,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/44640177,KU-C104491,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/447912,"N-(4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl)-N-(2,2,2-trifluoroethyl)benzenesulfonamide_447912",positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/45281797,VU-0365117-1,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/46209133,Omarigliptin_46209133,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/4668801,ITE,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/4705,SID11113872_4705,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/4713,SID11113963_4713,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/4847,"3-{2-[4-(4-Fluoro-benzoyl)-piperidin-1-yl]-ethyl}-2-methyl-pyrido[1,2-a]pyrimidin-4-one (Pirenperone)_4847",negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/49871818,"tert-butyl 2-((6R)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate_49871818",positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5014,QX-222,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5065494,K784-3391,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/50905713,Duvelisib_50905713,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/50905713,IPI145,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5095,Ropinirole_5095,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/51634,miglustat_51634,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5210,sibutramine_5210,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5210,sibutramine_5210.0,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5280489,beta carotene_5280489.0,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5280489,beta-CAROTENE_5280489,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5281643,Hyperoside,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5281691,rhamnetin,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5281708,Daidzein_5281708,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5281708,daidzein_5281708.0,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5284513,Acitretin,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5311340,JTC-801_5311340,negatively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5311510,3-(6-(4-(trifluoromethoxy)phenylamino)pyrimidin-4-yl)benzamide_5311510,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/53382764,SA-1459213,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5354033,SID11113946_5354033,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5361092,butorphanol_5361092,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/5362,suxibuzone,positively regulates,,probe/bioactivity
AQP1,https://pubchem.ncbi.nlm.nih.gov/compound/54445,Castanospermine,positively regulates,,probe/bioactivity
