symbol,pw,pw_label,pw_id
ANLN,https://identifiers.org/reactome/R-HSA-8980692,RHOA GTPase cycle,R-HSA-8980692
ANLN,https://identifiers.org/reactome/R-HSA-9013026,RHOB GTPase cycle,R-HSA-9013026
ANLN,https://identifiers.org/reactome/R-HSA-9013106,RHOC GTPase cycle,R-HSA-9013106
APLNR,https://identifiers.org/reactome/R-HSA-375276,Peptide ligand-binding receptors,R-HSA-375276
APLNR,https://identifiers.org/reactome/R-HSA-418594,G alpha (i) signalling events,R-HSA-418594
AQP1,https://identifiers.org/reactome/R-HSA-1237044,Erythrocytes take up carbon dioxide and release oxygen,R-HSA-1237044
AQP1,https://identifiers.org/reactome/R-HSA-1247673,Erythrocytes take up oxygen and release carbon dioxide,R-HSA-1247673
AQP1,https://identifiers.org/reactome/R-HSA-432040,Vasopressin regulates renal water homeostasis via Aquaporins,R-HSA-432040
AQP1,https://identifiers.org/reactome/R-HSA-432047,Passive transport by Aquaporins,R-HSA-432047
AQP1,https://identifiers.org/reactome/R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells,R-HSA-9925563
ARG1,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation,R-HSA-6798695
ARG1,https://identifiers.org/reactome/R-HSA-70635,Urea cycle,R-HSA-70635
ARHGAP15,https://identifiers.org/reactome/R-HSA-9013149,RAC1 GTPase cycle,R-HSA-9013149
ARHGAP15,https://identifiers.org/reactome/R-HSA-9013423,RAC3 GTPase cycle,R-HSA-9013423
ASPH,https://identifiers.org/reactome/R-HSA-2672351,Stimuli-sensing channels,R-HSA-2672351
ASPH,https://identifiers.org/reactome/R-HSA-5578775,Ion homeostasis,R-HSA-5578775
ASPH,https://identifiers.org/reactome/R-HSA-9629569,Protein hydroxylation,R-HSA-9629569
ATP2A3,https://identifiers.org/reactome/R-HSA-1912420,Pre-NOTCH Processing in Golgi,R-HSA-1912420
ATP2A3,https://identifiers.org/reactome/R-HSA-418359,Reduction of cytosolic Ca++ levels,R-HSA-418359
ATP2A3,https://identifiers.org/reactome/R-HSA-5578775,Ion homeostasis,R-HSA-5578775
ATP2A3,https://identifiers.org/reactome/R-HSA-936837,Ion transport by P-type ATPases,R-HSA-936837
ATP5F1A,https://identifiers.org/reactome/R-HSA-1268020,Mitochondrial protein import,R-HSA-1268020
ATP5F1A,https://identifiers.org/reactome/R-HSA-163210,Formation of ATP by chemiosmotic coupling,R-HSA-163210
ATP5F1A,https://identifiers.org/reactome/R-HSA-8949613,Cristae formation,R-HSA-8949613
ATP5F1A,https://identifiers.org/reactome/R-HSA-9837999,Mitochondrial protein degradation,R-HSA-9837999
ATP5F1C,https://identifiers.org/reactome/R-HSA-163210,Formation of ATP by chemiosmotic coupling,R-HSA-163210
ATP5F1C,https://identifiers.org/reactome/R-HSA-8949613,Cristae formation,R-HSA-8949613
ATP5F1C,https://identifiers.org/reactome/R-HSA-9837999,Mitochondrial protein degradation,R-HSA-9837999
ATP5F1D,https://identifiers.org/reactome/R-HSA-163210,Formation of ATP by chemiosmotic coupling,R-HSA-163210
ATP5F1D,https://identifiers.org/reactome/R-HSA-8949613,Cristae formation,R-HSA-8949613
ATP5F1E,https://identifiers.org/reactome/R-HSA-163210,Formation of ATP by chemiosmotic coupling,R-HSA-163210
ATP5F1E,https://identifiers.org/reactome/R-HSA-8949613,Cristae formation,R-HSA-8949613
ATP5PD,https://identifiers.org/reactome/R-HSA-163210,Formation of ATP by chemiosmotic coupling,R-HSA-163210
ATP5PD,https://identifiers.org/reactome/R-HSA-8949613,Cristae formation,R-HSA-8949613
