hEntrez,humanSymbol,n_studies,n_tissues,n_systems,n_species,max_abs_lfc,min_padj,n_up,n_down,n_strict,studies,n_mouse_studies,mouse_lfc,mouse_tissues,mouse_fanout,n_fly_studies,fly_fanout,fly_lfc,dir_consistency,consensus_dir,in_ocular,in_cns,in_cardio,in_flyhead,systems,xspecies_ok,mouse_systems,score,rank,tier
6588,SLN,3,3,3,1,11.4189,1.96795e-05,0,3,3,OSD-100|OSD-599|OSD-612,3,-11.4189,cerebral hemisphere|heart|left eye,1.0,0,,,1.0,DOWN,True,True,True,False,ocular+CNS+cardio,False,3,44.688,1,A
767,CA8,4,4,4,2,7.57749,7.37935e-07,2,2,3,OSD-207|OSD-255|OSD-347|OSD-612,2,-4.20661,cerebral hemisphere|retina,1.0,2,11.0,7.57749,0.5,UP,True,True,True,True,ocular+CNS+cardio+flyhead,False,3,42.867,2,A
375940,DMBT1L1,3,3,3,1,4.70869,1.08183e-09,0,3,2,OSD-255|OSD-599|OSD-612,3,-4.70869,cerebral hemisphere|heart|retina,1.0,0,,,1.0,DOWN,True,True,True,False,ocular+CNS+cardio,False,3,42.513,3,A
11185,INMT,3,3,3,1,2.00091,5.64488e-05,0,3,2,OSD-100|OSD-599|OSD-613,3,-2.00091,cerebral hemisphere|heart|left eye,1.0,0,,,1.0,DOWN,True,True,True,False,ocular+CNS+cardio,False,3,41.955,4,A
646960,PRSS56,3,3,3,2,4.17146,4.10012e-05,0,3,2,OSD-207|OSD-255|OSD-613,2,-2.77307,cerebral hemisphere|retina,1.0,1,2.0,-4.17146,1.0,DOWN,True,True,False,True,ocular+CNS+flyhead,True,2,41.927,5,A
406,ARNTL,3,3,3,1,1.38768,8.37025e-10,3,0,2,OSD-100|OSD-599|OSD-613,3,1.38768,cerebral hemisphere|heart|left eye,1.0,0,,,1.0,UP,True,True,True,False,ocular+CNS+cardio,False,3,41.756,6,A
7873,MANF,3,3,3,2,1.59312,1.27431e-06,2,1,2,OSD-207|OSD-255|OSD-525,2,-1.0753,cerebellum|retina,1.0,1,2.0,1.59312,0.6666666666666666,UP,True,True,False,True,ocular+CNS+flyhead,True,2,39.328,7,A
3309,HSPA5,3,3,3,2,1.45965,0.000150969,2,1,2,OSD-207|OSD-255|OSD-525,2,-1.24659,cerebellum|retina,1.0,1,1.0,1.45965,0.6666666666666666,UP,True,True,False,True,ocular+CNS+flyhead,True,2,39.282,8,A
80150,ASRGL1,3,3,3,2,3.30089,3.4365e-07,0,3,2,OSD-207|OSD-255|OSD-347,1,-0.218362,retina,1.0,2,1.0,-3.30089,1.0,DOWN,True,False,True,True,ocular+cardio+flyhead,True,2,39.267,9,A
10090,UST,3,3,3,2,6.45124,4.27235e-05,0,3,3,OSD-207|OSD-347|OSD-612,1,-1.79461,cerebral hemisphere,1.0,2,1.0,-6.45124,1.0,DOWN,False,True,True,True,CNS+cardio+flyhead,True,2,37.744,10,A
25873,RPL36,3,3,2,1,1.249,0.000885182,0,3,2,OSD-100|OSD-564|OSD-613,3,-1.249,cerebral hemisphere|hippocampus|left eye,1.0,0,,,1.0,DOWN,True,True,False,False,ocular+CNS,False,2,37.704,11,A
4635,MYL4,3,3,3,2,9.09282,1.85079e-10,0,3,2,OSD-100|OSD-207|OSD-599,2,-9.09282,heart|left eye,1.0,1,5.0,-2.58094,1.0,DOWN,True,False,True,True,ocular+cardio+flyhead,False,2,36.508,12,A
5935,RBM3,3,3,2,1,2.00523,5.43851e-13,1,2,2,OSD-255|OSD-525|OSD-613,3,2.00523,cerebellum|cerebral hemisphere|retina,1.0,0,,,0.6666666666666666,DOWN,True,True,False,False,ocular+CNS,False,2,35.956,13,A
56603,CYP26B1,3,3,2,1,1.83319,0.0148318,3,0,3,OSD-564|OSD-599|OSD-613,3,1.83319,cerebral hemisphere|heart|hippocampus,1.0,0,,,1.0,UP,False,True,True,False,CNS+cardio,False,2,35.905,14,A
498,ATP5F1A,3,3,2,2,1.5349,1.77845e-11,0,3,1,OSD-100|OSD-207|OSD-255,2,-0.249286,left eye|retina,1.0,1,1.0,-1.5349,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,35.808,15,A
3012,H2AC8,3,3,2,1,1.36098,0.0230699,1,2,2,OSD-255|OSD-564|OSD-613,3,-1.36098,cerebral hemisphere|hippocampus|retina,2.0,0,,,0.6666666666666666,DOWN,True,True,False,False,ocular+CNS,False,2,35.746,16,A
8335,H2AC4,3,3,2,1,1.36098,0.0230699,1,2,2,OSD-255|OSD-564|OSD-613,3,-1.36098,cerebral hemisphere|hippocampus|retina,2.0,0,,,0.6666666666666666,DOWN,True,True,False,False,ocular+CNS,False,2,35.746,17,A
3017,H2BC5,3,3,2,1,1.2459,4.56476e-12,1,2,2,OSD-255|OSD-525|OSD-613,3,-1.2459,cerebellum|cerebral hemisphere|retina,1.0,0,,,0.6666666666666666,DOWN,True,True,False,False,ocular+CNS,False,2,35.703,18,A
3164,NR4A1,3,3,2,2,1.21813,0.000338681,0,3,1,OSD-100|OSD-207|OSD-397,2,-0.97425,left eye|retina,1.0,1,3.0,-1.21813,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,35.692,19,A
8013,NR4A3,3,2,2,2,1.21813,0.000647177,0,3,3,OSD-207|OSD-255|OSD-397,2,-1.08812,retina,1.0,1,3.0,-1.21813,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,35.692,20,A
27232,GNMT|CNPY3-GNMT,3,3,3,2,3.44217,0.000447985,2,1,3,OSD-207|OSD-347|OSD-612,1,-3.30831,cerebral hemisphere,1.0,2,1.0,3.44217,0.6666666666666666,UP,False,True,True,True,CNS+cardio+flyhead,True,2,35.295,21,A
7388,UQCRH,3,3,2,2,1.22555,3.30067e-09,1,2,1,OSD-100|OSD-207|OSD-255,2,0.248341,left eye|retina,2.0,1,2.0,-1.22555,0.6666666666666666,DOWN,True,False,False,True,ocular+flyhead,True,1,33.695,22,A
440567,UQCRHL,3,3,2,2,1.22555,3.30067e-09,1,2,1,OSD-100|OSD-207|OSD-255,2,0.248341,left eye|retina,2.0,1,2.0,-1.22555,0.6666666666666666,DOWN,True,False,False,True,ocular+flyhead,True,1,33.695,23,A
6227,RPS21,3,3,2,2,1.35446,1.01179e-06,1,2,3,OSD-207|OSD-564|OSD-613,2,-1.35446,cerebral hemisphere|hippocampus,1.0,1,1.0,1.10759,0.6666666666666666,DOWN,False,True,False,True,CNS+flyhead,True,1,33.244,24,A
