symbol,disease,disease_label,drug,drug_label
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,http://identifiers.org/drugbank/DB00322,Floxuridine
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,http://identifiers.org/drugbank/DB00398,Sorafenib
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,http://identifiers.org/drugbank/DB00997,Doxorubicin
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,http://identifiers.org/drugbank/DB05578,Ramucirumab
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,http://identifiers.org/drugbank/DB08896,Regorafenib
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,https://rdaccelerate.org/resource/CTDRUG_folfiri_and_bevacizumab,Folfiri And Bevacizumab
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,https://rdaccelerate.org/resource/CTDRUG_fruquintinib,Fruquintinib
ANLN,http://purl.obolibrary.org/obo/MONDO_0002691,liver cancer,https://rdaccelerate.org/resource/CTDRUG_sirt_with_yttrium_90_microspheres,Sirt With Yttrium-90 Microspheres
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00304,Desogestrel
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00331,Metformin
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00367,Levonorgestrel
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00396,Progesterone
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00421,Spironolactone
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00603,Medroxyprogesterone acetate
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00655,Estrone
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00717,Norethisterone
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00783,Estradiol
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00823,Ethynodiol diacetate
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00957,Norgestimate
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB00977,Ethinylestradiol
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB01006,Letrozole
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB01065,Melatonin
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB01395,Drospirenone
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB09123,Dienogest
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB11256,Levomefolic acid
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB13956,Estradiol valerate
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,http://identifiers.org/drugbank/DB14491,Ferrous fumarate
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,https://rdaccelerate.org/resource/CTDRUG_azd4901_oral_,Azd4901 (oral)
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,https://rdaccelerate.org/resource/CTDRUG_clomiphene_citrate_50mg_150mg,Clomiphene Citrate 50mg-150mg
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,https://rdaccelerate.org/resource/CTDRUG_clomiphene_citrate,Clomiphene Citrate
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,https://rdaccelerate.org/resource/CTDRUG_combination_of_metformin_hydrochloride_and_,Combination Of Metformin Hydrochloride And Mi/dci
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,https://rdaccelerate.org/resource/CTDRUG_letrozole_2_5mg_7_5mg,Letrozole 2.5mg-7.5mg
ANLN,http://purl.obolibrary.org/obo/MONDO_0008487,polycystic ovary syndrome,https://rdaccelerate.org/resource/CTDRUG_metformin_1500mgs_per_day,Metformin 1500mgs Per Day
