symbol,disease,disease_label,drug,drug_label
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB00382,Tacrine
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB00674,Galantamine
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB00843,Donepezil
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB00989,Rivastigmine
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB08842,Acetylcarnitine
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB11275,Epicriptine
ATP5F1A,http://purl.obolibrary.org/obo/MONDO_0005942,Reye syndrome,http://identifiers.org/drugbank/DB13668,Ipidacrine
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00186,Lorazepam
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00252,Phenytoin
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00555,Lamotrigine
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00564,Carbamazepine
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00794,Primidone
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB01068,Clonazepam
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB01174,Phenobarbital
CHAT,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB06201,Rufinamide
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00133,Serine
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00273,Topiramate
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00373,Timolol
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00654,Latanoprost
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00703,Methazolamide
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00819,Acetazolamide
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB00981,Physostigmine
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB01144,Diclofenamide
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB01214,Metipranolol
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,http://identifiers.org/drugbank/DB11396,Dichlorophen
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_antihistaminics,Antihistaminics
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_antihypertensive_agents,Antihypertensive Agents
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_brimonidine_0_2_timolol_0_5_fixed_combinati,Brimonidine 0.2%/timolol 0.5% Fixed Combination Ophthalmic Solution
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_latanoprost_0_005_,Latanoprost (0.005%)
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_rho_kinase_inhibitor,Rho-kinase Inhibitor
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_travoprost_0_004__502cec,Travoprost (0.004%)
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1868_1744_1742_1864,angle-closure glaucoma,https://rdaccelerate.org/resource/CTDRUG_travoprost_timolol_azopt_brimonidine,Travoprost/ Timolol/ Azopt/ Brimonidine
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB00133,Serine
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB00373,Timolol
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB00703,Methazolamide
