pw_id,pw_label,k
R-HSA-8949613,Cristae formation,5
R-HSA-163210,Formation of ATP by chemiosmotic coupling,5
R-HSA-6798695,Neutrophil degranulation,3
R-HSA-68949,Orc1 removal from chromatin,3
R-HSA-9837999,Mitochondrial protein degradation,3
R-HSA-5578775,Ion homeostasis,3
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,3
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,3
R-HSA-977225,Amyloid fiber formation,3
R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,3
R-HSA-68867,Assembly of the pre-replicative complex,3
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,3
