trait,trait_label,k,K,expected,fold,p,fdr,family
http://www.orpha.net/ORDO/Orphanet_206656,Non-dystrophic myopathy,28,890,6.81,4.11,1.8350122306576135e-10,1.1377075830077204e-08,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_183497,Genetic neuromuscular disease,29,1127,8.62,3.36,8.299419929904363e-09,2.5728201782703524e-07,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_206634,Genetic skeletal muscle disease,27,1021,7.81,3.46,1.6602859535530305e-08,3.43125763734293e-07,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_104,Leber hereditary optic neuropathy,14,284,2.17,6.45,4.1636815149372634e-08,6.453706348152759e-07,digcfdekg trait (broad/GWAS-style)
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7153de2afff9f0479804,Pulse rate,25,957,7.32,3.42,7.614967483511036e-08,9.442559679553684e-07,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_98472,Skeletal muscle disease,25,1022,7.81,3.2,2.6378771231679744e-07,2.7258063606069067e-06,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_611314,Rare syndromic intellectual disability without multiple congenital anomalies/dysmorphic syndrome,34,1759,13.45,2.53,3.9860743020523364e-07,3.530522953246355e-06,digcfdekg trait (broad/GWAS-style)
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b4fdd3bf98fb702c4abe,Heart rate,23,1015,7.76,2.96,3.0486195028782327e-06,2.323186132774388e-05,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_68381,Neuromuscular disease,25,1176,8.99,2.78,3.3723669669305634e-06,2.323186132774388e-05,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_98053,Rare genetic disease,60,4681,35.79,1.68,1.1338967292045147e-05,7.03015972106799e-05,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_79200,Disorder of energy metabolism,24,1208,9.24,2.6,1.6678636844204357e-05,9.40068622127882e-05,digcfdekg trait (broad/GWAS-style)
