fips5,c_min,c_max,c_s1
12001,9864574250004774912,9865393317447991296,9865332913027940352
12003,9864442274249703424,9867243623718846464,9867215757971030016
12005,9841223921565696000,9841760380160835584,9841622322732072960
12007,9864554493155213312,9867199883771904000,9864579438325268480
12009,9862276545580630016,9864947774720573440,9863073519712075776
12011,9860724378759593984,9861715347973865472,9861057977459408896
12013,9841228594490114048,9841332120381816832,9841289651745193984
12015,9854813610407100416,9861946245415698432,9861611547204255744
12017,9865099782203113472,9865641497838223360,9865217326868070400
12019,9864503881260597248,9864711860756938752,9864552465930649600
12021,9861230910022615040,9861711877640290304,9861481220716625920
12023,9865334321777213440,9867232766041522176,9867172636499378176
12027,9861902574188232704,9862026578484002816,9861950299864825856
12029,9865422042189266944,9865553708706693120,9865526427074428928
12031,9864065176121114624,9864552225412481024,9864496253398679552
12033,9840468041681338368,9843324847768207360,9840571567573041152
12035,9864723027671908352,9864848887393550336,9864831844963319808
12037,9841679153739333632,9866118892043108352,9866068348867969024
12039,9866471182440595456,9866537943412244480,9866516331136811008
12041,9865348340550467584,9865460696894930944,9865376446816452608
12043,9861608317388849152,9861906078881546240,9861779360166445056
12045,9841306934693593088,9841754264127406080,9841685956967530496
12047,9866978503977598976,9867140166546620416,9867111441805344768
12049,9861968579245637632,9862037607960018944,9862017095196213248
12051,9861487508548747264,9861758160207872000,9861716000808894464
12053,9854581338575732736,9865202517820833792,9865172934086098944
12055,9861780184800165888,9862038466953478144,9861867733413527552
12057,9854601954418753536,9862122304715096064,9854756229644025856
12059,9840981822849155072,9841436986303315968,9841208940719767552
12061,9862272044454903808,9862592895691784192,9862453532592963584
12063,9841144516210327552,9866495440415883264,9841245121524269056
12065,9866129131245142016,9866392636078686208,9866339756441337856
12067,9865370262063546368,9867057737534275584,9867024511667273728
12069,9862142199003611136,9865123971458924544,9865040683453120512
12071,9855192632681037824,9861610756930273280,9861550180711530496
12073,9866334155803983872,9866535572590297088,9866422013654990848
12075,9865208840012693504,9865624592846946304,9865420255482871808
12077,9841265840446504960,9866488259230564352,9866447749099028480
12079,9866286601926082560,9867084125813342208,9866994172018294784
12081,9854726267952168960,9861993936732553216,9854789455511027712
12083,9864610877485875200,9865309376607158272,9865087756294684672
12085,9861759500237668352,9862646737401806848,9862521152558071808
12086,9858567033866682368,9861239362518253568,9861157964298059776
12087,9857862006395109376,9861358315932483584,9858578647458250752
12089,9864097955311517696,9864498727299842048,9864097955311517696
12091,9840651969360822272,9840839607892049920,9840675815019249664
12093,9861759809475313664,9862505450157637632,9861759809475313664
12095,9862175287431659520,9865029413458935808,9862175287431659520
12097,9862170683226718208,9862319392174374912,9862170683226718208
12099,9860860786920914944,9862650860570411008,9860860786920914944
12101,9854545638807568384,9865135241453109248,9854545638807568384
12103,9854527634304663552,9854908615083687936,9854527634304663552
12105,9861848904276901888,9862261667813916672,9862074098002165760
12107,9864585588718436352,9864844523706777600,9864585588718436352
12109,9864044903875477504,9864747045129027584,9864044903875477504
12111,9862466486214328320,9862596469104574464,9862466486214328320
12113,9840453782389915648,9840839023776497664,9840453782389915648
12115,9854732796302458880,9861955007148982272,9854732796302458880
12117,9864867029335408640,9864984127323766784,9864867029335408640
12119,9862127424316112896,9865265774099169280,9862127424316112896
12121,9865367204046831616,9867157380775542784,9865367204046831616
12123,9865490177550450688,9867030181024104448,9865490177550450688
12125,9864562602053468160,9867205003372920832,9864562602053468160
12127,9863104340397391872,9864940834053423104,9863104340397391872
12129,9866085116420292608,9866469430093938688,9866085116420292608
12131,9840734913769242624,9841489625422495744,9840734913769242624
12133,9841206913495203840,9841468734701568000,9841206913495203840
