fips5,pfas_facilities
12001,66
12003,6
12005,67
12007,4
12009,175
12011,267
12013,13
12015,28
12017,28
12019,38
12021,69
12023,17
12027,17
12029,8
12031,276
12033,72
12035,12
12037,6
12039,27
12041,11
12043,10
12045,8
12047,8
12049,9
12051,24
12053,26
12055,39
12057,279
12059,9
12061,23
12063,23
12065,7
12067,5
12069,58
12071,118
12073,31
12075,25
12077,1
12079,14
12081,79
12083,75
12085,41
12086,264
12087,38
12089,29
12091,56
12093,27
12095,210
12097,52
12099,177
12101,70
12103,270
12105,216
12107,28
12109,39
12111,52
12113,56
12115,104
12117,77
12119,30
12121,18
12123,15
12125,11
12127,102
12129,4
12131,19
12133,35
