clade,binom,disease,relation,source
Bird,Anas platyrhynchos,Influenza in Birds,PROCESS_OF,biohealth (literature-derived)
Bird,Anas platyrhynchos,Influenza,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Influenza in Birds,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,West Nile Fever,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Arbovirus Infections,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Salmonella infections,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Newcastle Disease,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Coccidiosis,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Conjunctivitis,PROCESS_OF,biohealth (literature-derived)
Bird,Meleagris gallopavo,Influenza,PROCESS_OF,biohealth (literature-derived)
Bird,Quiscalus quiscula,Influenza in Birds,PROCESS_OF,biohealth (literature-derived)
Bird,Sturnus vulgaris,"Encephalomyelitis, Eastern Equine",PROCESS_OF,biohealth (literature-derived)
Bird,Sturnus vulgaris,Conjunctivitis,PROCESS_OF,biohealth (literature-derived)
Bird,Columba livia,Newcastle Disease,PROCESS_OF,biohealth (literature-derived)
Bird,Columba livia,Coccidiosis,PROCESS_OF,biohealth (literature-derived)
Bird,Columba livia,Conjunctivitis,PROCESS_OF,biohealth (literature-derived)
Bird,Cairina moschata,Influenza,PROCESS_OF,biohealth (literature-derived)
Bird,Aythya affinis,Coccidiosis,PROCESS_OF,biohealth (literature-derived)
Bird,Bubo virginianus,Conjunctivitis,PROCESS_OF,biohealth (literature-derived)
Amphibian,Amphibia,Salmonella infections,PROCESS_OF,biohealth (literature-derived)
Amphibian,Anura,Influenza,PROCESS_OF,biohealth (literature-derived)
Amphibian,Notophthalmus viridescens,Coccidiosis,PROCESS_OF,biohealth (literature-derived)
