taxonLabel,rank,samples,observations
Morone,Genus,3,204
Sander vitreus x Sander canadensis,Hybrid,1,185
Ambloplites rupestris,Species,89,7738
Ameiurus melas,Species,1,140
Ameiurus natalis,Species,13,1325
Ameiurus nebulosus,Species,3,206
Anas platyrhynchos,Species,4,160
Aplodinotus grunniens,Species,59,5139
Branta canadensis,Species,6,240
Carpiodes carpio,Species,3,167
Carpiodes cyprinus,Species,1,210
Catostomus catostomus,Species,1,13
Catostomus commersonii,Species,76,4482
Coregonus artedi,Species,5,135
Coregonus clupeaformis,Species,1,420
Cyprinus carpio,Species,75,7202
Dorosoma cepedianum,Species,5,65
Esox lucius,Species,133,3523
Esox masquinongy,Species,1,13
Esox niger,Species,1,13
Hypophthalmichthys molitrix,Species,1,33
Ictalurus furcatus,Species,6,176
Ictalurus punctatus,Species,89,7096
Ictiobus bubalus,Species,21,2835
Ictiobus cyprinellus,Species,14,846
Ictiobus niger,Species,3,507
Lepomis cyanellus,Species,42,2609
Lepomis gibbosus,Species,15,365
Lepomis gulosus,Species,2,210
Lepomis macrochirus,Species,519,18216
Lepomis megalotis,Species,52,5457
Lepomis microlophus,Species,16,1807
Lota lota,Species,4,105
Micropterus dolomieu,Species,198,9565
Micropterus punctulatus,Species,32,3412
Micropterus salmoides,Species,336,15538
Minytrema melanops,Species,8,904
Morone chrysops,Species,45,2109
Morone mississippiensis,Species,5,295
Morone saxatilis,Species,1,33
Moxostoma anisurum,Species,2,315
Moxostoma duquesnei,Species,6,863
Moxostoma duquesnii-retired,Species,1,24
Moxostoma erythrurum,Species,11,1226
Moxostoma macrolepidotum,Species,4,320
Mya arenaria,Species,8,312
Mytilus edulis,Species,32,1248
Notropis atherinoides,Species,2,26
Odocoileus virginianus,Species,91,3996
Oncorhynchus gorbuscha,Species,7,187
Oncorhynchus kisutch,Species,7,704
Oncorhynchus mykiss,Species,23,835
Oncorhynchus tshawytscha,Species,3,737
Osmerus mordax,Species,73,2872
Perca flavescens,Species,48,2040
Pomoxis annularis,Species,14,1640
Pomoxis nigromaculatus,Species,272,7581
Prosopium cylindraceum,Species,2,46
Pylodictis olivaris,Species,24,2253
Salmo trutta,Species,7,161
Salvelinus fontinalis,Species,44,1206
Salvelinus namaycush,Species,22,799
Salvelinus namaycush x Salvelinus fontinalis,Species,1,27
Sander canadensis,Species,10,844
Sander vitreus,Species,175,6903
Semotilus atromaculatus,Species,39,1494
Salvelinus namaycush siscowet,Subspecies,5,134
