county,binom,records,individuals
Citrus County,Aix sponsa,1,2
Leon County,Aix sponsa,1,1
Marion County,Aix sponsa,1,2
Polk County,Aix sponsa,1,1
Volusia County,Aix sponsa,1,1
Highlands County,Alopochen aegyptiaca,1,1
Miami-Dade County,Alopochen aegyptiaca,1,2
Alachua County,Anas crecca,1,2
Alachua County,Anas fulvigula,1,2
Brevard County,Anas fulvigula,1,2
Lee County,Anas fulvigula,1,1
Miami-Dade County,Anas fulvigula,1,1
Hernando County,Anas platyrhynchos,1,1
Orange County,Anas platyrhynchos,1,3
Polk County,Anas platyrhynchos,1,1
Charlotte County,Aythya affinis,1,1
Dixie County,Aythya affinis,1,1
Orange County,Aythya affinis,1,1
Sarasota County,Aythya affinis,1,1
Wakulla County,Aythya affinis,1,1
Brevard County,Aythya americana,1,2
Escambia County,Aythya americana,1,1
Pinellas County,Aythya americana,1,1
Citrus County,Aythya collaris,1,1
Clay County,Branta canadensis,1,1
Leon County,Branta canadensis,1,1
Santa Rosa County,Branta leucopsis,1,1
Collier County,Bubo virginianus,1,1
Manatee County,Bubo virginianus,1,1
Palm Beach County,Bubo virginianus,1,1
Palm Beach County,Bucephala albeola,1,1
Hillsborough County,Cairina moschata,1,2
Miami-Dade County,Cairina moschata,1,5
Orange County,Cairina moschata,1,1
Palm Beach County,Cairina moschata,1,1
Pasco County,Cairina moschata,1,1
Pinellas County,Cairina moschata,1,1
Collier County,Colinus virginianus,1,1
Okeechobee County,Colinus virginianus,1,1
Palm Beach County,Colinus virginianus,1,1
Santa Rosa County,Colinus virginianus,1,1
Miami-Dade County,Columba livia,1,1
Alachua County,Dendrocygna autumnalis,1,2
Brevard County,Dendrocygna autumnalis,1,1
Charlotte County,Dendrocygna autumnalis,1,1
Leon County,Dendrocygna autumnalis,1,1
Okeechobee County,Dendrocygna autumnalis,1,1
Orange County,Dendrocygna autumnalis,1,7
Palm Beach County,Dendrocygna autumnalis,1,2
Sarasota County,Dendrocygna autumnalis,1,2
Orange County,Dendrocygna bicolor,1,2
Orange County,Lophodytes cucullatus,1,1
Wakulla County,Lophodytes cucullatus,1,3
Orange County,Mareca americana,1,1
Wakulla County,Mareca americana,1,1
Collier County,Meleagris gallopavo,2,2
Hendry County,Meleagris gallopavo,1,1
Highlands County,Meleagris gallopavo,1,1
Manatee County,Meleagris gallopavo,1,1
Orange County,Meleagris gallopavo,1,2
Osceola County,Meleagris gallopavo,1,1
Pasco County,Meleagris gallopavo,1,1
Saint Johns County,Meleagris gallopavo,1,1
Seminole County,Meleagris gallopavo,1,1
Citrus County,Mergus serrator,1,1
Pinellas County,Mergus serrator,1,1
Wakulla County,Mergus serrator,1,1
Brevard County,Nomonyx dominicus,1,1
Baldwin County,Notophthalmus viridescens,1,1
Bullock County,Notophthalmus viridescens,1,1
Collier County,Notophthalmus viridescens,1,1
Forrest County,Notophthalmus viridescens,1,1
Glynn County,Notophthalmus viridescens,1,1
Hendry County,Notophthalmus viridescens,1,1
Irwin County,Notophthalmus viridescens,1,1
Jackson County,Notophthalmus viridescens,1,1
Jeff Davis County,Notophthalmus viridescens,1,1
Jefferson County,Notophthalmus viridescens,1,1
Jones County,Notophthalmus viridescens,1,1
Lamar County,Notophthalmus viridescens,1,2
Liberty County,Notophthalmus viridescens,1,1
Palm Beach County,Notophthalmus viridescens,1,1
Pike County,Notophthalmus viridescens,1,1
Putnam County,Notophthalmus viridescens,1,2
Wakulla County,Notophthalmus viridescens,1,2
Broward County,Oxyura jamaicensis,1,1
Orange County,Oxyura jamaicensis,1,1
Wakulla County,Oxyura jamaicensis,1,1
Franklin County,Pavo cristatus,1,1
Miami-Dade County,Pavo cristatus,1,1
Orange County,Pavo cristatus,1,1
Seminole County,Pavo cristatus,1,1
Hillsborough County,Quiscalus quiscula,1,2
Lake County,Quiscalus quiscula,1,1
Miami-Dade County,Quiscalus quiscula,1,2
Osceola County,Quiscalus quiscula,1,1
Alachua County,Spatula clypeata,1,1
Brevard County,Spatula clypeata,1,5
Sarasota County,Spatula clypeata,1,1
Alachua County,Spatula discors,1,5
Brevard County,Spatula discors,1,2
Manatee County,Spatula discors,1,1
Orange County,Spatula discors,1,4
Palm Beach County,Spatula discors,1,1
Charlotte County,Sturnus vulgaris,1,1
Lee County,Sturnus vulgaris,1,1
Martin County,Sturnus vulgaris,1,1
Miami-Dade County,Sturnus vulgaris,1,1
Palm Beach County,Sturnus vulgaris,1,1
