county,clade,species_n,records,individuals,first,last
Alachua County,Amphibian,26,26,281,2012-10-11,2018-12-28
Appling County,Amphibian,6,6,9,2012-12-17,2018-12-06
Autauga County,Amphibian,1,1,1,2018-03-31,2018-03-31
Baker County,Amphibian,13,13,32,2016-06-10,2018-11-21
Baldwin County,Amphibian,22,22,105,2006-05-11,2018-12-07
Barbour County,Amphibian,1,1,1,2017-10-21,2017-10-21
Bay County,Amphibian,11,11,24,2012-11-04,2018-12-29
Beaufort County,Amphibian,3,3,10,2017-07-04,2018-10-18
Berrien County,Amphibian,6,6,6,2018-05-24,2018-09-14
Brantley County,Amphibian,1,1,1,2018-09-18,2018-09-18
Brevard County,Amphibian,13,13,86,2011-08-08,2018-12-21
Broward County,Amphibian,8,8,22,2018-03-07,2018-11-07
Bryan County,Amphibian,3,3,3,2018-07-21,2018-10-19
Bulloch County,Amphibian,5,5,9,2012-09-29,2018-05-17
Bullock County,Amphibian,16,16,25,2012-06-12,2018-12-13
Butler County,Amphibian,2,2,3,2018-12-27,2018-12-27
Calhoun County,Amphibian,3,3,6,2017-08-09,2018-03-28
Camden County,Amphibian,1,1,4,2018-12-14,2018-12-14
Candler County,Amphibian,1,1,2,2012-12-17,2012-12-17
Charlotte County,Amphibian,7,7,28,2012-12-11,2018-12-27
Charlton County,Amphibian,16,16,66,2004-05-03,2018-12-03
Chatham County,Amphibian,5,5,13,2018-06-16,2018-11-06
Chattahoochee County,Amphibian,2,2,3,2017-02-21,2017-02-23
Choctaw County,Amphibian,2,2,2,2018-09-14,2018-09-19
Citrus County,Amphibian,13,13,51,2017-10-08,2018-12-09
Clarke County,Amphibian,2,2,2,2004-06-02,2018-07-07
Clay County,Amphibian,16,16,28,2015-06-18,2018-12-08
Clinch County,Amphibian,3,3,3,2017-06-10,2018-07-16
Coffee County,Amphibian,2,2,2,2016-12-29,2018-09-28
Collier County,Amphibian,18,18,140,2010-03-08,2018-12-30
Colquitt County,Amphibian,3,3,3,2013-06-08,2018-06-16
Columbia County,Amphibian,9,9,11,2009-04-16,2018-08-08
Conecuh County,Amphibian,2,2,2,2018-09-20,2018-12-29
Cook County,Amphibian,5,5,5,2016-04-10,2018-09-02
Covington County,Amphibian,17,17,35,2015-02-28,2018-10-31
Crenshaw County,Amphibian,2,2,2,2018-07-01,2018-12-29
Crisp County,Amphibian,2,2,3,2017-03-01,2017-10-14
Dale County,Amphibian,2,2,2,2013-06-19,2018-09-11
Dallas County,Amphibian,1,1,1,2018-06-16,2018-06-16
Decatur County,Amphibian,5,5,5,2013-10-05,2018-03-26
DeSoto County,Amphibian,2,2,3,2016-02-13,2018-09-01
Dixie County,Amphibian,4,4,6,2011-03-27,2017-10-22
Dooly County,Amphibian,4,4,5,2015-06-21,2018-12-16
Dougherty County,Amphibian,1,1,1,2018-09-22,2018-09-22
Early County,Amphibian,2,2,2,2006-04-08,2018-07-29
Effingham County,Amphibian,3,3,3,2012-10-22,2018-05-13
Escambia County,Amphibian,27,27,68,2009-11-08,2018-11-13
Evans County,Amphibian,1,1,1,2012-10-21,2012-10-21
Flagler County,Amphibian,6,6,13,2013-08-21,2018-09-06
Forrest County,Amphibian,22,22,33,2009-05-17,2018-12-28
Franklin County,Amphibian,22,22,94,2003-12-24,2018-11-02
Gadsden County,Amphibian,15,15,27,2015-05-24,2018-12-05
George County,Amphibian,4,4,5,2018-04-03,2018-09-30
Gilchrist County,Amphibian,1,1,5,2018-10-13,2018-10-13
Glades County,Amphibian,5,5,7,2009-05-24,2018-08-11
Glynn County,Amphibian,11,11,31,2014-07-30,2018-11-06
Gulf County,Amphibian,11,11,27,2017-02-25,2018-10-07
Hamilton County,Amphibian,3,3,4,2016-03-09,2018-09-19
Hancock County,Amphibian,9,9,13,2007-04-28,2018-10-27
Hardee County,Amphibian,3,3,3,2013-08-15,2018-12-04
Harrison County,Amphibian,11,11,26,2010-10-13,2018-10-30
Hendry County,Amphibian,15,15,34,2012-12-10,2018-10-23
Hernando County,Amphibian,18,18,46,2017-04-18,2018-12-13
Highlands County,Amphibian,18,18,105,2008-04-22,2018-10-27
Hillsborough County,Amphibian,24,24,298,2016-04-09,2018-12-15
Holmes County,Amphibian,1,1,1,2018-05-21,2018-05-21
Houston County,Amphibian,1,1,1,2016-09-09,2016-09-09
Indian River County,Amphibian,10,10,14,2016-08-02,2018-08-26
Irwin County,Amphibian,5,5,7,2017-10-31,2018-10-14
Jackson County,Amphibian,25,25,98,2002-02-04,2018-12-26
Jasper County,Amphibian,5,5,7,1998-03-23,2018-12-04
Jeff Davis County,Amphibian,6,6,8,2017-12-20,2018-10-03
Jefferson County,Amphibian,16,16,43,2017-03-23,2018-12-15
Jones County,Amphibian,7,7,11,2013-10-05,2018-09-06
Lafayette County,Amphibian,3,3,3,2016-10-29,2018-04-22
Lake County,Amphibian,15,15,46,2004-03-01,2018-10-25
Lamar County,Amphibian,11,11,15,2010-10-22,2018-09-15
Lanier County,Amphibian,1,1,2,2018-08-08,2018-08-08
Lee County,Amphibian,13,13,73,2013-07-10,2018-12-28
Leon County,Amphibian,23,23,101,2015-03-29,2018-11-17
Levy County,Amphibian,16,16,40,2009-03-28,2018-12-02
Liberty County,Amphibian,27,27,73,2010-11-26,2018-12-14
Long County,Amphibian,4,4,4,2017-08-19,2018-05-13
Lowndes County,Amphibian,7,7,15,2017-11-04,2018-10-29
Macon County,Amphibian,7,7,7,2009-03-16,2018-06-16
Madison County,Amphibian,2,2,2,2016-07-18,2018-12-28
Manatee County,Amphibian,8,8,45,2018-05-14,2018-12-09
Marengo County,Amphibian,2,2,2,2018-03-29,2018-08-22
Marion County,Amphibian,24,24,69,2004-03-01,2018-12-17
Martin County,Amphibian,13,13,38,2002-11-28,2018-09-02
McIntosh County,Amphibian,8,8,15,2017-04-04,2018-07-13
Miami-Dade County,Amphibian,19,19,344,2003-12-31,2018-12-29
Miller County,Amphibian,2,2,2,2018-08-04,2018-08-04
Mitchell County,Amphibian,1,1,1,2015-10-03,2015-10-03
Mobile County,Amphibian,18,18,31,2009-02-11,2018-12-13
Monroe County,Amphibian,13,13,90,2006-12-10,2018-12-28
Montgomery County,Amphibian,18,18,43,2016-05-21,2018-12-16
Nassau County,Amphibian,7,7,11,2012-11-12,2018-09-10
Okaloosa County,Amphibian,21,21,65,2011-02-02,2018-12-01
Okeechobee County,Amphibian,12,12,22,2016-03-19,2018-12-19
Orange County,Amphibian,24,24,276,2004-12-12,2018-12-20
Osceola County,Amphibian,13,13,60,2016-11-23,2018-12-15
Palm Beach County,Amphibian,19,19,77,2012-07-20,2018-12-03
Pasco County,Amphibian,16,16,80,2015-06-01,2018-11-11
Pearl River County,Amphibian,12,12,27,2008-08-10,2018-12-16
Perry County,Amphibian,9,9,13,2013-09-02,2018-09-03
Pike County,Amphibian,16,16,23,2004-04-12,2018-12-30
Pinellas County,Amphibian,9,9,25,2013-08-10,2018-12-29
Polk County,Amphibian,26,26,187,2010-01-05,2018-12-29
Putnam County,Amphibian,17,17,32,2014-09-13,2018-12-31
Russell County,Amphibian,1,1,1,2017-06-16,2017-06-16
Saint Johns County,Amphibian,14,14,59,2015-11-03,2018-12-19
Saint Lucie County,Amphibian,6,6,11,2016-01-08,2018-11-12
Santa Rosa County,Amphibian,19,19,46,2013-06-12,2018-12-13
Sarasota County,Amphibian,10,10,47,2007-12-23,2018-12-30
Scott County,Amphibian,2,2,2,2018-02-15,2018-02-15
Seminole County,Amphibian,14,14,63,2016-09-24,2018-11-15
Simpson County,Amphibian,2,2,2,2018-07-19,2018-12-16
Smith County,Amphibian,1,1,1,2017-09-01,2017-09-01
Stewart County,Amphibian,1,1,1,2015-12-21,2015-12-21
Stone County,Amphibian,5,5,7,2016-03-16,2018-03-24
Sumter County,Amphibian,7,7,11,2015-06-01,2018-11-29
Suwannee County,Amphibian,4,4,6,2015-04-05,2018-11-11
Taylor County,Amphibian,1,1,1,2015-04-06,2015-04-06
Telfair County,Amphibian,10,10,13,2017-06-10,2018-05-17
Thomas County,Amphibian,2,2,4,2018-10-06,2018-10-14
Tift County,Amphibian,5,5,9,2015-06-21,2018-11-07
Toombs County,Amphibian,2,2,2,2017-08-21,2018-11-01
Volusia County,Amphibian,11,11,36,2016-01-06,2018-11-18
Wakulla County,Amphibian,32,32,119,2009-04-24,2018-12-09
Walton County,Amphibian,11,11,26,2016-06-05,2018-08-05
Ware County,Amphibian,7,7,9,1974-06-10,2018-12-29
Washington County,Amphibian,12,12,30,2008-10-26,2018-09-12
Wayne County,Amphibian,5,5,7,2015-03-30,2018-07-18
Webster County,Amphibian,1,1,1,2017-03-15,2017-03-15
Wheeler County,Amphibian,2,2,2,2017-09-29,2017-12-20
Worth County,Amphibian,2,2,2,2018-06-26,2018-06-27
Alachua County,Bird,73,73,158,2008-12-14,2024-04-28
Bay County,Bird,4,4,4,2022-02-24,2023-10-18
Brevard County,Bird,71,71,121,2006-12-03,2024-05-03
Broward County,Bird,20,20,24,2010-03-17,2024-04-26
Charlotte County,Bird,24,24,25,2012-12-23,2024-04-22
Citrus County,Bird,26,26,31,2015-01-22,2024-03-24
Clay County,Bird,8,8,8,2020-04-09,2024-03-30
Collier County,Bird,52,52,96,2008-02-19,2024-04-16
Columbia County,Bird,3,3,3,2007-06-01,2023-05-13
