clade,year,records,individuals,species_n,places_n
Amphibian,1974,1,1,1,1
Amphibian,1998,1,1,1,1
Amphibian,2002,3,6,3,3
Amphibian,2003,8,57,7,5
Amphibian,2004,9,13,9,9
Amphibian,2005,4,4,4,3
Amphibian,2006,6,14,6,6
Amphibian,2007,10,24,7,7
Amphibian,2008,13,32,12,9
Amphibian,2009,36,63,25,24
Amphibian,2010,22,32,17,14
Amphibian,2011,14,31,11,12
Amphibian,2012,39,143,22,30
Amphibian,2013,45,61,25,35
Amphibian,2014,43,124,24,38
Amphibian,2015,105,159,43,79
Amphibian,2016,241,425,55,133
Amphibian,2017,414,578,59,235
Amphibian,2018,1709,6435,78,477
Bird,1985,1,1,1,1
Bird,1986,1,1,1,1
Bird,1991,1,1,1,1
Bird,2005,5,8,5,3
Bird,2006,3,3,3,3
Bird,2007,13,15,12,12
Bird,2008,3,3,3,3
Bird,2009,9,14,9,7
Bird,2010,12,13,10,9
Bird,2011,15,18,14,13
Bird,2012,17,23,16,16
Bird,2013,17,29,17,15
Bird,2014,21,32,18,16
Bird,2015,25,28,23,23
Bird,2016,43,59,37,34
Bird,2017,81,108,66,44
Bird,2018,122,183,72,66
Bird,2019,166,263,92,100
Bird,2020,254,341,128,124
Bird,2021,370,534,135,133
Bird,2022,462,651,170,175
Bird,2023,575,805,185,195
Bird,2024,266,318,143,135
