clade,species,records,individuals,places_n,first,last
Amphibian,Acris,12,21,12,2016-05-21,2018-12-07
Amphibian,Acris crepitans,3,3,3,2018-03-03,2018-10-18
Amphibian,Acris gryllus,96,256,96,2003-12-24,2018-12-26
Amphibian,Acris gryllus dorsalis,18,25,18,2004-03-01,2018-07-18
Amphibian,Ambystoma cingulatum,5,7,5,2013-10-06,2018-12-02
Amphibian,Ambystoma maculatum,5,5,5,2012-02-29,2018-01-27
Amphibian,Ambystoma opacum,20,27,20,2009-12-17,2018-12-06
Amphibian,Ambystoma talpoideum,5,7,5,2010-11-26,2018-12-29
Amphibian,Ambystoma tigrinum,4,6,4,2012-02-18,2018-05-17
Amphibian,Amphibia,9,16,9,2014-06-13,2018-11-16
Amphibian,Amphiuma,1,1,1,2018-12-01,2018-12-01
Amphibian,Amphiuma means,20,31,20,2010-01-05,2018-12-15
Amphibian,Amphiuma pholeter,4,4,4,2016-03-16,2018-02-23
Amphibian,Anaxyrus,64,93,64,2002-11-27,2018-10-20
Amphibian,Anaxyrus fowleri,14,22,14,2008-05-21,2018-09-18
Amphibian,Anaxyrus quercicus,68,211,68,2003-08-29,2018-12-30
Amphibian,Anaxyrus terrestris,276,1343,276,2007-04-01,2018-12-30
Amphibian,Anura,46,81,46,2015-03-23,2018-11-12
Amphibian,Bufonidae,36,41,36,2011-05-12,2018-11-30
Amphibian,Desmognathus,1,1,1,2009-03-13,2009-03-13
Amphibian,Desmognathus apalachicolae,4,7,4,2009-04-25,2018-07-29
Amphibian,Desmognathus auriculatus,1,2,1,2009-04-27,2009-04-27
Amphibian,Desmognathus conanti,4,4,4,2009-02-08,2017-11-03
Amphibian,Desmognathus valentinei,1,1,1,2018-07-03,2018-07-03
Amphibian,Eleutherodactylus,5,5,5,2013-08-15,2018-09-04
Amphibian,Eleutherodactylus planirostris,140,371,140,2002-11-28,2018-12-29
Amphibian,Eurycea,5,5,5,2009-02-11,2018-12-02
Amphibian,Eurycea cirrigera,16,24,16,2009-02-08,2018-12-27
Amphibian,Eurycea guttolineata,18,22,18,2009-04-28,2018-07-28
Amphibian,Eurycea hillisi,2,2,2,2015-04-10,2017-11-23
Amphibian,Eurycea paludicola,2,3,2,2010-04-23,2010-10-22
Amphibian,Eurycea quadridigitata,12,14,12,2015-03-29,2018-11-09
Amphibian,Eurycea sphagnicola,2,2,2,2016-11-17,2018-04-11
Amphibian,Eurycea wallacei,1,1,1,2017-07-07,2017-07-07
Amphibian,Gastrophryne carolinensis,104,180,104,2005-06-05,2018-11-09
Amphibian,Hemidactylium scutatum,1,1,1,2018-01-07,2018-01-07
Amphibian,Hyla,59,98,59,2005-11-11,2018-12-16
Amphibian,Hyla andersonii,1,1,1,2016-04-14,2016-04-14
Amphibian,Hyla avivoca,5,5,5,2005-03-08,2018-04-23
Amphibian,Hyla chrysoscelis,41,67,41,2002-02-04,2018-11-17
Amphibian,Hyla cinerea,223,860,223,1974-06-10,2018-12-31
Amphibian,Hyla femoralis,79,245,79,2006-05-11,2018-12-28
Amphibian,Hyla gratiosa,67,133,67,2009-03-16,2018-11-09
Amphibian,Hyla squirella,165,564,165,2003-05-24,2018-12-22
Amphibian,Hyla versicolor,4,4,4,2007-04-28,2018-09-17
Amphibian,Hylidae,10,13,10,2015-07-02,2018-12-29
Amphibian,Hylinae,23,29,23,2008-03-18,2018-10-19
Amphibian,Incilius nebulifer,9,22,9,2008-08-10,2018-09-30
Amphibian,Lithobates,40,65,40,2013-06-19,2018-12-27
Amphibian,Lithobates capito,11,13,11,2006-02-25,2018-04-01
Amphibian,Lithobates catesbeianus,69,153,69,2003-01-01,2018-11-24
Amphibian,Lithobates clamitans,43,74,43,2003-05-24,2018-12-28
Amphibian,Lithobates grylio,46,150,46,2009-10-20,2018-12-28
Amphibian,Lithobates heckscheri,11,17,11,2004-05-03,2018-12-22
Amphibian,Lithobates okaloosae,1,1,1,2016-07-03,2016-07-03
Amphibian,Lithobates palustris,3,6,3,2013-09-02,2018-01-27
Amphibian,Lithobates sevosus,2,2,2,2013-01-08,2018-06-14
Amphibian,Lithobates sphenocephalus,142,400,142,1998-03-23,2018-12-28
Amphibian,Lithobates sphenocephalus sphenocephalus,15,17,15,2006-03-13,2018-02-22
Amphibian,Lithobates virgatipes,1,1,1,2009-04-16,2009-04-16
Amphibian,Necturus beyeri,3,3,3,2014-11-22,2018-12-02
Amphibian,Necturus moleri,1,1,1,2009-04-28,2009-04-28
Amphibian,Necturus mounti,1,1,1,2015-08-29,2015-08-29
Amphibian,Notophthalmus perstriatus,2,2,2,2015-06-18,2017-10-01
Amphibian,Notophthalmus viridescens,11,12,11,2011-01-02,2018-11-21
Amphibian,Notophthalmus viridescens louisianensis,8,11,8,2010-04-23,2018-12-04
Amphibian,Notophthalmus viridescens piaropicola,4,5,4,2016-06-11,2018-08-18
Amphibian,Osteopilus septentrionalis,277,1712,277,2007-04-01,2018-12-31
Amphibian,Phaeognathus hubrichti,2,3,2,2004-06-02,2018-07-07
Amphibian,Plethodon glutinosus,3,3,3,2015-12-06,2018-03-18
Amphibian,Plethodon grobmani,27,42,27,2004-03-01,2018-12-25
Amphibian,Plethodon mississippi,14,19,14,2008-08-11,2018-12-16
Amphibian,Plethodon ocmulgee,2,3,2,2017-12-22,2018-09-29
Amphibian,Plethodon variolatus,1,1,1,2017-09-24,2017-09-24
Amphibian,Pseudacris,1,1,1,2018-06-27,2018-06-27
Amphibian,Pseudacris crucifer,20,30,20,2012-10-28,2018-12-30
Amphibian,Pseudacris feriarum,9,11,9,2015-09-02,2018-12-29
Amphibian,Pseudacris nigrita,11,14,11,2004-02-11,2018-12-13
Amphibian,Pseudacris ocularis,18,32,18,2008-04-22,2018-10-27
Amphibian,Pseudacris ornata,11,22,11,2015-03-29,2018-12-14
Amphibian,Pseudobranchus axanthus,2,3,2,2012-07-20,2018-03-22
Amphibian,Pseudobranchus axanthus belli,2,2,2,2017-04-11,2017-04-11
Amphibian,Pseudobranchus striatus,3,3,3,2017-03-23,2018-03-17
Amphibian,Pseudobranchus striatus spheniscus,1,1,1,2009-04-27,2009-04-27
Amphibian,Pseudotriton flavissimus,3,3,3,2016-03-24,2018-12-29
Amphibian,Pseudotriton ruber,6,6,6,2005-03-08,2018-12-24
Amphibian,Pseudotriton ruber vioscai,2,5,2,2013-01-19,2016-07-06
Amphibian,Ranidae,5,5,5,2018-02-11,2018-11-06
Amphibian,Rhinella,1,3,1,2018-10-01,2018-10-01
Amphibian,Rhinella marina,80,256,80,2014-03-18,2018-12-30
Amphibian,Scaphiopus holbrookii,72,164,72,2004-01-05,2018-12-29
Amphibian,Siren,3,3,3,2016-06-27,2017-03-29
Amphibian,Siren intermedia,2,2,2,2015-08-29,2016-06-20
Amphibian,Siren intermedia intermedia,2,2,2,2009-04-28,2018-12-01
Amphibian,Siren lacertina,16,30,16,2014-03-22,2018-11-12
Amphibian,Sirenidae,1,1,1,2018-01-29,2018-01-29
Amphibian,Stereochilus marginatus,1,1,1,2015-03-30,2015-03-30
Bird,Accipiter cooperii,11,12,11,2013-03-03,2024-03-10
Bird,Accipiter striatus,1,1,1,2024-01-19,2024-01-19
Bird,Acridotheres tristis,3,3,3,2021-04-03,2024-04-18
Bird,Actitis macularius,8,12,8,2019-04-08,2024-05-08
Bird,Agelaius phoeniceus,20,29,20,2010-12-24,2024-04-13
Bird,Aix sponsa,11,14,11,1985-06-14,2024-04-29
Bird,Alopochen aegyptiaca,15,20,15,2017-12-23,2024-05-05
Bird,Amazona amazonica,1,1,1,2021-04-20,2021-04-20
Bird,Ammodramus savannarum,2,2,2,2020-11-10,2023-12-30
Bird,Ammospiza caudacuta,1,1,1,2020-11-26,2020-11-26
Bird,Ammospiza leconteii,2,2,2,2009-01-31,2015-02-07
Bird,Anarhynchus sp.,4,5,4,2005-04-10,2024-02-23
Bird,Anas acuta,1,1,1,2023-02-15,2023-02-15
Bird,Anas castanea,1,1,1,2020-07-26,2020-07-26
Bird,Anas crecca,1,2,1,2020-12-05,2020-12-05
Bird,Anas fulvigula,7,9,7,2012-01-02,2024-04-24
Bird,Anas sp.,10,10,10,2019-04-04,2024-01-21
Bird,Anas platyrhynchos f. domesticus,6,7,6,2019-03-23,2024-01-28
Bird,Anas platyrhynchos,7,10,7,2017-12-05,2023-03-31
Bird,Anhinga anhinga,46,107,46,2007-01-30,2024-03-04
Bird,Anser anser f. domesticus,1,1,1,2013-10-13,2013-10-13
Bird,Anser cygnoides f. domesticus,3,5,3,2022-02-18,2022-12-21
Bird,Antigone canadensis,36,54,36,2011-08-03,2024-04-15
Bird,Antigone canadensis pratensis,7,8,7,2019-10-25,2024-01-01
Bird,Antrostomus carolinensis,4,4,4,2022-10-31,2023-05-10
Bird,Antrostomus vociferus,1,1,1,2022-12-20,2022-12-20
Bird,Aphelocoma coerulescens,10,16,10,2012-12-30,2024-02-24
Bird,Ara ararauna,2,2,2,2017-09-23,2024-02-03
Bird,Aramus guarauna,32,48,32,2007-06-16,2024-03-09
Bird,Aramus guarauna pictus,1,1,1,2023-04-30,2023-04-30
Bird,Aratinga nenday,7,9,7,2017-03-11,2023-11-05
Bird,Archilochus colubris,7,8,7,2018-08-25,2023-06-06
Bird,Ardea alba egretta,3,3,3,2021-05-03,2023-04-29
Bird,Ardea alba,56,124,56,2012-01-14,2024-04-27
Bird,Ardea herodias,56,100,56,2011-01-21,2024-04-26
Bird,Ardea herodias occidentalis,2,2,2,2021-10-02,2024-04-11
Bird,Ardea sp.,1,1,1,2021-11-19,2021-11-19
Bird,Arenaria interpres,10,14,10,2009-02-24,2024-04-06
Bird,Athene cunicularia,7,7,7,2019-07-21,2024-04-28
Bird,Athene cunicularia floridana,2,2,2,2016-05-07,2022-10-22
Bird,Aythya affinis,7,8,7,2019-02-05,2024-01-08
Bird,Aythya americana,3,4,3,2016-04-10,2022-03-14
Bird,Aythya collaris,6,6,6,2018-11-07,2024-02-13
Bird,Baeolophus bicolor,5,5,5,2014-05-14,2024-04-25
Bird,Bombycilla cedrorum,1,1,1,2022-11-23,2022-11-23
Bird,Botaurus lentiginosus,2,2,2,2021-10-31,2023-10-08
Bird,Branta canadensis,4,5,4,2019-04-27,2024-03-30
Bird,Branta leucopsis,1,1,1,2022-04-02,2022-04-02
Bird,Bubo virginianus,4,4,4,2015-02-18,2022-03-22
Bird,Bubulcus ibis,24,25,24,2017-12-29,2023-08-12
Bird,Bucephala albeola,2,2,2,2019-12-01,2024-03-18
Bird,Buteo brachyurus,2,2,2,2017-02-10,2022-10-25
Bird,Buteo jamaicensis,9,11,9,2018-11-09,2024-04-07
Bird,Buteo lineatus,45,73,45,2016-06-13,2024-04-16
Bird,Buteo lineatus extimus,4,4,4,2020-02-21,2024-02-23
Bird,Buteo platypterus,2,2,2,2020-10-17,2020-12-23
Bird,Butorides virescens,21,33,21,2015-05-20,2024-02-19
Bird,Cairina moschata,2,2,2,2023-08-22,2024-01-18
Bird,Cairina moschata var. domestica,36,71,36,2016-11-30,2024-04-26
Bird,Calidris alba,18,23,18,2011-01-27,2024-02-29
Bird,Calidris alpina,5,6,5,2015-02-06,2024-01-15
Bird,Calidris canutus,1,1,1,2015-09-28,2015-09-28
Bird,Calidris himantopus,2,2,2,2021-09-29,2023-05-08
Bird,Calidris maritima,1,1,1,2023-12-13,2023-12-13
Bird,Calidris mauri,2,2,2,2020-08-30,2022-09-03
Bird,Calidris melanotos,1,1,1,2022-08-21,2022-08-21
Bird,Calidris minutilla,8,9,8,2007-02-06,2023-09-14
Bird,Calidris pusilla,1,1,1,2023-10-07,2023-10-07
Bird,Caracara plancus,3,3,3,2023-04-29,2024-05-02
Bird,Cardinalis cardinalis,29,51,29,2013-03-10,2024-03-13
Bird,Cathartes aura,33,48,33,2010-02-04,2024-03-01
Bird,Catharus guttatus,1,1,1,2020-04-04,2020-04-04
Bird,Catharus minimus,1,1,1,2023-05-02,2023-05-02
Bird,Catharus ustulatus,2,2,2,2023-10-03,2023-11-23
Bird,Chaetura pelagica,2,2,2,2020-10-02,2020-10-20
Bird,Charadrius melodus,2,2,2,2015-08-09,2019-12-15
Bird,Charadrius semipalmatus,4,4,4,2017-05-02,2023-04-30
Bird,Charadrius vociferus,12,14,12,2011-03-14,2024-01-27
Bird,Chordeiles gundlachii,1,1,1,2024-04-26,2024-04-26
Bird,Chordeiles minor,4,5,4,2022-07-16,2024-05-11
Bird,Chroicocephalus philadelphia,4,4,4,2021-03-16,2023-12-28
Bird,Circus hudsonius,3,3,3,2017-10-20,2023-01-22
Bird,Cistothorus palustris,1,1,1,2011-01-09,2011-01-09
Bird,Cistothorus stellaris,1,1,1,2022-12-11,2022-12-11
