naics,totUS,hhiState,topStateFirms,nStates
332114,6,0.277778,2,7
332991,22,0.229339,4,20
332117,15,0.195556,5,11
332911,137,0.171719,48,37
332993,7,0.163265,1,8
332112,17,0.152249,5,11
332912,76,0.145256,17,33
332410,82,0.128346,16,27
332996,216,0.123778,46,42
332811,183,0.121353,39,38
332913,25,0.1184,4,20
332439,47,0.1177,10,25
332919,104,0.1152,25,37
332111,197,0.114844,34,41
332420,207,0.112255,50,45
332613,91,0.106026,17,26
332992,26,0.0976331,4,25
332722,133,0.0954265,25,37
332721,224,0.0944675,44,39
332618,300,0.0911444,39,43
332510,179,0.088574,24,41
332311,244,0.0853937,45,43
332119,604,0.0837025,93,44
332431,25,0.0816,4,16
332321,212,0.0794322,27,48
332313,270,0.0765981,33,45
332323,492,0.0696675,61,49
332813,648,0.0695087,85,44
332215,63,0.069287,6,33
332994,169,0.0644585,28,46
332322,1254,0.0629405,176,49
332999,497,0.0622245,56,46
332216,223,0.0613927,24,40
332812,924,0.0579965,114,49
332312,2326,0.0574098,315,50
332710,5240,0.0550832,533,50
