naics,totUS,hhiZip3,topZip3Firms,nZip3
332114,6,0.25,1,9
332993,7,0.163265,1,8
332991,22,0.121901,3,40
332112,17,0.110727,4,14
332117,15,0.102222,2,17
332913,25,0.0752,2,38
332992,26,0.0621302,2,39
332912,76,0.0567867,7,120
332911,138,0.0494119,22,144
332431,25,0.048,2,24
332439,47,0.0407424,3,67
332410,82,0.0371802,8,87
332215,63,0.0309902,3,72
332919,104,0.0307877,10,111
332811,183,0.027203,15,149
332613,91,0.0262046,5,78
332996,216,0.0259774,17,214
332111,197,0.0245562,17,179
332722,133,0.0240262,9,122
332420,207,0.0206306,11,254
332321,212,0.0180002,6,252
332311,244,0.0159735,7,273
332510,179,0.0158235,7,172
332618,301,0.0148674,13,279
332721,224,0.0148477,9,144
332994,168,0.0144204,5,170
332313,270,0.0125926,8,274
332119,604,0.0123514,24,302
332323,493,0.0121251,18,307
332216,223,0.0105974,6,190
332813,647,0.0102339,20,308
332322,1255,0.00837511,42,543
332999,497,0.00787826,12,355
332812,924,0.00654504,24,394
332312,2327,0.00618937,75,655
332710,5239,0.00566763,141,706
