fips,lat,lng
01001,32.48,-86.5
01003,30.52,-87.65
01005,31.9,-85.15
01009,34.01,-86.52
01013,31.82,-86.62
01015,33.74,-85.8
01017,32.83,-85.18
01019,34.15,-85.67
01021,32.9,-86.69
01025,31.72,-87.81
01029,33.64,-85.58
01031,31.49,-85.92
01033,34.74,-87.68
01035,31.43,-86.95
01037,33.01,-86.07
01039,31.24,-86.38
01041,31.58,-86.25
01043,34.11,-86.86
01045,31.44,-85.61
01047,32.42,-86.97
01049,34.5,-85.76
01051,32.54,-86.2
01053,31.06,-87.28
01055,34.02,-86.02
01057,33.69,-87.83
01059,34.5,-87.67
01061,31.07,-85.73
01067,31.49,-85.29
01069,31.23,-85.4
01071,34.7,-86.07
01073,33.52,-86.83
01075,33.75,-88.11
01077,34.82,-87.47
01081,32.62,-85.38
01083,34.83,-86.92
01085,32.03,-86.54
01089,34.7,-86.6
01091,32.5,-87.83
01093,34.24,-87.84
01095,34.33,-86.22
01097,30.74,-88.15
01101,32.32,-86.27
01103,34.47,-86.8
01109,31.9,-85.9
01111,33.22,-85.42
01113,32.39,-85.08
01115,33.72,-86.33
01117,33.27,-86.64
01121,33.46,-86.08
01123,32.72,-85.91
01125,33.18,-87.52
01127,33.81,-87.25
04003,32.19,-110.38
04005,35.24,-111.62
04007,34.19,-111.17
04012,34.08,-114.22
04013,33.46,-112.05
04015,34.98,-114.29
04017,34.66,-110.35
04019,32.2,-110.96
04021,32.99,-111.67
04023,31.45,-110.83
04025,34.67,-112.39
04027,32.72,-114.51
05001,34.28,-91.33
05003,33.12,-91.96
05005,36.33,-92.5
05007,36.3,-94.35
05009,36.24,-93.11
05013,33.53,-92.46
05015,36.35,-93.49
05019,34.12,-93.07
05021,36.41,-90.58
05023,35.5,-92.03
05027,33.27,-93.23
05029,35.15,-92.69
05031,35.82,-90.68
05033,35.44,-94.35
05035,35.14,-90.18
05037,35.23,-90.78
05041,33.88,-91.48
05045,35.11,-92.41
05049,36.37,-91.82
05051,34.49,-93.16
05053,34.3,-92.4
05055,36.05,-90.51
05057,33.66,-93.59
05059,34.4,-93.05
05061,33.94,-93.85
05063,35.65,-91.62
05067,35.62,-91.23
05069,34.19,-92.09
05071,35.41,-93.41
05075,36.08,-91.02
05083,35.28,-93.72
05085,34.92,-91.95
05091,33.45,-94.01
05093,35.81,-89.95
05099,33.8,-93.38
05103,33.56,-92.84
05107,34.53,-90.62
05111,35.67,-90.51
05113,34.58,-94.23
05115,35.32,-93.08
05117,34.87,-91.53
05119,34.76,-92.3
05121,36.26,-90.96
05125,34.59,-92.57
05131,35.36,-94.4
05137,35.87,-92.11
05139,33.21,-92.66
05143,36.05,-94.28
05145,35.15,-91.81
05147,35.28,-91.36
05149,35.05,-93.39
06001,37.7,-122.11
06007,39.5,-121.67
06011,39.02,-122.04
06013,37.94,-122.13
06017,38.61,-120.97
06019,36.66,-119.71
06029,35.37,-119.08
06031,36.07,-119.53
06037,34.04,-118.21
06039,36.91,-120.19
06047,37.27,-120.56
06053,36.76,-121.65
06055,38.62,-122.61
06059,33.77,-117.88
06061,38.78,-121.3
06065,33.83,-117.16
06067,38.49,-121.42
06071,34.17,-117.44
06073,32.96,-117.06
06075,37.75,-122.39
06077,37.89,-121.28
06079,35.43,-120.69
06081,37.52,-122.26
06083,34.5,-120.12
06085,37.31,-121.86
06089,40.57,-122.35
06095,38.26,-122.06
06097,38.44,-122.75
06099,37.61,-120.91
06107,36.26,-119.23
06111,34.25,-119.05
06113,38.69,-121.72
06115,39.08,-121.55
08001,39.88,-104.93
08005,39.62,-104.96
08013,40.12,-105.19
08014,39.94,-105.06
08015,38.83,-106.14
08027,38.13,-105.46
08031,39.74,-104.95
08035,39.43,-104.95
08039,39.14,-104.08
08041,38.85,-104.78
08043,38.44,-105.23
08045,39.39,-107.21
08059,39.74,-105.14
08067,37.14,-107.88
08069,40.53,-105.16
08071,37.16,-104.5
08077,39.14,-108.56
08081,40.52,-107.55
08085,38.6,-107.98
08087,40.26,-103.79
08089,38.01,-103.63
08099,38.08,-102.61
08101,38.25,-104.59
08123,40.19,-104.86
09001,41.21,-73.32
09003,41.75,-72.73
09005,41.73,-73.14
09007,41.43,-72.52
09009,41.41,-72.96
09011,41.48,-72.1
09013,41.91,-72.39
09015,41.82,-71.94
10001,39.22,-75.58
10003,39.69,-75.62
10005,38.62,-75.42
11001,38.89,-77.0
12001,29.67,-82.41
12003,30.25,-82.27
12005,30.18,-85.59
12007,29.94,-82.11
12009,28.29,-80.71
12011,26.16,-80.18
12015,26.91,-81.77
12017,28.9,-82.46
12019,29.97,-81.8
12021,26.25,-81.71
12023,30.19,-82.64
12031,30.32,-81.65
12033,30.49,-87.27
12035,29.46,-81.19
12039,30.58,-84.58
12051,26.69,-81.13
12053,28.51,-82.4
12055,27.49,-81.45
12057,27.97,-82.39
12059,30.78,-85.68
12061,27.68,-80.42
12063,30.85,-85.23
12067,30.05,-83.17
12069,28.83,-81.81
12071,26.61,-81.83
12073,30.43,-84.3
12075,29.47,-82.86
12081,27.51,-82.5
12083,29.15,-82.12
12085,27.11,-80.26
12086,25.81,-80.3
12087,24.71,-81.08
12089,30.69,-81.92
12091,30.72,-86.51
12095,28.54,-81.37
12097,28.19,-81.49
12099,26.68,-80.1
12101,28.27,-82.53
12103,27.88,-82.73
12105,27.99,-81.79
12107,29.64,-81.62
12109,29.9,-81.38
12111,27.41,-80.37
12113,30.49,-87.0
12115,27.23,-82.44
12117,28.73,-81.32
12119,28.75,-82.07
12121,30.15,-82.98
12123,30.1,-83.58
12127,29.09,-81.07
