fips,county,n332,industriesPresent
17031,"Cook County, Illinois",647,41
48201,"Harris County, Texas",451,31
04013,"Maricopa County, Arizona",324,33
39035,"Cuyahoga County, Ohio",299,38
27053,"Hennepin County, Minnesota",247,26
44007,"Providence County, Rhode Island",234,28
53033,"King County, Washington",222,31
26163,"Wayne County, Michigan",222,29
26125,"Oakland County, Michigan",220,35
26099,"Macomb County, Michigan",217,31
06037,"Los Angeles County, California",215,32
49035,"Salt Lake County, Utah",201,30
40143,"Tulsa County, Oklahoma",174,30
48113,"Dallas County, Texas",154,30
41051,"Multnomah County, Oregon",146,32
47157,"Shelby County, Tennessee",142,26
21111,"Jefferson County, Kentucky",141,29
25027,"Worcester County, Massachusetts",140,34
27003,"Anoka County, Minnesota",136,23
01073,"Jefferson County, Alabama",135,22
25017,"Middlesex County, Massachusetts",131,26
55079,"Milwaukee County, Wisconsin",125,30
29189,"St. Louis County, Missouri",125,30
29095,"Jackson County, Missouri",124,26
17043,"DuPage County, Illinois",121,24
29510,"St. Louis city, Missouri",121,27
48439,"Tarrant County, Texas",118,28
32003,"Clark County, Nevada",117,20
53061,"Snohomish County, Washington",117,16
42003,"Allegheny County, Pennsylvania",112,28
27123,"Ramsey County, Minnesota",104,22
26081,"Kent County, Michigan",103,20
25009,"Essex County, Massachusetts",103,20
36029,"Erie County, New York",100,26
18097,"Marion County, Indiana",99,23
40109,"Oklahoma County, Oklahoma",95,23
39061,"Hamilton County, Ohio",94,26
34039,"Union County, New Jersey",93,26
55133,"Waukesha County, Wisconsin",92,21
47037,"Davidson County, Tennessee",91,19
42049,"Erie County, Pennsylvania",91,26
12103,"Pinellas County, Florida",90,24
49049,"Utah County, Utah",89,24
41067,"Washington County, Oregon",88,28
47065,"Hamilton County, Tennessee",86,24
17201,"Winnebago County, Illinois",86,21
25013,"Hampden County, Massachusetts",85,25
34013,"Essex County, New Jersey",84,27
18039,"Elkhart County, Indiana",84,22
42091,"Montgomery County, Pennsylvania",84,29
