fips,county,n332,nAllFacilities,share332
40131,"Rogers County, Oklahoma",40,385,0.103896
54009,"Brooke County, West Virginia",32,360,0.088889
42047,"Elk County, Pennsylvania",30,404,0.074257
40037,"Creek County, Oklahoma",35,561,0.062389
40143,"Tulsa County, Oklahoma",174,2953,0.058923
26099,"Macomb County, Michigan",217,4356,0.049816
55027,"Dodge County, Wisconsin",32,669,0.047833
47113,"Madison County, Tennessee",27,568,0.047535
22045,"Iberia Parish, Louisiana",40,850,0.047059
42049,"Erie County, Pennsylvania",91,2262,0.040230
26139,"Ottawa County, Michigan",54,1377,0.039216
26075,"Jackson County, Michigan",41,1047,0.039160
55131,"Washington County, Wisconsin",40,1038,0.038536
47065,"Hamilton County, Tennessee",86,2253,0.038171
47165,"Sumner County, Tennessee",31,823,0.037667
26093,"Livingston County, Michigan",33,878,0.037585
47157,"Shelby County, Tennessee",142,3810,0.037270
39085,"Lake County, Ohio",59,1690,0.034911
39103,"Medina County, Ohio",38,1129,0.033658
42073,"Lawrence County, Pennsylvania",26,788,0.032995
26115,"Monroe County, Michigan",27,832,0.032452
29510,"St. Louis city, Missouri",121,3736,0.032388
26125,"Oakland County, Michigan",220,6930,0.031746
39035,"Cuyahoga County, Ohio",299,9421,0.031738
47093,"Knox County, Tennessee",55,1827,0.030104
42039,"Crawford County, Pennsylvania",33,1114,0.029623
37071,"Gaston County, North Carolina",56,1903,0.029427
40109,"Oklahoma County, Oklahoma",95,3252,0.029213
26081,"Kent County, Michigan",103,3591,0.028683
39109,"Miami County, Ohio",26,919,0.028292
39093,"Lorain County, Ohio",51,1844,0.027657
47149,"Rutherford County, Tennessee",32,1162,0.027539
55133,"Waukesha County, Wisconsin",92,3378,0.027235
55101,"Racine County, Wisconsin",33,1238,0.026656
01073,"Jefferson County, Alabama",135,5188,0.026022
21111,"Jefferson County, Kentucky",141,5420,0.026015
55139,"Winnebago County, Wisconsin",31,1209,0.025641
55073,"Marathon County, Wisconsin",32,1251,0.025580
39151,"Stark County, Ohio",70,2768,0.025289
26121,"Muskegon County, Michigan",25,997,0.025075
