fips,lat,lng,nzips
01073,33.5191,-86.8528,32
04013,33.4743,-112.034,75
04019,32.1955,-110.942,22
05103,33.56,-92.84,1
06037,34.0494,-118.218,128
12103,27.8955,-82.7214,29
17031,41.8503,-87.7637,150
17043,41.8578,-88.0383,23
17201,42.3161,-89.1094,18
18003,41.0947,-85.1021,19
18033,41.4014,-85.0229,7
18039,41.6244,-85.8767,9
18085,41.248,-85.85,10
18097,39.7979,-86.1386,28
18113,41.4217,-85.4067,6
19061,42.4586,-90.87,7
20209,39.1064,-94.7045,11
21111,38.2096,-85.707,23
22045,29.97,-91.7925,4
22101,29.73,-91.3467,3
22109,29.5762,-90.7562,8
25009,42.6565,-70.9713,31
25011,42.5629,-72.55,7
25013,42.1257,-72.5296,23
25017,42.4481,-71.2842,64
25023,41.9958,-70.8471,24
25027,42.2885,-71.8403,62
26075,42.212,-84.4167,15
26081,42.9765,-85.6165,23
26093,42.56,-83.89,7
26099,42.6106,-82.95,33
26115,41.8678,-83.5533,9
26121,43.27,-86.1767,9
26125,42.5894,-83.3212,49
26139,42.9836,-85.9882,11
26163,42.3219,-83.2112,52
27003,45.2156,-93.2756,9
27019,44.8291,-93.78,11
27025,45.477,-92.908,10
27041,45.9257,-95.4043,7
27049,44.4133,-92.7183,6
27053,44.9738,-93.3783,58
27123,44.9868,-93.1095,19
27141,45.4125,-93.7875,4
27169,44.035,-91.7767,6
27171,45.171,-93.876,10
29071,38.4429,-91.0157,7
29095,39.03,-94.4706,36
29189,38.6381,-90.4,31
29510,38.6322,-90.2383,18
31079,40.864,-98.414,5
32003,36.1353,-115.099,34
32019,39.23,-119.263,3
32510,39.14,-119.71,1
33005,42.8862,-72.2892,13
33011,42.8796,-71.5879,24
34013,40.773,-74.2204,23
34039,40.6591,-74.3017,23
36013,42.2667,-79.3025,12
36029,42.8703,-78.7734,35
36055,43.1424,-77.6307,29
36103,40.8154,-73.0578,37
37071,35.2587,-81.1437,8
39035,41.4537,-81.657,40
39061,39.1745,-84.5036,33
39085,41.6767,-81.3333,6
39093,41.3671,-82.1086,14
39103,41.115,-81.9175,8
39109,40.04,-84.262,5
39113,39.7464,-84.2212,25
39151,40.8114,-81.4136,14
39153,41.1135,-81.51,23
40037,35.9667,-96.2717,6
40109,35.5073,-97.5036,33
40131,36.3733,-95.51,3
40143,36.1177,-95.9273,26
41051,45.5292,-122.602,26
41067,45.4827,-122.878,15
42003,40.4542,-79.9467,66
42017,40.2492,-75.0417,24
42039,41.6611,-80.1111,9
42047,41.435,-78.6375,4
42049,42.0452,-80.0919,21
42065,41.1075,-78.9187,8
42071,40.0821,-76.2617,24
42073,40.9675,-80.345,4
42081,41.2033,-76.99,6
42085,41.2867,-80.3233,12
42091,40.17,-75.2971,31
44007,41.8619,-71.4781,31
45025,34.73,-80.1167,3
47001,36.155,-84.14,2
47037,36.1462,-86.7765,26
47065,35.0853,-85.2595,19
47093,35.9817,-83.9589,18
47113,35.6867,-88.79,3
47149,35.8229,-86.45,7
47157,35.1355,-89.9238,29
47165,36.33,-86.525,2
48029,29.4588,-98.491,49
48113,32.7996,-96.7954,56
48201,29.8029,-95.3912,98
48251,32.4014,-97.3243,7
48339,30.2471,-95.4207,14
48439,32.7559,-97.2633,46
49035,40.66,-111.909,33
49049,40.2439,-111.697,18
53033,47.5374,-122.212,54
53061,47.9167,-122.125,21
54009,40.305,-80.595,2
55027,43.4658,-88.6933,12
55073,44.9,-89.766,10
55079,43.0333,-87.9557,30
55089,43.35,-87.94,8
55101,42.7456,-87.9111,9
55131,43.3525,-88.2337,8
55133,43.0226,-88.2468,19
55139,44.0857,-88.58,7
