fips,county,smmFirms,smmEmployment,industries
48201,"Harris County, Texas",549,14044,31
04013,"Maricopa County, Arizona",275,6959,25
26099,"Macomb County, Michigan",224,4377,25
39035,"Cuyahoga County, Ohio",221,6412,27
26125,"Oakland County, Michigan",166,3722,25
26163,"Wayne County, Michigan",164,3687,23
48113,"Dallas County, Texas",154,4374,23
27053,"Hennepin County, Minnesota",143,3837,23
53033,"King County, Washington",136,3219,23
55133,"Waukesha County, Wisconsin",131,3467,20
25017,"Middlesex County, Massachusetts",127,3422,19
26081,"Kent County, Michigan",116,3020,20
36103,"Suffolk County, New York",115,2301,20
48439,"Tarrant County, Texas",111,2302,21
42003,"Allegheny County, Pennsylvania",109,2336,24
36029,"Erie County, New York",104,2975,22
25027,"Worcester County, Massachusetts",103,3257,21
42017,"Bucks County, Pennsylvania",102,2234,19
49035,"Salt Lake County, Utah",100,1560,21
18097,"Marion County, Indiana",99,2312,24
55079,"Milwaukee County, Wisconsin",98,2698,19
39153,"Summit County, Ohio",96,2803,21
25009,"Essex County, Massachusetts",94,2057,18
39085,"Lake County, Ohio",93,1927,20
39113,"Montgomery County, Ohio",93,1777,19
36055,"Monroe County, New York",91,2471,13
40143,"Tulsa County, Oklahoma",89,2685,21
53061,"Snohomish County, Washington",88,1697,16
25013,"Hampden County, Massachusetts",84,2516,20
27003,"Anoka County, Minnesota",78,1628,13
39061,"Hamilton County, Ohio",78,2236,20
06037,"Los Angeles County, California",77,6090,23
41051,"Multnomah County, Oregon",76,2062,20
42049,"Erie County, Pennsylvania",72,2003,22
26139,"Ottawa County, Michigan",72,1398,15
33011,"Hillsborough County, New Hampshire",71,1624,20
18003,"Allen County, Indiana",70,1687,18
44007,"Providence County, Rhode Island",70,2739,21
42071,"Lancaster County, Pennsylvania",70,2079,18
41067,"Washington County, Oregon",69,1634,25
32003,"Clark County, Nevada",68,1053,18
04019,"Pima County, Arizona",67,1132,17
48029,"Bexar County, Texas",66,949,20
18039,"Elkhart County, Indiana",66,2097,19
25023,"Plymouth County, Massachusetts",65,942,19
