naics,facilities,countiesWithFacilities
332813,3874,834
332999,3094,1024
332312,2993,1012
332710,2641,861
332812,2425,735
332322,1726,655
332323,860,420
332313,766,445
332321,722,370
332721,703,271
332618,676,363
332439,589,325
332996,545,305
332811,512,218
332311,479,327
332722,461,209
332111,431,236
332420,427,273
332431,424,229
332919,382,230
332119,369,208
332911,325,193
332117,319,191
332510,290,207
332991,252,145
332994,238,149
332410,229,158
332912,218,151
332216,177,134
332992,141,98
332114,118,96
332993,101,77
332112,99,65
332913,88,71
332613,74,54
332215,60,48
