naics,label,firms,placed,empSum,empPerFirm,facilities,facPerFirm,hhiCounty,expHhiCounty,concIndex,effCounties,topCountyFirms,topCountyShare,nCounties,hhiZip3,hhiState,stackPkgs,stackOT,stackCves,stackHubExposed,stackBlast,bridgeFirms,bridgeCves,swFragility,swTier,concTier,jointRisk,jointRank,evidenceTier,shortList
332811,Metal heat treating,185,166,4555,24.62162162162162,512,2.7675675675675677,0.0313906,0.012428889457831327,2.5256158328949554,31.856670468229346,13,0.0783132530120482,146,0.027203,0.121353,5,5,6,2,151,0.0,0.0,57.1,high,concentrated,68.0,1.0,A,True
332111,Iron & steel forging,199,170,7632,38.35175879396985,431,2.1658291457286434,0.0263668,0.012288059352941177,2.1457253128980893,37.92648330476205,15,0.08823529411764706,154,0.0245562,0.114844,4,2,12,2,6330,0.0,0.0,57.1,high,concentrated,62.1,2.0,A,True
332722,"Bolt, nut, screw, rivet & washer",133,118,3664,27.548872180451127,461,3.4661654135338344,0.0295892,0.01486357940677966,1.9907183317164912,33.79611479864275,9,0.07627118644067797,111,0.0240262,0.0954265,5,1,12,3,6330,0.0,0.0,55.1,moderate,moderate,53.3,3.0,A,True
332911,Industrial valve,139,120,4116,29.611510791366907,325,2.338129496402878,0.0541667,0.014723246583333334,3.6789915657132664,18.46152710059871,22,0.18333333333333332,133,0.0494119,0.171719,5,3,3,4,165,0.0,0.0,43.9,moderate,concentrated,46.2,4.0,A,True
332912,Fluid power valve & hose fitting,78,64,2379,30.5,218,2.7948717948717947,0.0593262,0.021967928593749998,2.700582339696727,16.855959087216103,7,0.109375,105,0.0567867,0.145256,5,3,3,4,165,0.0,0.0,43.9,moderate,concentrated,44.4,5.0,B,True
332996,Fabricated pipe & pipe fitting,220,187,7022,31.918181818181818,545,2.477272727272727,0.029998,0.011756745775401069,2.551556406260443,33.33555570371358,19,0.10160427807486631,208,0.0259774,0.123778,5,3,3,4,2579,0.0,0.0,43.9,moderate,concentrated,42.6,6.0,A,True
332813,"Electroplating, plating, polishing, anodizing & coloring",652,571,14026,21.512269938650306,3874,5.941717791411043,0.010649,0.00818363870402802,1.3012549044667037,93.905531035778,21,0.03677758318739054,301,0.0102339,0.0695087,7,6,18,2,6330,0.0,0.0,100.0,high,diffuse,42.3,7.0,B,True
332721,Precision turned product,226,191,6324,27.98230088495575,703,3.1106194690265485,0.015652,0.011645475916230367,1.344041249373563,63.889598773319705,9,0.04712041884816754,134,0.0148477,0.0944675,6,2,12,3,6330,0.0,0.0,61.2,high,diffuse,39.1,8.0,B,True
332613,Spring (light gauge),91,82,2140,23.516483516483518,74,0.8131868131868132,0.0279595,0.018560151341463414,1.5064262939245774,35.76601870562778,6,0.07317073170731707,75,0.0262046,0.106026,3,1,12,1,6330,0.0,0.0,46.9,moderate,moderate,36.7,9.0,B,False
332618,Other fabricated wire product,304,264,9452,31.092105263157894,676,2.223684210526316,0.0150367,0.010207081174242424,1.4731635560952647,66.50395366004508,11,0.041666666666666664,256,0.0148674,0.0911444,3,1,12,1,6330,0.0,0.0,46.9,moderate,diffuse,34.4,10.0,B,False
332119,Metal crown/closure & stamping,610,537,21451,35.165573770491804,369,0.6049180327868853,0.0104207,0.008293808119180632,1.2564433430646438,95.96284318711795,24,0.0446927374301676,345,0.0123514,0.0837025,5,2,12,2,6330,0.0,0.0,57.1,high,diffuse,26.6,11.0,C,False
332919,Other metal valve & pipe fitting,106,93,2867,27.047169811320753,382,3.6037735849056602,0.0381547,0.01712701204301075,2.227749937010776,26.209090885264462,13,0.13978494623655913,103,0.0307877,0.1152,4,2,3,4,165,0.0,0.0,37.8,low,concentrated,26.0,12.0,B,False
332410,Power boiler & heat exchanger,82,68,2300,28.048780487804876,229,2.792682926829268,0.0371972,0.02105473338235294,1.7666906212726918,26.883743937715742,7,0.10294117647058823,64,0.0371802,0.128346,4,2,3,4,165,0.0,0.0,37.8,low,moderate,22.5,13.0,B,False
332420,Metal tank (heavy gauge),208,178,6978,33.54807692307692,427,2.0528846153846154,0.0202626,0.012025387471910112,1.68498520711545,49.352008133210944,13,0.07303370786516854,248,0.0206306,0.112255,4,2,3,4,165,0.0,0.0,37.8,low,moderate,21.3,14.0,A,False
332994,"Small arms, ordnance & accessories",170,136,1234,7.258823529411765,238,1.4,0.0170307,0.013749171691176471,1.2386709819711865,58.71749252819908,8,0.058823529411764705,140,0.0144204,0.0644585,4,1,12,2,6330,1.0,0.0,51.0,moderate,diffuse,20.1,15.0,C,False
332510,Hardware,180,150,3531,19.616666666666667,290,1.6111111111111112,0.0187111,0.013067319266666667,1.4319004241160629,53.44421225903341,6,0.04,150,0.0158235,0.088574,3,0,12,1,6330,0.0,0.0,40.8,moderate,diffuse,19.2,16.0,B,False
332999,All other miscellaneous fabricated metal product,498,429,8538,17.14457831325301,3094,6.21285140562249,0.00856331,0.008759592261072261,0.9775923062144636,116.7772742082209,14,0.03263403263403263,316,0.00787826,0.0622245,4,1,12,2,6330,1.0,1.0,67.3,high,diffuse,13.6,17.0,C,False
332812,"Metal coating, engraving & allied services",930,806,12593,13.540860215053764,2425,2.60752688172043,0.0069562,0.007676310235732011,0.9061905767721565,143.75664874500447,29,0.03598014888337469,455,0.00654504,0.0579965,6,5,18,2,6330,0.0,0.0,93.9,high,diffuse,11.1,18.0,C,False
332216,Saw blade & handtool,224,191,4889,21.825892857142858,177,0.7901785714285714,0.012253,0.011645475916230367,1.0521682486950081,81.61266628580756,5,0.02617801047120419,169,0.0105974,0.0613927,4,0,12,2,6330,0.0,0.0,44.9,moderate,diffuse,10.4,19.0,C,False
332311,Prefabricated metal buildings,244,198,5179,21.225409836065573,479,1.9631147540983607,0.0139016,0.011461571565656565,1.2128877720097941,71.93416585141279,8,0.04040404040404041,268,0.0159735,0.0853937,4,1,0,4,2579,0.0,0.0,22.4,low,diffuse,5.7,20.0,C,False
