naics,label
332111,Iron & steel forging
332112,Nonferrous forging
332114,Custom roll forming
332117,Powder metallurgy
332119,Metal crown/closure & stamping
332215,Metal kitchen cookware & flatware
332216,Saw blade & handtool
332311,Prefabricated metal buildings
332312,Fabricated structural metal
332313,Plate work
332321,Metal window & door
332322,Sheet metal work
332323,Ornamental & architectural metal work
332410,Power boiler & heat exchanger
332420,Metal tank (heavy gauge)
332431,Metal can
332439,Other metal container
332510,Hardware
332613,Spring (light gauge)
332618,Other fabricated wire product
332710,Machine shops
332721,Precision turned product
332722,"Bolt, nut, screw, rivet & washer"
332811,Metal heat treating
332812,"Metal coating, engraving & allied services"
332813,"Electroplating, plating, polishing, anodizing & coloring"
332911,Industrial valve
332912,Fluid power valve & hose fitting
332913,Plumbing fixture fitting & trim
332919,Other metal valve & pipe fitting
332991,Ball & roller bearing
332992,Small arms ammunition
332993,Ammunition (except small arms)
332994,"Small arms, ordnance & accessories"
332996,Fabricated pipe & pipe fitting
332999,All other miscellaneous fabricated metal product
