naics,fips,county,firms,employment
332111,48201,"Harris County, Texas",15,1515
332111,39035,"Cuyahoga County, Ohio",10,1302
332111,26163,"Wayne County, Michigan",7,164
332111,48439,"Tarrant County, Texas",6,196
332111,26099,"Macomb County, Michigan",5,342
332410,48201,"Harris County, Texas",7,283
332410,40143,"Tulsa County, Oklahoma",5,392
332420,48201,"Harris County, Texas",13,242
332420,48439,"Tarrant County, Texas",6,236
332420,48251,"Johnson County, Texas",5,212
332510,26081,"Kent County, Michigan",6,101
332510,36103,"Suffolk County, New York",6,174
332510,39035,"Cuyahoga County, Ohio",5,70
332510,26125,"Oakland County, Michigan",5,66
332510,53033,"King County, Washington",5,174
332613,48201,"Harris County, Texas",6,117
332721,36055,"Monroe County, New York",9,448
332721,26163,"Wayne County, Michigan",8,154
332721,39035,"Cuyahoga County, Ohio",7,104
332721,26125,"Oakland County, Michigan",5,170
332721,26075,"Jackson County, Michigan",5,59
332721,42049,"Erie County, Pennsylvania",5,91
332721,39113,"Montgomery County, Ohio",5,79
332722,26163,"Wayne County, Michigan",9,320
332722,26099,"Macomb County, Michigan",8,108
332722,39035,"Cuyahoga County, Ohio",6,449
332722,48201,"Harris County, Texas",6,88
332722,04013,"Maricopa County, Arizona",5,56
332811,26099,"Macomb County, Michigan",13,214
332811,48201,"Harris County, Texas",12,178
332811,26163,"Wayne County, Michigan",9,138
332811,39035,"Cuyahoga County, Ohio",7,105
332811,26125,"Oakland County, Michigan",6,149
332811,04013,"Maricopa County, Arizona",5,210
332911,48201,"Harris County, Texas",22,307
332911,40143,"Tulsa County, Oklahoma",6,134
332911,04013,"Maricopa County, Arizona",5,247
332912,48201,"Harris County, Texas",7,52
332919,48201,"Harris County, Texas",13,259
332996,48201,"Harris County, Texas",19,922
332996,41051,"Multnomah County, Oregon",6,297
332996,48339,"Montgomery County, Texas",6,77
332996,26099,"Macomb County, Michigan",6,112
332996,42081,"Lycoming County, Pennsylvania",5,148
332996,04013,"Maricopa County, Arizona",5,57
332618,48201,"Harris County, Texas",11,242
332618,39035,"Cuyahoga County, Ohio",9,152
332813,48201,"Harris County, Texas",21,406
332813,39035,"Cuyahoga County, Ohio",17,349
332813,26163,"Wayne County, Michigan",13,384
332813,27053,"Hennepin County, Minnesota",12,423
332813,42049,"Erie County, Pennsylvania",11,254
332813,55079,"Milwaukee County, Wisconsin",11,172
332813,39113,"Montgomery County, Ohio",11,312
332813,26081,"Kent County, Michigan",10,276
332813,25017,"Middlesex County, Massachusetts",10,320
332813,48439,"Tarrant County, Texas",10,88
332813,26125,"Oakland County, Michigan",9,56
332813,39153,"Summit County, Ohio",9,96
332813,26099,"Macomb County, Michigan",8,293
332813,44007,"Providence County, Rhode Island",8,517
