name,ecosystem,dependentPkgs
numpy,PyPI,70032
requests,PyPI,64097
pandas,PyPI,45991
serde,Cargo,33531
matplotlib,PyPI,28959
scipy,PyPI,27731
click,PyPI,23615
pyyaml,PyPI,23581
serde_json,Cargo,22462
tqdm,PyPI,20929
pydantic,PyPI,19484
tokio,Cargo,15817
log,Cargo,15559
scikit-learn,PyPI,15225
thiserror,Cargo,13964
pillow,PyPI,13962
rand,Cargo,13845
six,PyPI,12934
torch,PyPI,12004
typing-extensions,PyPI,11889
anyhow,Cargo,11351
setuptools,PyPI,11188
python-dateutil,PyPI,11084
syn,Cargo,10281
quote,Cargo,10263
jinja2,PyPI,10082
aiohttp,PyPI,10043
pytest,PyPI,10030
rich,PyPI,9872
urllib3,PyPI,9759
lazy_static,Cargo,9383
chrono,Cargo,9306
clap,Cargo,9257
futures,Cargo,9229
django,PyPI,9083
python-dotenv,PyPI,9054
proc-macro2,Cargo,8614
beautifulsoup4,PyPI,8473
httpx,PyPI,7910
regex,Cargo,7639
lxml,PyPI,7362
flask,PyPI,7240
sqlalchemy,PyPI,7237
libc,Cargo,7131
boto3,PyPI,6939
packaging,PyPI,6769
reqwest,Cargo,6697
serde_derive,Cargo,6677
colorama,PyPI,6659
psutil,PyPI,6644
typer,PyPI,6505
seaborn,PyPI,6442
pytz,PyPI,6418
opencv-python,PyPI,6330
env_logger,Cargo,6092
certifi,PyPI,5778
cryptography,PyPI,5777
networkx,PyPI,5673
criterion,Cargo,5451
bytes,Cargo,5277
