name,ecosystem,dependentPkgs,cves,vulnVersions,versions,pctOfEcosystemDependent,vulnVersionShare,fragilityScore
requests,PyPI,64097,6,149,183,7.97455487832947,0.8142076502732241,90.3
numpy,PyPI,70032,8,114,200,8.712951109087312,0.57,89.2
pillow,PyPI,13962,55,935,953,1.7370662466454914,0.9811122770199371,86.7
pyyaml,PyPI,23581,4,51,59,2.933803120050661,0.864406779661017,85.0
pandas,PyPI,45991,1,288,337,5.721917615633347,0.8545994065281899,83.1
scipy,PyPI,27731,3,64,92,3.4501206192326404,0.6956521739130435,82.3
tqdm,PyPI,20929,2,147,170,2.603857575995093,0.8647058823529412,79.4
scikit-learn,PyPI,15225,3,126,143,1.8942009457941273,0.8811188811188811,78.7
tokio,Cargo,15817,3,103,169,1.9678539480870747,0.6094674556213018,76.7
jinja2,PyPI,10082,10,65,66,1.2543404883741474,0.9848484848484849,76.2
torch,PyPI,12004,6,39,48,1.493463918115777,0.8125,75.8
pydantic,PyPI,19484,2,112,175,2.424079555195585,0.64,75.6
aiohttp,PyPI,10043,13,249,280,1.2494883480203889,0.8892857142857142,74.7
setuptools,PyPI,11188,3,636,685,1.3919422122525253,0.9284671532846716,73.7
urllib3,PyPI,9759,12,88,98,1.2141548131366102,0.8979591836734694,71.5
django,PyPI,9083,120,371,384,1.1300510470047986,0.9661458333333334,70.7
serde,Cargo,33531,0,0,330,4.171720979535165,0.0,62.5
matplotlib,PyPI,28959,0,0,129,3.602900833448416,0.0,61.7
lxml,PyPI,7362,6,593,609,0.9159348021633081,0.9737274220032841,61.5
click,PyPI,23615,0,0,70,2.9380331911282966,0.0,60.0
serde_json,Cargo,22462,0,0,172,2.794584016054364,0.0,58.3
log,Cargo,15559,0,0,58,1.935755173439135,0.0,55.0
thiserror,Cargo,13964,0,0,83,1.7373150743559407,0.0,53.3
flask,PyPI,7240,3,53,71,0.9007563118259102,0.7464788732394366,53.0
httpx,PyPI,7910,1,55,72,0.9841135948263743,0.7638888888888888,52.1
rand,Cargo,13845,0,0,80,1.7225098255842164,0.0,51.7
six,PyPI,12934,0,0,34,1.60916880347463,0.0,50.8
sqlalchemy,PyPI,7237,3,181,315,0.9003830702602365,0.5746031746031746,50.5
cryptography,PyPI,5777,12,134,147,0.7187388416323596,0.9115646258503401,49.7
typing-extensions,PyPI,11889,0,0,44,1.479156324764951,0.0,49.2
anyhow,Cargo,11351,0,0,100,1.4122216706541306,0.0,48.3
regex,Cargo,7639,1,132,506,0.9503974400605149,0.2608695652173913,48.2
python-dateutil,PyPI,11084,0,0,27,1.3790031713091697,0.0,46.7
opencv-python,PyPI,6330,12,34,60,0.7875397035715486,0.5666666666666667,46.2
psutil,PyPI,6644,1,525,579,0.8266056541120645,0.9067357512953368,45.9
syn,Cargo,10281,0,0,348,1.2790988455638375,0.0,45.8
quote,Cargo,10263,0,0,97,1.2768593961697952,0.0,45.0
pytest,PyPI,10030,0,0,183,1.2478709679024695,0.0,42.5
rich,PyPI,9872,0,0,201,1.228213578776987,0.0,41.7
certifi,PyPI,5778,3,47,63,0.7188632554875841,0.746031746031746,41.0
lazy_static,Cargo,9383,0,0,38,1.1673752035721705,0.0,40.0
chrono,Cargo,9306,0,0,115,1.1577953367198786,0.0,39.2
clap,Cargo,9257,0,0,431,1.1516990578138744,0.0,38.3
futures,Cargo,9229,0,0,100,1.1482154698675864,0.0,37.5
python-dotenv,PyPI,9054,0,0,46,1.126443045203286,0.0,35.8
proc-macro2,Cargo,8614,0,0,151,1.0717009489044738,0.0,35.0
beautifulsoup4,PyPI,8473,0,0,50,1.054158595317809,0.0,34.2
libc,Cargo,7131,0,0,186,0.8871952016064317,0.0,29.2
boto3,PyPI,6939,0,0,1781,0.8633077414033137,0.0,28.3
packaging,PyPI,6769,0,0,47,0.8421573860151362,0.0,27.5
reqwest,Cargo,6697,0,0,107,0.8331995884389669,0.0,26.7
serde_derive,Cargo,6677,0,0,261,0.8307113113344754,0.0,25.8
colorama,PyPI,6659,0,0,48,0.8284718619404331,0.0,25.0
typer,PyPI,6505,0,0,53,0.8093121282358489,0.0,23.3
seaborn,PyPI,6442,0,0,36,0.8014740553567008,0.0,22.5
pytz,PyPI,6418,0,0,536,0.798488122831311,0.0,21.7
env_logger,Cargo,6092,0,0,56,0.7579292060281001,0.0,20.0
networkx,PyPI,5673,0,0,164,0.7057998006890039,0.0,17.5
criterion,Cargo,5451,0,0,27,0.6781799248291487,0.0,16.7
bytes,Cargo,5277,0,0,60,0.6565319140200729,0.0,15.8
