name,cves,vulnVersions,versions
django,120,371,384
pillow,55,935,953
aiohttp,13,249,280
urllib3,12,88,98
opencv-python,12,34,60
cryptography,12,134,147
jinja2,10,65,66
numpy,8,114,200
lxml,6,593,609
torch,6,39,48
requests,6,149,183
pyyaml,4,51,59
tokio,3,103,169
flask,3,53,71
sqlalchemy,3,181,315
certifi,3,47,63
scikit-learn,3,126,143
scipy,3,64,92
setuptools,3,636,685
pydantic,2,112,175
tqdm,2,147,170
regex,1,132,506
pandas,1,288,337
psutil,1,525,579
httpx,1,55,72
syn,0,0,348
colorama,0,0,48
click,0,0,70
seaborn,0,0,36
serde,0,0,330
serde_derive,0,0,261
serde_json,0,0,172
clap,0,0,431
six,0,0,34
chrono,0,0,115
rich,0,0,201
thiserror,0,0,83
bytes,0,0,60
boto3,0,0,1781
beautifulsoup4,0,0,50
typer,0,0,53
typing-extensions,0,0,44
anyhow,0,0,100
python-dotenv,0,0,46
matplotlib,0,0,129
packaging,0,0,47
log,0,0,58
libc,0,0,186
proc-macro2,0,0,151
lazy_static,0,0,38
pytest,0,0,183
python-dateutil,0,0,27
networkx,0,0,164
pytz,0,0,536
futures,0,0,100
quote,0,0,97
rand,0,0,80
env_logger,0,0,56
criterion,0,0,27
reqwest,0,0,107
