stateFips,state,smmFirms,smmEmployment,facilities332
39,Ohio,1499,41812,1649
48,Texas,1848,52690,1480
26,Michigan,1340,33470,1444
17,Illinois,187,6390,1428
42,Pennsylvania,1246,36146,1276
27,Minnesota,664,18531,1142
47,Tennessee,438,14632,941
12,Florida,170,5703,842
18,Indiana,750,22590,838
55,Wisconsin,844,28191,821
36,New York,964,27997,817
29,Missouri,425,12880,816
09,Connecticut,56,2235,801
53,Washington,506,13854,751
37,North Carolina,571,15413,724
25,Massachusetts,609,15726,722
34,New Jersey,507,11711,683
22,Louisiana,295,10055,638
06,California,255,15182,633
01,Alabama,352,12254,625
41,Oregon,389,7577,561
21,Kentucky,238,9552,554
45,South Carolina,292,7715,552
40,Oklahoma,334,9129,507
49,Utah,242,5850,480
13,Georgia,97,3645,479
04,Arizona,418,10164,450
51,Virginia,337,8935,446
19,Iowa,251,7439,408
20,Kansas,208,7850,407
05,Arkansas,154,4886,327
24,Maryland,225,6005,313
28,Mississippi,93,3386,300
44,Rhode Island,105,3513,293
08,Colorado,72,2933,270
54,West Virginia,77,2416,256
31,Nebraska,123,3005,251
32,Nevada,145,2579,250
33,New Hampshire,196,3759,233
16,Idaho,29,891,137
23,Maine,99,2552,127
35,New Mexico,104,1867,110
50,Vermont,50,1054,98
30,Montana,89,1762,87
10,Delaware,13,171,73
38,North Dakota,58,1450,62
46,South Dakota,75,1838,61
56,Wyoming,44,692,32
11,District of Columbia,11,153,5
