naics,firms,empSum,empN,empMax
332710,5262,85375,5262,375
332312,2331,49073,2331,398
332322,1261,33536,1261,400
332812,930,12593,930,250
332813,652,14026,652,264
332119,610,21451,610,450
332999,498,8538,498,400
332323,495,6206,495,497
332618,304,9452,304,411
332313,270,7707,270,300
332311,244,5179,244,339
332721,226,6324,226,240
332216,224,4889,224,205
332996,220,7022,220,442
332321,215,6092,215,405
332420,208,6978,208,200
332111,199,7632,199,492
332811,185,4555,185,367
332510,180,3531,180,275
332994,170,1234,170,142
332911,139,4116,139,304
332722,133,3664,133,193
332919,106,2867,106,366
332613,91,2140,91,194
332410,82,2300,82,140
332912,78,2379,78,300
332215,64,406,64,60
332439,47,1460,47,300
332992,26,289,26,48
332431,25,808,25,180
332913,25,718,25,250
332991,23,537,23,155
332112,18,436,18,90
332117,16,740,16,137
332993,8,473,8,279
332114,6,127,6,55
