dlabel,band,n,sx,sy,sxx,sxy,syy
arteriosclerosis,3.0,22,-89.0042,-49.8662,360.096,201.772,113.193
asthma,3.0,22,-89.0042,-75.2095,360.096,304.288,257.406
cerebrovascular disease,3.0,22,-89.0042,-101.933,360.096,412.413,473.047
chronic obstructive pulmonary disease,3.0,22,-89.0042,-84.2436,360.096,340.85,323.725
coronary artery disease,3.0,22,-89.0042,-86.6566,360.096,350.613,341.847
depressive disorder,3.0,22,-89.0042,-58.0185,360.096,234.759,153.728
diabetes mellitus,3.0,22,-89.0042,-76.4052,360.096,309.148,266.414
hypertension,3.0,22,-89.0042,-49.5447,360.096,200.483,112.052
obesity,3.0,22,-89.0042,-44.6353,360.096,180.62,90.8037
arteriosclerosis,4.0,1682,-5620.4,-2564.87,18886.1,8676.91,4028.47
asthma,4.0,1682,-5620.4,-4410.91,18886.1,14847.9,11698.7
cerebrovascular disease,4.0,1682,-5620.4,-6490.43,18886.1,21793.6,25208
chronic obstructive pulmonary disease,4.0,1682,-5620.4,-5044.74,18886.1,16964.7,15331.7
coronary artery disease,4.0,1682,-5620.4,-5361.19,18886.1,18019.3,17236
depressive disorder,4.0,1682,-5620.4,-3076.69,18886.1,10390.4,5781.3
diabetes mellitus,4.0,1682,-5620.4,-4498.11,18886.1,15138,12228
hypertension,4.0,1682,-5620.4,-2531.4,18886.1,8565.34,3947.7
obesity,4.0,1682,-5620.4,-2235.09,18886.1,7572.93,3099.76
arteriosclerosis,5.0,4812,-11861.3,-3110.34,29617,8048.34,2422.42
asthma,5.0,4812,-11861.3,-8297.18,29617,20840.6,14760
cerebrovascular disease,5.0,4812,-11861.3,-14327.6,29617,35703.6,43262.3
chronic obstructive pulmonary disease,5.0,4812,-11861.3,-10159.1,29617,25434.9,22162.6
coronary artery disease,5.0,4812,-11861.3,-11131.3,29617,27821.6,26279.3
depressive disorder,5.0,4812,-11861.3,-4447.68,29617,11355.3,4616.27
diabetes mellitus,5.0,4812,-11861.3,-8623.11,29617,21644.8,16138.9
hypertension,5.0,4812,-11861.3,-3015.21,29617,7815.55,2376.64
obesity,5.0,4812,-11861.3,-2224.53,29617,5863.86,1496.96
arteriosclerosis,6.0,6196,-9298.85,1977.77,14462.4,-2462.31,1172.27
asthma,6.0,6196,-9298.85,-4643.91,14462.4,7476.23,4054.21
cerebrovascular disease,6.0,6196,-9298.85,-12498.6,14462.4,19254.4,25983.9
chronic obstructive pulmonary disease,6.0,6196,-9298.85,-7122.83,14462.4,11179.9,9075.41
