bin,n,mean_lnpop,high_cholesterol,asthma,stroke,copd,coronary_heart_disease,depression,diabetes,hypertension,obesity
7,22,3.95436,3.38417,2.2322,1.01748,1.82156,1.71188,3.01361,2.17785,3.39879,3.62194
8,440,4.30925,3.41971,2.31377,1.08583,1.94506,1.76202,3.10809,2.26327,3.43824,3.62086
9,1242,4.78223,3.42251,2.32796,1.08865,1.94825,1.75831,3.12081,2.27564,3.44289,3.61677
10,2175,5.26827,3.42208,2.3386,1.0851,1.94868,1.75313,3.13735,2.26886,3.43969,3.60691
11,2637,5.75509,3.42512,2.35183,1.09886,1.96735,1.75996,3.15282,2.28576,3.44667,3.6086
12,3099,6.25188,3.42546,2.35614,1.09189,1.96205,1.75059,3.15741,2.28058,3.44391,3.60475
13,3097,6.74672,3.42485,2.35676,1.0856,1.95068,1.74032,3.15687,2.27499,3.43903,3.59623
14,2915,7.24515,3.42605,2.35539,1.063,1.92508,1.71953,3.15557,2.25703,3.4257,3.5782
15,2601,7.74277,3.42903,2.3529,1.06618,1.91627,1.71612,3.14721,2.26779,3.43061,3.57327
16,2152,8.24113,3.42938,2.34158,1.04338,1.87106,1.69067,3.12717,2.25208,3.41706,3.55082
17,1757,8.74479,3.42615,2.33301,1.02228,1.82781,1.6614,3.10427,2.23586,3.40154,3.5245
18,1403,9.23208,3.42921,2.32711,1.01911,1.80595,1.64959,3.08732,2.24131,3.40248,3.52038
19,1057,9.7342,3.43084,2.32102,1.01698,1.78576,1.63985,3.06715,2.25184,3.39788,3.50984
20,733,10.2301,3.42859,2.31128,1.00829,1.75363,1.62295,3.0436,2.25563,3.3917,3.50102
21,451,10.7366,3.42837,2.30958,0.999132,1.73996,1.61269,3.04011,2.25261,3.37188,3.47437
22,287,11.224,3.43432,2.30993,1.019,1.72967,1.61713,3.02626,2.27933,3.3705,3.46102
23,136,11.7032,3.43888,2.31382,1.05074,1.75658,1.63184,3.02064,2.32913,3.38569,3.47422
24,73,12.2255,3.46306,2.33099,1.11459,1.81343,1.68097,3.0304,2.41192,3.44704,3.52327
25,30,12.7392,3.4388,2.33865,1.15418,1.83621,1.69275,3.0332,2.42572,3.45184,3.53501
26,20,13.2481,3.42931,2.37726,1.16113,1.82151,1.67242,3.06367,2.41298,3.45674,3.49593
27,8,13.6483,3.45962,2.26782,1.08332,1.74406,1.63287,3.0103,2.40373,3.39865,3.41802
28,4,14.151,3.44478,2.33364,1.13476,1.77412,1.69968,3.0119,2.44602,3.38283,3.44592
29,2,14.6906,3.40078,2.29253,1.25276,1.83853,1.71343,2.88842,2.55273,3.47841,3.58344
30,1,15.1486,3.50856,2.26176,1.06471,1.62924,1.56862,2.77882,2.48491,3.32863,3.38439
31,1,15.9166,3.45316,2.36085,1.09861,1.70475,1.62924,2.90142,2.45101,3.3499,3.31054
