series,domain,level,subset,n,beta,se,ci_lo,ci_hi,rate_elasticity,R2_count,R2_rate,t_vs_1,p_vs_1,classification
arteriosclerosis (high cholesterol),Chronic disease,place,all,26343,1.0017158590853235,0.0002815238111291783,1.001164057199532,1.002267660971115,0.0017158590853234568,0.997923792274974,0.0014082789046243806,6.094898610676054,1.1102646137114565e-09,superlinear
diabetes mellitus,Chronic disease,place,all,26343,0.9963703692734472,0.0009557352885911979,0.9944970764516186,0.9982436620952759,-0.003629630726552757,0.9763372213696389,0.0005472422935108122,-3.7977364338016817,0.00014635110968691037,sublinear
asthma,Chronic disease,place,all,26343,0.9960314137179505,0.00039126858595292595,0.9952645061419488,0.9967983212939521,-0.0039685862820495466,0.995951683873149,0.003890420548502259,-10.142869692398492,3.948011930706044e-24,sublinear
hypertension,Chronic disease,place,all,26343,0.9897877406851794,0.0005766247375408214,0.9886575250338181,0.9909179563365407,-0.010212259314820615,0.9911392732775589,0.011767494522194699,-17.710407913426803,8.854000481466455e-70,sublinear
cerebrovascular disease (stroke),Chronic disease,place,all,26343,0.9849249794989673,0.0008063128104417907,0.9833445628103927,0.9865053961875418,-0.01507502050103271,0.982652651471321,0.013096377589436228,-18.696243326176205,1.687772524661578e-77,sublinear
depressive disorder,Chronic disease,place,all,26343,0.9846479766397902,0.0005746760666367056,0.983521580488724,0.9857743727908564,-0.015352023360209799,0.9911072284138812,0.026378075716623976,-26.714220848029374,3.762090881467769e-155,sublinear
obesity,Chronic disease,place,all,26343,0.9769808822472793,0.0005955625371277126,0.9758135474851655,0.9781482170093931,-0.023019117752720697,0.9903064141233185,0.05367015913788939,-38.65105059115643,0.0,sublinear
alcohol-impaired driving deaths,Mortality,county,all,2952,0.9766768579788188,0.006689114113039051,0.9635610539423645,0.989792662015273,-0.023323142021181242,0.8784452019764737,0.0041042025667935664,-3.4867310718645954,0.0004961031124839461,sublinear
coronary artery disease,Chronic disease,place,all,26343,0.974858438043884,0.0006721664969113022,0.9735409553802545,0.9761759207075134,-0.025141561956116054,0.9876320408305624,0.05043402981244154,-37.40377134481561,2.1618969419125417e-298,sublinear
chronic obstructive pulmonary disease,Chronic disease,place,all,26343,0.963072060491184,0.0010208141930070354,0.9610712094992742,0.9650729114830938,-0.03692793950881601,0.971256347088379,0.047329011466666966,-36.174986360677984,1.0512729790424353e-279,sublinear
drug overdose deaths,Mortality,county,all,1791,0.9594952233034554,0.010554037538128183,0.9387956855336563,0.9801947610732544,-0.04050477669654462,0.8220627261486746,0.008165897262763561,-3.837846563480043,0.0001284313208213104,sublinear
premature age-adjusted mortality,Mortality,county,all,3072,0.9548375531927679,0.0036820050434217527,0.9476181096298617,0.962056996755674,-0.04516244680723214,0.9563422361265634,0.046716455971377434,-12.265721060844033,8.446556243450465e-34,sublinear
injury deaths,Mortality,county,all,3027,0.9269485725197428,0.0035617685275442746,0.9199648401686741,0.9339323048708116,-0.07305142748025717,0.9572467265003229,0.12208273257397671,-20.509875056542146,1.2323815408801124e-87,sublinear
premature death (YPLL),Mortality,county,all,2855,0.9244059396231892,0.004320939558654382,0.9159334593461798,0.9328784199001986,-0.07559406037681082,0.9413225588394565,0.09688574622681369,-17.494820131284634,3.5210447173391212e-65,sublinear
infant mortality,Mortality,county,all,1209,0.8577835672388713,0.00786790926961757,0.84234726937527,0.8732198651024725,-0.14221643276112872,0.9078135342427771,0.21302653166530638,-18.07550492610616,8.079369496515492e-65,sublinear
child mortality,Mortality,county,all,1876,0.8384987666700029,0.006380754246547847,0.8259846357114503,0.8510128976285555,-0.1615012333299971,0.9021039129454034,0.2547613029725742,-25.310680695369744,7.989945281680504e-122,sublinear
federal criminal case filings,Crime / justice,county,all,2377,0.8031308471498289,0.018242800219153452,0.7673573847711264,0.8389043095285313,-0.19686915285017115,0.44935962469146795,0.04674322034018182,-10.791608222704461,1.539264705168158e-26,sublinear
motor vehicle crash deaths,Mortality,county,all,2682,0.7357078994813097,0.005769743889729922,0.7243942997514424,0.7470214992111769,-0.26429210051869034,0.8584941575148954,0.43912410346269587,-45.80655668081339,0.0,sublinear
