series,domain,level,subset,n,beta,se,ci_lo,ci_hi,rate_elasticity,R2_count,R2_rate,t_vs_1,p_vs_1,classification
arteriosclerosis (high cholesterol),Chronic disease,place,pop 10k-50k,2845,0.9942672714736484,0.003156865910408879,0.9880772927135831,1.0004572502337135,-0.005732728526351649,0.9721380951427768,0.0011585910267486298,-1.8159556626873465,0.06948246104994181,linear (n.s.)
asthma,Chronic disease,place,pop 10k-50k,2845,0.9881538915398427,0.004621965382473473,0.9790911475528604,0.9972166355268249,-0.011846108460157323,0.9414434725002941,0.002305254390219755,-2.563002419939763,0.010428169379387812,sublinear
cerebrovascular disease (stroke),Chronic disease,place,pop 10k-50k,2845,0.9788591118690165,0.00974934487100557,0.9597426085430142,0.9979756151950189,-0.02114088813098347,0.7800160920203124,0.0016512051252559753,-2.1684419220676263,0.030207754644286804,sublinear
chronic obstructive pulmonary disease,Chronic disease,place,pop 10k-50k,2845,0.9428439682612126,0.013071987730707224,0.9172124309386692,0.9684755055837561,-0.05715603173878736,0.6466265055014163,0.006679644509025014,-4.372405552716587,1.2729852198157038e-05,sublinear
coronary artery disease,Chronic disease,place,pop 10k-50k,2845,0.966419636346243,0.008327635922307819,0.9500908181627793,0.9827484545297066,-0.03358036365375705,0.8256954514380601,0.005686874481939294,-4.032400547651584,5.66617000915861e-05,sublinear
depressive disorder,Chronic disease,place,pop 10k-50k,2845,0.9714478893194278,0.00772612304026734,0.9562985168487071,0.9865972617901485,-0.028552110680572174,0.8475800520965046,0.004780739823385731,-3.695528861210604,0.00022356930375039331,sublinear
diabetes mellitus,Chronic disease,place,pop 10k-50k,2845,0.9989517535056056,0.011622488969046853,0.9761623915563762,1.021741115454835,-0.0010482464943943892,0.722102349069352,2.861214713814663e-06,-0.09019122299759469,0.928141612249914,linear (n.s.)
hypertension,Chronic disease,place,pop 10k-50k,2845,0.9782378794895726,0.007183892387348872,0.9641517122102903,0.992324046768855,-0.021762120510427363,0.8670597288537681,0.003217409723577608,-3.0292937779456923,0.002473312467749817,sublinear
obesity,Chronic disease,place,pop 10k-50k,2845,0.9709297532852523,0.008456492512092998,0.9543482732604242,0.9875112333100805,-0.029070246714747672,0.8225943323896321,0.0041394113258144275,-3.437624603010821,0.000595274202599218,sublinear
arteriosclerosis (high cholesterol),Chronic disease,place,pop>=50k,709,1.0088551345390546,0.003641108253578202,1.0017064555193174,1.0160038135587919,0.008855134539054621,0.9908746881882483,0.008296323063270853,2.4319888128435823,0.015263411587344483,superlinear
asthma,Chronic disease,place,pop>=50k,709,1.0135776278663817,0.0061254340113797365,1.0015514098705551,1.0256038458622083,0.013577627866381725,0.9748285997687974,0.006901555100334103,2.2165985040663925,0.026968046642124825,superlinear
cerebrovascular disease (stroke),Chronic disease,place,pop>=50k,709,1.0633900513980725,0.010687168556703836,1.0424076657283732,1.0843724370677719,0.06339005139807252,0.9333494379059976,0.04740308916061139,5.931416825863505,4.699190829134801e-09,superlinear
chronic obstructive pulmonary disease,Chronic disease,place,pop>=50k,709,1.0354906786961957,0.01467673387432511,1.006675479526397,1.0643058778659944,0.03549067869619571,0.8756322910620513,0.0082030081507316,2.418159176292055,0.015850979134467813,superlinear
coronary artery disease,Chronic disease,place,pop>=50k,709,1.0294594429346995,0.009345647802800068,1.0111108985572905,1.0478079873121084,0.029459442934699487,0.9449414642356994,0.013859564785171577,3.1522098367405933,0.0016888525555533043,superlinear
depressive disorder,Chronic disease,place,pop>=50k,709,0.9953627153408071,0.009667905411352196,0.976381474530123,1.014343956151491,-0.004637284659192886,0.9374712941794915,0.0003253134411404457,-0.4796576364667075,0.6316191996271727,linear (n.s.)
diabetes mellitus,Chronic disease,place,pop>=50k,709,1.0784845657737159,0.013207524888342002,1.0525539013999878,1.104415230147444,0.07848456577371588,0.904133478083679,0.04757064111927821,5.942412862155006,4.408507243541052e-09,superlinear
hypertension,Chronic disease,place,pop>=50k,709,1.0355555407098112,0.0081007648753843,1.0196511061598155,1.0514599752598068,0.03555554070981115,0.9585303341756327,0.026525744256771105,4.389158463030245,1.3116383078319963e-05,superlinear
obesity,Chronic disease,place,pop>=50k,709,1.017149261596341,0.011024777648660986,0.995504039541545,1.0387944836511367,0.017149261596340892,0.923310241720349,0.003410734882454396,1.555519951771885,0.12026979003124516,linear (n.s.)
alcohol-impaired driving deaths,Mortality,county,metro (RUCC 1-3),1142,1.0138391430443119,0.00928674234842207,0.995618117171919,1.0320601689167048,0.013839143044311886,0.9126986529942546,0.0019442028417118408,1.4902042637872175,0.13644714947060796,linear (n.s.)
child mortality,Mortality,county,metro (RUCC 1-3),980,0.8970689927538912,0.008752195665687225,0.8798937489786969,0.9142442365290855,-0.10293100724610882,0.9148344938910984,0.12390048187456196,-11.760592561892484,5.83011222642624e-30,sublinear
drug overdose deaths,Mortality,county,metro (RUCC 1-3),974,0.982214463845131,0.014696326286052016,0.9533742816985454,1.0110546459917165,-0.017785536154868997,0.8212836240809728,0.0015045138616236935,-1.2102028635380044,0.22649527451478121,linear (n.s.)
infant mortality,Mortality,county,metro (RUCC 1-3),809,0.8927387026063541,0.010247961278609283,0.8726228980358651,0.9128545071768431,-0.10726129739364587,0.9038806451467309,0.11952400213104342,-10.466598621672578,3.974591600510574e-24,sublinear
injury deaths,Mortality,county,metro (RUCC 1-3),1154,0.940288946463752,0.0060658451011868135,0.9283876044468587,0.9521902884806454,-0.05971105353624795,0.9542516566598306,0.07758878178601608,-9.8438144298418,5.228913256379086e-22,sublinear
motor vehicle crash deaths,Mortality,county,metro (RUCC 1-3),1119,0.7685581077616935,0.008734092140934574,0.7514210325933339,0.7856951829300531,-0.23144189223830647,0.8739299518485634,0.3859870652006407,-26.498677653467198,1.9101156024519886e-120,sublinear
premature age-adjusted mortality,Mortality,county,metro (RUCC 1-3),1159,0.9375621149833661,0.005617670164800432,0.9265401536603095,0.9485840763064226,-0.06243788501663394,0.960118580636688,0.09647016734538592,-11.114551617476826,2.4393598809246433e-27,sublinear
premature death (YPLL),Mortality,county,metro (RUCC 1-3),1144,0.9269853863115517,0.006213824877211961,0.9147935919380201,0.9391771806850833,-0.0730146136884483,0.9511903404100405,0.1078617850927315,-11.750349443579546,3.550148124227287e-30,sublinear
federal criminal case filings,Crime / justice,county,metro (RUCC 1-3),1035,1.0478907993584416,0.029287109227059537,0.990421785058316,1.1053598136585674,0.04789079935844165,0.5534331674491869,0.002581832783030787,1.6352176989251441,0.10230807229548859,linear (n.s.)
