mouse_gene,log2fc_SF_vs_GC,tissue_assay
Itga2b,2.92,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Gp5,3.24,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Ifi27l2a,2.82,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Csf3r,1.9,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Parvb,3.21,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Pcsk1,-2.24,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Foxb1,-3.68,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Nabp1,-1.5,"Thymus (OSD-244 / GLDS-244, 30d LAR)"
Dhrs9,2.86,"Liver (OSD-245 / GLDS-245, 60d)"
Dtx4,1.94,"Liver (OSD-245 / GLDS-245, 60d)"
Mcu,1.27,"Liver (OSD-245 / GLDS-245, 60d)"
Trim2,1.52,"Liver (OSD-245 / GLDS-245, 60d)"
Usp2,-2.5,"Liver (OSD-245 / GLDS-245, 60d)"
Nmrk1,-1.72,"Liver (OSD-245 / GLDS-245, 60d)"
Lingo4,-1.65,"Liver (OSD-245 / GLDS-245, 60d)"
Cnmd,-1.51,"Liver (OSD-245 / GLDS-245, 60d)"
Npas2,1.67,"Spleen (OSD-246 / GLDS-246, 60d)"
Adamts4,1.4,"Spleen (OSD-246 / GLDS-246, 60d)"
Nr1d2,-0.49,"Spleen (OSD-246 / GLDS-246, 60d)"
Per3,-0.79,"Spleen (OSD-246 / GLDS-246, 60d)"
Tef,-0.58,"Spleen (OSD-246 / GLDS-246, 60d)"
Hlf,-0.97,"Spleen (OSD-246 / GLDS-246, 60d)"
Dbp,-0.9,"Spleen (OSD-246 / GLDS-246, 60d)"
Cys1,-1.0,"Spleen (OSD-246 / GLDS-246, 60d)"
