model_entrez,model_symbol,human_entrez,human_symbol,species
44728,MED6,10001,MED6,fly
36702,Hr51,10002,NR2E3,fly
33783,Oscillin,10007,GNPDA1,fly
32630,Nup153,100101267,POM121C,fly
31536,MCTS1,100101490,MCTS2,fly
36137,CG12341,100113407,TMEM170B,fly
34395,GATAd,100125288,ZGLP1,fly
41944,srp,100125288,ZGLP1,fly
39090,Bet3,100128327,TRAPPC3L,fly
33930,Tango1,100128553,CTAGE4,fly
37417,tud,100129278,TDRD15,fly
41413,CG14718,100129520,TEX13C,fly
326116,tau,100129583,FAM47E,fly
35261,Nf-YB,100129583,FAM47E,fly
3346145,CG33557,100129654,TCF24,fly
37027,HLH54F,100129654,TCF24,fly
37655,twi,100129654,TCF24,fly
34379,Hand,100129654,TCF24,fly
32461,HDAC6,10013,HDAC6,fly
37068,Hsf,100130086,HSFX2,fly
39436,Pmm2,100130283,PMM2|LOC100130283,fly
39522,Spt20,100130302,SUPT20HL1,fly
33948,meng,100130827,SBK3,fly
36850,CG4945,100130827,SBK3,fly
32639,CG9723,100131211,NEMP2,fly
2768719,luna,100131390,SP9,fly
36995,CG14483,100131801,PET100,fly
31267,CG2712,100131980,ZNF705G|ZNF705B,fly
39697,Phs,100131980,ZNF705G|ZNF705B,fly
41445,CG3281,100131980,ZNF705G|ZNF705B,fly
41413,CG14718,100132015,TEX13D,fly
31267,CG2712,100132396,ZNF705G|ZNF705B,fly
39697,Phs,100132396,ZNF705G|ZNF705B,fly
41445,CG3281,100132396,ZNF705G|ZNF705B,fly
31451,XRCC1,100133315,XNDC1N,fly
39514,JMJD7,100137047,JMJD7,fly
33930,Tango1,100142659,CTAGE8,fly
3355106,Alg-2,10016,PDCD6,fly
36251,Buffy,10017,BCL2L10,fly
53585,Debcl,10017,BCL2L10,fly
43130,Lnk,10019,SH2B3,fly
32468,Cngl,10021,HCN4,fly
36806,CngA,10021,HCN4,fly
37479,CngB,10021,HCN4,fly
37047,Elk,10021,HCN4,fly
37843,sei,10021,HCN4,fly
42287,CG6026,10021,HCN4,fly
37535,MED16,10025,MED16,fly
31163,PIG-K,10026,PIGK,fly
32754,raskol,100271927,RASA4B,fly
39158,RasGAP1,100271927,RASA4B,fly
7354409,CG42381,100272147,CMC4,fly
36311,wash,100287171,WASHC1,fly
32613,hang,100287226,ZNF729,fly
31648,CG3032,100287226,ZNF729,fly
31741,CG2129,100287226,ZNF729,fly
32875,CG7101,100287226,ZNF729,fly
32106,CG11695,100287226,ZNF729,fly
32517,CG8944,100287226,ZNF729,fly
31572,CG12219,100287226,ZNF729,fly
2768685,mld,100287226,ZNF729,fly
36158,CG12942,100287226,ZNF729,fly
36679,CG8089,100287226,ZNF729,fly
36068,CG18011,100287226,ZNF729,fly
35682,az2,100287226,ZNF729,fly
34292,zf30C,100287226,ZNF729,fly
35684,CG1602,100287226,ZNF729,fly
36156,CG30020,100287226,ZNF729,fly
38159,CG2199,100287226,ZNF729,fly
39428,CG10654,100287226,ZNF729,fly
41391,CG6791,100287226,ZNF729,fly
40351,pzg,100287226,ZNF729,fly
42141,CG17803,100287226,ZNF729,fly
43572,Sry-delta,100287226,ZNF729,fly
3355096,Tim23,100287932,TIMM23,fly
31358,brn,100288842,B3GALT9,fly
32104,CG11696,100289678,ZNF783,fly
35262,CG10631,100289678,ZNF783,fly
43070,CG11902,100289678,ZNF783,fly
40931,wtrw,100310846,ANKRD61,fly
33975,CG13775,100381270,ZBED6,fly
31902,Gga,10040,TOM1L1,fly
34505,Stam,10040,TOM1L1,fly
34425,Wdfy2,10040,TOM1L1,fly
39093,CG3529,10040,TOM1L1,fly
53448,meso18E,100421372,LOC100421372,fly
31902,Gga,10043,TOM1,fly
34505,Stam,10043,TOM1,fly
34425,Wdfy2,10043,TOM1,fly
39093,CG3529,10043,TOM1,fly
40368,rgn,100431172,KLRF2,fly
33840,CG9098,10044,SH2D3C,fly
33840,CG9098,10045,SH2D3A,fly
36102,RanBPM,10048,RANBP9,fly
33308,CG5001,10049,DNAJB6,fly
31978,CG2887,10049,DNAJB6,fly
246488,CG30156,10049,DNAJB6,fly
38643,DnaJ-1,10049,DNAJB6,fly
41707,CG3061,10049,DNAJB6,fly
31413,CG6978,10050,SLC17A4,fly
33427,VGlut,10050,SLC17A4,fly
246519,MFS1,10050,SLC17A4,fly
37626,CG3649,10050,SLC17A4,fly
37624,CG9825,10050,SLC17A4,fly
36865,Picot,10050,SLC17A4,fly
37168,MFS15,10050,SLC17A4,fly
37623,CG12490,10050,SLC17A4,fly
35521,CG7881,10050,SLC17A4,fly
34773,CG9254,10050,SLC17A4,fly
37622,CG30265,10050,SLC17A4,fly
37170,CG15096,10050,SLC17A4,fly
