human	g2	protein	term	label	family
http://www.ncbi.nlm.nih.gov/gene/10005	https://www.ensembl.org/id/ENSG00000101473	http://purl.uniprot.org/uniprot/O14734	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10005	https://www.ensembl.org/id/ENSG00000101473	http://purl.uniprot.org/uniprot/O14734	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10005	https://www.ensembl.org/id/ENSG00000101473	http://purl.uniprot.org/uniprot/O14734	http://purl.obolibrary.org/obo/GO_0006633	fatty acid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10005	https://www.ensembl.org/id/ENSG00000101473	http://purl.uniprot.org/uniprot/O14734	http://purl.obolibrary.org/obo/GO_0033540	fatty acid beta-oxidation using acyl-CoA oxidase	GO BP
http://www.ncbi.nlm.nih.gov/gene/10005	https://www.ensembl.org/id/ENSG00000101473	http://purl.uniprot.org/uniprot/O14734	https://identifiers.org/reactome/R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Reactome
http://www.ncbi.nlm.nih.gov/gene/10005	https://www.ensembl.org/id/ENSG00000101473	http://purl.uniprot.org/uniprot/O14734	https://identifiers.org/reactome/R-HSA-390247	Beta-oxidation of very long chain fatty acids	Reactome
http://www.ncbi.nlm.nih.gov/gene/10075	https://www.ensembl.org/id/ENSG00000086758	http://purl.uniprot.org/uniprot/Q7Z6Z7	http://purl.obolibrary.org/obo/GO_0032922	circadian regulation of gene expression	GO BP
http://www.ncbi.nlm.nih.gov/gene/10195	https://www.ensembl.org/id/ENSG00000214160	http://purl.uniprot.org/uniprot/Q92685	https://identifiers.org/reactome/R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome
http://www.ncbi.nlm.nih.gov/gene/10226	https://www.ensembl.org/id/ENSG00000105355	http://purl.uniprot.org/uniprot/O60664	http://purl.obolibrary.org/obo/GO_0019915	lipid storage	GO BP
http://www.ncbi.nlm.nih.gov/gene/10226	https://www.ensembl.org/id/ENSG00000105355	http://purl.uniprot.org/uniprot/O60664	http://purl.obolibrary.org/obo/GO_1905691	lipid droplet disassembly	GO BP
http://www.ncbi.nlm.nih.gov/gene/10226	https://www.ensembl.org/id/ENSG00000105355	http://purl.uniprot.org/uniprot/O60664	https://identifiers.org/reactome/R-HSA-163560	Triglyceride catabolism	Reactome
http://www.ncbi.nlm.nih.gov/gene/10295	https://www.ensembl.org/id/ENSG00000103507	http://purl.uniprot.org/uniprot/O14874	http://purl.obolibrary.org/obo/GO_0008610	lipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10327	https://www.ensembl.org/id/ENSG00000117448	http://purl.uniprot.org/uniprot/P14550	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10350	https://www.ensembl.org/id/ENSG00000154258	http://purl.uniprot.org/uniprot/Q8IUA7	https://identifiers.org/reactome/R-HSA-1369062	ABC transporters in lipid homeostasis	Reactome
http://www.ncbi.nlm.nih.gov/gene/10390	https://www.ensembl.org/id/ENSG00000134255	http://purl.uniprot.org/uniprot/Q9Y6K0	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10390	https://www.ensembl.org/id/ENSG00000134255	http://purl.uniprot.org/uniprot/Q9Y6K0	http://purl.obolibrary.org/obo/GO_0008654	phospholipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10419	https://www.ensembl.org/id/ENSG00000100462	http://purl.uniprot.org/uniprot/O14744	http://purl.obolibrary.org/obo/GO_0032922	circadian regulation of gene expression	GO BP
http://www.ncbi.nlm.nih.gov/gene/10449	https://www.ensembl.org/id/ENSG00000167315	http://purl.uniprot.org/uniprot/P42765	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10449	https://www.ensembl.org/id/ENSG00000167315	http://purl.uniprot.org/uniprot/P42765	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10449	https://www.ensembl.org/id/ENSG00000167315	http://purl.uniprot.org/uniprot/P42765	http://purl.obolibrary.org/obo/GO_0006635	fatty acid beta-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10449	https://www.ensembl.org/id/ENSG00000167315	http://purl.uniprot.org/uniprot/P42765	http://purl.obolibrary.org/obo/GO_0006695	cholesterol biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10449	https://www.ensembl.org/id/ENSG00000167315	http://purl.uniprot.org/uniprot/P42765	https://identifiers.org/reactome/R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation	Reactome
http://www.ncbi.nlm.nih.gov/gene/10455	https://www.ensembl.org/id/ENSG00000198721	http://purl.uniprot.org/uniprot/O75521	http://purl.obolibrary.org/obo/GO_0006635	fatty acid beta-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10455	https://www.ensembl.org/id/ENSG00000198721	http://purl.uniprot.org/uniprot/O75521	https://identifiers.org/reactome/R-HSA-390247	Beta-oxidation of very long chain fatty acids	Reactome
http://www.ncbi.nlm.nih.gov/gene/10478	https://www.ensembl.org/id/ENSG00000100372	http://purl.uniprot.org/uniprot/O43808	http://purl.obolibrary.org/obo/GO_0001561	fatty acid alpha-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10478	https://www.ensembl.org/id/ENSG00000100372	http://purl.uniprot.org/uniprot/O43808	http://purl.obolibrary.org/obo/GO_0006635	fatty acid beta-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10478	https://www.ensembl.org/id/ENSG00000100372	http://purl.uniprot.org/uniprot/O43808	http://purl.obolibrary.org/obo/GO_0015908	fatty acid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/10484	https://www.ensembl.org/id/ENSG00000100934	http://purl.uniprot.org/uniprot/Q15436	https://identifiers.org/reactome/R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	Reactome
http://www.ncbi.nlm.nih.gov/gene/10498	https://www.ensembl.org/id/ENSG00000142453	http://purl.uniprot.org/uniprot/Q86X55	https://identifiers.org/reactome/R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian expression	Reactome
http://www.ncbi.nlm.nih.gov/gene/10498	https://www.ensembl.org/id/ENSG00000142453	http://purl.uniprot.org/uniprot/Q86X55	https://identifiers.org/reactome/R-HSA-400206	Regulation of lipid metabolism by PPARalpha	Reactome
http://www.ncbi.nlm.nih.gov/gene/10514	https://www.ensembl.org/id/ENSG00000132382	http://purl.uniprot.org/uniprot/Q9BQG0	http://purl.obolibrary.org/obo/GO_0032922	circadian regulation of gene expression	GO BP
http://www.ncbi.nlm.nih.gov/gene/10555	https://www.ensembl.org/id/ENSG00000169692	http://purl.uniprot.org/uniprot/O15120	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10555	https://www.ensembl.org/id/ENSG00000169692	http://purl.uniprot.org/uniprot/O15120	http://purl.obolibrary.org/obo/GO_0006644	phospholipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10555	https://www.ensembl.org/id/ENSG00000169692	http://purl.uniprot.org/uniprot/O15120	http://purl.obolibrary.org/obo/GO_0008654	phospholipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10555	https://www.ensembl.org/id/ENSG00000169692	http://purl.uniprot.org/uniprot/O15120	http://purl.obolibrary.org/obo/GO_0019432	triglyceride biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10558	https://www.ensembl.org/id/ENSG00000090054	http://purl.uniprot.org/uniprot/O15269	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10558	https://www.ensembl.org/id/ENSG00000090054	http://purl.uniprot.org/uniprot/O15269	http://purl.obolibrary.org/obo/GO_0006665	sphingolipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10558	https://www.ensembl.org/id/ENSG00000090054	http://purl.uniprot.org/uniprot/O15269	http://purl.obolibrary.org/obo/GO_0006688	glycosphingolipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10558	https://www.ensembl.org/id/ENSG00000090054	http://purl.uniprot.org/uniprot/O15269	http://purl.obolibrary.org/obo/GO_0030148	sphingolipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10558	https://www.ensembl.org/id/ENSG00000090054	http://purl.uniprot.org/uniprot/O15269	https://identifiers.org/reactome/R-HSA-1660661	Sphingolipid de novo biosynthesis	Reactome
http://www.ncbi.nlm.nih.gov/gene/10613	https://www.ensembl.org/id/ENSG00000107566	http://purl.uniprot.org/uniprot/O75477	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10613	https://www.ensembl.org/id/ENSG00000107566	http://purl.uniprot.org/uniprot/O75477	http://purl.obolibrary.org/obo/GO_0008203	cholesterol metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10613	https://www.ensembl.org/id/ENSG00000107566	http://purl.uniprot.org/uniprot/O75477	http://purl.obolibrary.org/obo/GO_0045540	regulation of cholesterol biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10613	https://www.ensembl.org/id/ENSG00000107566	http://purl.uniprot.org/uniprot/O75477	http://purl.obolibrary.org/obo/GO_0045541	negative regulation of cholesterol biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10613	https://www.ensembl.org/id/ENSG00000107566	http://purl.uniprot.org/uniprot/O75477	http://purl.obolibrary.org/obo/GO_0045717	negative regulation of fatty acid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10628	https://www.ensembl.org/id/ENSG00000265972	http://purl.uniprot.org/uniprot/Q9H3M7	http://purl.obolibrary.org/obo/GO_0140052	cellular response to oxidised low-density lipoprotein particle stimulus	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0006695	cholesterol biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0008203	cholesterol metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0010875	positive regulation of cholesterol efflux	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0010887	negative regulation of cholesterol storage	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0042632	cholesterol homeostasis	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0043691	reverse cholesterol transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0051791	medium-chain fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0071397	cellular response to cholesterol	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0071404	cellular response to low-density lipoprotein particle stimulus	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0090122	cholesterol ester hydrolysis involved in cholesterol transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/1066	https://www.ensembl.org/id/ENSG00000198848	http://purl.uniprot.org/uniprot/P23141	http://purl.obolibrary.org/obo/GO_0090205	positive regulation of cholesterol metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10728	https://www.ensembl.org/id/ENSG00000110958	http://purl.uniprot.org/uniprot/Q15185	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10728	https://www.ensembl.org/id/ENSG00000110958	http://purl.uniprot.org/uniprot/Q15185	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10728	https://www.ensembl.org/id/ENSG00000110958	http://purl.uniprot.org/uniprot/Q15185	http://purl.obolibrary.org/obo/GO_0006633	fatty acid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10802	https://www.ensembl.org/id/ENSG00000113615	http://purl.uniprot.org/uniprot/O95486	https://identifiers.org/reactome/R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	Reactome
